#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.CCU-internal.2b85a500-7e7f-4bc4-b0d9-2b5d1d15a099_Trajectory.txt
# RunID         : sara
# ObjectID      : 2b85a500-7e7f-4bc4-b0d9-2b5d1d15a099
# ObjectName    : CCU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2608.650          77.617     -9.945    -79.168            6.917        18852.198      1.046      0.000      0.000    0.00583   24.19757           -0.94524       87.08878         2.678e-05 
  2608.750          77.605     -9.945    -79.162            6.916        18852.881      1.046      0.000      0.000    0.00582   24.19241           -0.94619       87.08756         2.682e-05 
  2609.200          77.554     -9.944    -79.134            6.910        18855.954      1.046      0.000      0.000    0.00578   24.16840           -0.95049       87.08208         2.701e-05 
  2610.200          77.439     -9.941    -79.072            6.897        18862.773      1.046      0.000      0.000    0.00569   24.11294           -0.96024       87.06991         2.746e-05 
  2611.200          77.323     -9.937    -79.010            6.883        18869.578      1.046      0.000      0.000    0.00559   24.05273           -0.97026       87.05777         2.796e-05 
  2612.200          77.206     -9.934    -78.948            6.870        18876.371      1.046      0.000      0.000    0.00549   23.99183           -0.98056       87.04565         2.847e-05 
  2613.200          77.088     -9.931    -78.886            6.856        18883.150      1.046      0.000      0.000    0.00539   23.93023           -0.99114       87.03356         2.899e-05 
  2614.200          76.969     -9.928    -78.825            6.842        18889.916      1.046      0.000      0.000    0.00529   23.86793           -1.00201       87.02150         2.952e-05 
  2615.200          76.848     -9.925    -78.763            6.828        18896.667      1.046      0.000      0.000    0.00519   23.80488           -1.01317       87.00945         3.007e-05 
  2616.200          76.727     -9.922    -78.702            6.813        18903.405      1.046      0.000      0.000    0.00510   23.74109           -1.02463       86.99744         3.064e-05 
  2617.200          76.605     -9.918    -78.640            6.799        18910.128      1.046      0.000      0.000    0.00500   23.67654           -1.03639       86.98545         3.121e-05 
  2618.200          76.481     -9.915    -78.579            6.784        18916.837      1.046      0.000      0.000    0.00491   23.61123           -1.04845       86.97349         3.181e-05 
  2619.200          76.356     -9.912    -78.518            6.769        18923.532      1.046      0.000      0.000    0.00482   23.54512           -1.06083       86.96155         3.242e-05 
  2620.200          76.230     -9.909    -78.458            6.753        18930.211      1.046      0.000      0.000    0.00473   23.47821           -1.07353       86.94964         3.305e-05 
  2621.200          76.103     -9.906    -78.397            6.738        18936.876      1.046      0.000      0.000    0.00464   23.41048           -1.08654       86.93776         3.369e-05 
  2622.200          75.975     -9.902    -78.336            6.722        18943.525      1.046      0.000      0.000    0.00455   23.34191           -1.09989       86.92591         3.436e-05 
  2623.200          75.845     -9.899    -78.276            6.706        18950.158      1.046      0.000      0.000    0.00446   23.27249           -1.11357       86.91409         3.504e-05 
  2624.200          75.714     -9.896    -78.216            6.689        18956.775      1.046      0.000      0.000    0.00437   23.19883           -1.12761       86.90229         3.574e-05 
  2625.200          75.582     -9.893    -78.156            6.659        18963.369      1.046      0.000      0.000    0.00428   23.08542           -1.14214       86.89053         3.647e-05 
  2626.200          75.450     -9.889    -78.096            6.553        18969.896      1.046      0.000      0.000    0.00420   22.73715           -1.15813       86.87884         3.721e-05 
