#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Compound_of-IFring-PLM-SVM-SolarP.15006184973595261240_Trajectory.txt
# RunID         : sara
# ObjectID      : 15006184973595261240
# ObjectName    : Compound_of-IFring-PLM-SVM-SolarP
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.000         124.981      9.962    111.661            7.369            0.000      1.843      0.000      0.000    0.42869   16.92243            0.00322       92.84668         1.293e-08 
     0.100         124.981      9.962    111.668            7.369            0.723      1.843      0.000      0.000    0.42869   16.92242            0.00321       92.84797         1.293e-08 
     0.550         124.981      9.961    111.698            7.369            3.975      1.843      0.000      0.000    0.42870   16.92242            0.00321       92.85374         1.293e-08 
     1.550         124.981      9.957    111.764            7.369           11.201      1.843      0.000      0.000    0.42872   16.92242            0.00321       92.86657         1.293e-08 
     2.550         124.982      9.954    111.829            7.369           18.428      1.843      0.000      0.000    0.42873   16.92241            0.00321       92.87940         1.293e-08 
     3.550         124.982      9.951    111.895            7.369           25.655      1.843      0.000      0.000    0.42875   16.92240            0.00320       92.89223         1.293e-08 
     4.550         124.983      9.947    111.961            7.369           32.882      1.843      0.000      0.000    0.42877   16.92240            0.00320       92.90505         1.293e-08 
     5.550         124.983      9.944    112.027            7.369           40.108      1.843      0.000      0.000    0.42879   16.92239            0.00319       92.91786         1.293e-08 
     6.550         124.983      9.941    112.093            7.369           47.335      1.843      0.000      0.000    0.42880   16.92239            0.00319       92.93067         1.293e-08 
     7.550         124.984      9.937    112.158            7.369           54.562      1.843      0.000      0.000    0.42882   16.92238            0.00318       92.94348         1.293e-08 
     8.550         124.984      9.934    112.224            7.369           61.788      1.843      0.000      0.000    0.42884   16.92237            0.00318       92.95628         1.293e-08 
     9.550         124.985      9.931    112.290            7.369           69.015      1.843      0.000      0.000    0.42885   16.92237            0.00317       92.96908         1.293e-08 
    10.550         124.985      9.927    112.356            7.369           76.242      1.843      0.000      0.000    0.42887   16.92236            0.00317       92.98187         1.293e-08 
    11.550         124.985      9.924    112.422            7.369           83.468      1.843      0.000      0.000    0.42889   16.92236            0.00316       92.99465         1.293e-08 
    12.550         124.986      9.921    112.488            7.369           90.695      1.843      0.000      0.000    0.42890   16.92235            0.00316       93.00744         1.293e-08 
    13.550         124.986      9.917    112.553            7.369           97.922      1.843      0.000      0.000    0.42892   16.92234            0.00315       93.02022         1.293e-08 
    14.550         124.987      9.914    112.619            7.369          105.148      1.843      0.000      0.000    0.42894   16.92234            0.00315       93.03299         1.293e-08 
    15.550         124.987      9.910    112.685            7.369          112.375      1.843      0.000      0.000    0.42895   16.92233            0.00314       93.04576         1.293e-08 
    16.550         124.987      9.907    112.751            7.369          119.602      1.843      0.000      0.000    0.42897   16.92233            0.00314       93.05852         1.293e-08 
    17.550         124.988      9.903    112.817            7.369          126.828      1.843      0.000      0.000    0.42899   16.92232            0.00313       93.07128         1.292e-08 
    18.550         124.988      9.900    112.882            7.369          134.055      1.843      0.000      0.000    0.42900   16.92231            0.00313       93.08404         1.292e-08 
    19.550         124.989      9.896    112.948            7.369          141.281      1.843      0.000      0.000    0.42902   16.92231            0.00312       93.09679         1.292e-08 
    20.550         124.989      9.893    113.014            7.369          148.508      1.843      0.000      0.000    0.42904   16.92230            0.00311       93.10953         1.292e-08 
    21.550         124.989      9.889    113.080            7.369          155.735      1.843      0.000      0.000    0.42905   16.92229            0.00311       93.12227         1.292e-08 
    22.550         124.990      9.886    113.146            7.369          162.961      1.843      0.000      0.000    0.42907   16.92229            0.00310       93.13501         1.292e-08 
    23.550         124.990      9.882    113.211            7.369          170.188      1.843      0.000      0.000    0.42909   16.92228            0.00309       93.14774         1.292e-08 
    24.550         124.991      9.878    113.277            7.369          177.414      1.843      0.000      0.000    0.42910   16.92227            0.00309       93.16047         1.292e-08 
    25.550         124.991      9.875    113.343            7.369          184.641      1.843      0.000      0.000    0.42912   16.92227            0.00308       93.17319         1.292e-08 
    26.550         124.991      9.871    113.409            7.369          191.867      1.843      0.000      0.000    0.42914   16.92226            0.00307       93.18590         1.292e-08 
    27.550         124.992      9.867    113.475            7.369          199.094      1.843      0.000      0.000    0.42915   16.92226            0.00307       93.19862         1.292e-08 
    28.550         124.992      9.864    113.540            7.369          206.321      1.843      0.000      0.000    0.42917   16.92225            0.00306       93.21132         1.292e-08 
    29.550         124.993      9.860    113.606            7.369          213.547      1.843      0.000      0.000    0.42919   16.92224            0.00305       93.22402         1.292e-08 
    30.550         124.993      9.856    113.672            7.369          220.774      1.843      0.000      0.000    0.42920   16.92224            0.00304       93.23672         1.292e-08 
    31.550         124.993      9.853    113.738            7.369          228.000      1.843      0.000      0.000    0.42922   16.92223            0.00304       93.24941         1.292e-08 
    32.550         124.994      9.849    113.803            7.369          235.227      1.843      0.000      0.000    0.42923   16.92222            0.00303       93.26210         1.292e-08 
