#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Compound_of-IFring-PLM.13288536868984691673_Trajectory.txt
# RunID         : sara
# ObjectID      : 13288536868984691673
# ObjectName    : Compound_of-IFring-PLM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960      0.871      0.000      0.000    0.00469   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.331        17952.683      0.871      0.000      0.000    0.00469   26.77771           -0.48418       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.331        17955.937      0.871      0.000      0.000    0.00467   26.77717           -0.48473       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.330        17963.166      0.871      0.000      0.000    0.00462   26.77591           -0.48594       88.69533         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.330        17970.396      0.871      0.000      0.000    0.00457   26.77453           -0.48716       88.68212         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.329        17977.625      0.871      0.000      0.000    0.00452   26.77312           -0.48839       88.66890         5.205e-06 
  2486.650          87.561    -10.237    -87.077            7.329        17984.854      0.871      0.000      0.000    0.00447   26.77168           -0.48962       88.65569         5.264e-06 
  2487.650          87.498    -10.236    -87.011            7.329        17992.083      0.871      0.000      0.000    0.00442   26.77021           -0.49087       88.64248         5.323e-06 
  2488.650          87.435    -10.234    -86.945            7.328        17999.311      0.871      0.000      0.000    0.00437   26.76871           -0.49212       88.62928         5.382e-06 
  2489.650          87.372    -10.232    -86.879            7.328        18006.539      0.871      0.000      0.000    0.00432   26.76718           -0.49339       88.61608         5.443e-06 
  2490.650          87.309    -10.231    -86.813            7.327        18013.767      0.871      0.000      0.000    0.00427   26.76562           -0.49466       88.60287         5.505e-06 
  2491.650          87.246    -10.229    -86.747            7.327        18020.994      0.871      0.000      0.000    0.00422   26.76403           -0.49594       88.58968         5.567e-06 
  2492.650          87.182    -10.228    -86.681            7.326        18028.221      0.871      0.000      0.000    0.00418   26.76242           -0.49723       88.57648         5.630e-06 
  2493.650          87.119    -10.226    -86.615            7.326        18035.448      0.871      0.000      0.000    0.00413   26.76077           -0.49853       88.56329         5.694e-06 
  2494.650          87.055    -10.224    -86.549            7.326        18042.674      0.871      0.000      0.000    0.00408   26.75909           -0.49984       88.55010         5.759e-06 
  2495.650          86.991    -10.223    -86.483            7.325        18049.899      0.871      0.000      0.000    0.00404   26.75738           -0.50116       88.53692         5.825e-06 
  2496.650          86.927    -10.221    -86.417            7.325        18057.125      0.871      0.000      0.000    0.00399   26.75565           -0.50249       88.52373         5.892e-06 
  2497.650          86.862    -10.219    -86.351            7.324        18064.350      0.871      0.000      0.000    0.00395   26.75388           -0.50383       88.51055         5.959e-06 
  2498.650          86.798    -10.218    -86.285            7.324        18071.574      0.871      0.000      0.000    0.00390   26.75209           -0.50517       88.49738         6.028e-06 
  2499.650          86.733    -10.216    -86.219            7.323        18078.799      0.871      0.000      0.000    0.00386   26.75026           -0.50653       88.48420         6.098e-06 
  2500.650          86.669    -10.214    -86.153            7.323        18086.022      0.871      0.000      0.000    0.00381   26.74841           -0.50790       88.47103         6.169e-06 
  2501.650          86.604    -10.212    -86.088            7.322        18093.246      0.871      0.000      0.000    0.00377   26.74652           -0.50928       88.45786         6.240e-06 
  2502.650          86.538    -10.211    -86.022            7.322        18100.469      0.871      0.000      0.000    0.00373   26.74461           -0.51066       88.44470         6.313e-06 
  2503.650          86.473    -10.209    -85.956            7.321        18107.691      0.871      0.000      0.000    0.00368   26.74266           -0.51206       88.43154         6.387e-06 
  2504.650          86.407    -10.207    -85.890            7.321        18114.914      0.871      0.000      0.000    0.00364   26.74069           -0.51347       88.41838         6.462e-06 
  2505.650          86.342    -10.205    -85.824            7.320        18122.135      0.871      0.000      0.000    0.00360   26.73869           -0.51489       88.40522         6.538e-06 
