#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.DPU-SEM-internal.81da4b10-3199-4fc2-9f4e-a7977fcfe438_Trajectory.txt
# RunID         : sara
# ObjectID      : 81da4b10-3199-4fc2-9f4e-a7977fcfe438
# ObjectName    : DPU-SEM-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2723.750          62.460     -9.509    -72.149            4.315        19623.827      2.897      0.000      0.000    0.00101   13.92102           -2.49027       85.73440         2.270e-04 
  2723.850          62.442     -9.509    -72.145            4.295        19624.253      2.897      0.000      0.000    0.00101   13.86322           -2.49853       85.73352         2.274e-04 
  2724.300          62.358     -9.508    -72.128            4.207        19626.146      2.897      0.000      0.000    0.00100   13.59943           -2.53667       85.72963         2.297e-04 
  2725.300          62.172     -9.505    -72.091            4.019        19630.214      2.897      0.000      0.000    0.00098   13.02195           -2.62707       85.72115         2.348e-04 
  2726.300          61.989     -9.502    -72.056            3.844        19634.102      2.897      0.000      0.000    0.00095   12.44099           -2.72529       85.71290         2.403e-04 
  2727.300          61.807     -9.500    -72.022            3.680        19637.822      2.897      0.000      0.000    0.00093   11.89713           -2.83138       85.70487         2.460e-04 
  2728.300          61.625     -9.497    -71.990            3.526        19641.385      2.897      0.000      0.000    0.00091   11.38714           -2.94539       85.69703         2.517e-04 
  2729.300          61.444     -9.495    -71.959            3.381        19644.800      2.897      0.000      0.000    0.00089   10.90817           -3.06738       85.68938         2.576e-04 
  2730.300          61.263     -9.493    -71.929            3.244        19648.075      2.897      0.000      0.000    0.00087   10.45762           -3.19743       85.68190         2.635e-04 
  2731.300          61.087     -9.491    -71.901            2.946        19651.131      2.897      0.000      0.000    0.00085    9.55185           -3.34433       85.67288         2.695e-04 
