#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.DPU-SEM.689791a9-de13-4150-8f6a-c50e8cb6905a_Trajectory.txt
# RunID         : sara
# ObjectID      : 689791a9-de13-4150-8f6a-c50e8cb6905a
# ObjectName    : DPU-SEM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2676.200          70.563     -9.692    -74.775            6.896        19334.937      2.661      0.000      0.000    0.00282   23.30852           -1.16798       86.24330         7.654e-05 
  2676.300          70.549     -9.691    -74.768            6.894        19335.619      2.661      0.000      0.000    0.00281   23.30062           -1.16898       86.24212         7.667e-05 
  2676.750          70.486     -9.689    -74.741            6.884        19338.684      2.661      0.000      0.000    0.00279   23.26386           -1.17356       86.23680         7.729e-05 
  2677.750          70.345     -9.685    -74.679            6.863        19345.481      2.661      0.000      0.000    0.00274   23.17901           -1.18404       86.22501         7.873e-05 
  2678.750          70.202     -9.681    -74.617            6.842        19352.257      2.661      0.000      0.000    0.00268   23.08700           -1.19496       86.21326         8.032e-05 
  2679.750          70.059     -9.677    -74.556            6.820        19359.012      2.661      0.000      0.000    0.00263   22.99405           -1.20633       86.20154         8.194e-05 
  2680.750          69.915     -9.673    -74.494            6.798        19365.745      2.661      0.000      0.000    0.00258   22.90015           -1.21816       86.18987         8.360e-05 
  2681.750          69.770     -9.669    -74.433            6.776        19372.457      2.661      0.000      0.000    0.00253   22.80528           -1.23045       86.17823         8.531e-05 
  2682.750          69.624     -9.665    -74.373            6.753        19379.146      2.661      0.000      0.000    0.00248   22.70943           -1.24320       86.16663         8.706e-05 
  2683.750          69.477     -9.661    -74.312            6.730        19385.813      2.661      0.000      0.000    0.00243   22.61257           -1.25644       86.15507         8.886e-05 
