#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.EDR.7312c8c9-199d-4646-8a04-8c0cf69512c6_Trajectory.txt
# RunID         : sara
# ObjectID      : 7312c8c9-199d-4646-8a04-8c0cf69512c6
# ObjectName    : EDR
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960      1.861      0.000      0.000    0.04119   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.331        17952.683      1.860      0.000      0.000    0.04115   26.77745           -0.48418       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.330        17955.936      1.858      0.000      0.000    0.04097   26.77571           -0.48473       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.329        17963.166      1.854      0.000      0.000    0.04055   26.77168           -0.48596       88.69533         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.328        17970.394      1.850      0.000      0.000    0.04010   26.76731           -0.48721       88.68212         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.327        17977.620      1.846      0.000      0.000    0.03966   26.76289           -0.48849       88.66891         5.205e-06 
  2486.650          87.561    -10.237    -87.077            7.325        17984.846      1.842      0.000      0.000    0.03922   26.75842           -0.48979       88.65570         5.264e-06 
  2487.650          87.498    -10.236    -87.011            7.324        17992.071      1.837      0.000      0.000    0.03879   26.75390           -0.49112       88.64250         5.323e-06 
  2488.650          87.436    -10.234    -86.945            7.323        17999.294      1.833      0.000      0.000    0.03836   26.74932           -0.49247       88.62931         5.382e-06 
  2489.650          87.373    -10.232    -86.879            7.322        18006.516      1.829      0.000      0.000    0.03793   26.74470           -0.49385       88.61611         5.443e-06 
