#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.H-SSPA2.bf96a4c3-9391-4af4-8dab-12202b581e79_Trajectory.txt
# RunID         : sara
# ObjectID      : bf96a4c3-9391-4af4-8dab-12202b581e79
# ObjectName    : H-SSPA2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2676.200          70.563     -9.692    -74.775            6.896        19334.937      1.624      0.000      0.000    0.00401   23.30852           -1.16798       86.24330         7.654e-05 
  2676.300          70.549     -9.691    -74.768            6.892        19335.619      1.624      0.000      0.000    0.00400   23.29576           -1.16898       86.24212         7.667e-05 
  2676.750          70.486     -9.689    -74.741            6.875        19338.682      1.624      0.000      0.000    0.00397   23.23640           -1.17362       86.23681         7.729e-05 
  2677.750          70.345     -9.685    -74.679            6.838        19345.462      1.624      0.000      0.000    0.00390   23.09976           -1.18447       86.22505         7.873e-05 
  2678.750          70.203     -9.681    -74.618            6.800        19352.204      1.624      0.000      0.000    0.00382   22.95214           -1.19611       86.21336         8.031e-05 
  2679.750          70.061     -9.677    -74.557            6.761        19358.909      1.624      0.000      0.000    0.00375   22.80359           -1.20855       86.20172         8.192e-05 
  2680.750          69.918     -9.673    -74.496            6.723        19365.576      1.624      0.000      0.000    0.00367   22.65411           -1.22179       86.19016         8.357e-05 
  2681.750          69.774     -9.669    -74.436            6.684        19372.205      1.624      0.000      0.000    0.00360   22.50369           -1.23585       86.17865         8.526e-05 
  2682.750          69.630     -9.665    -74.376            6.645        19378.795      1.624      0.000      0.000    0.00353   22.35235           -1.25074       86.16721         8.700e-05 
  2683.750          69.484     -9.661    -74.316            6.605        19385.347      1.624      0.000      0.000    0.00346   22.20006           -1.26648       86.15583         8.877e-05 
  2684.750          69.338     -9.658    -74.257            6.565        19391.859      1.624      0.000      0.000    0.00339   22.04683           -1.28308       86.14452         9.059e-05 
  2685.750          69.190     -9.654    -74.198            6.525        19398.331      1.624      0.000      0.000    0.00332   21.89265           -1.30054       86.13327         9.246e-05 
