#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.IASI-DPS-internal.2501fa19-3f92-4112-814c-f82417561371_Trajectory.txt
# RunID         : sara
# ObjectID      : 2501fa19-3f92-4112-814c-f82417561371
# ObjectName    : IASI-DPS-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2727.750          61.518     -9.485    -71.819            5.445        19660.149      1.195      0.000      0.000    0.00074   17.46381           -2.27949       85.67771         2.559e-04 
  2727.850          61.496     -9.484    -71.814            5.439        19660.688      1.195      0.000      0.000    0.00074   17.44315           -2.28396       85.67674         2.565e-04 
  2728.300          61.398     -9.483    -71.792            5.408        19663.103      1.195      0.000      0.000    0.00073   17.34721           -2.30429       85.67242         2.594e-04 
  2729.300          61.180     -9.479    -71.744            5.341        19668.422      1.195      0.000      0.000    0.00071   17.12722           -2.35084       85.66288         2.662e-04 
  2730.300          60.960     -9.475    -71.696            5.274        19673.674      1.195      0.000      0.000    0.00069   16.89091           -2.39929       85.65343         2.736e-04 
  2731.300          60.738     -9.472    -71.649            5.206        19678.860      1.195      0.000      0.000    0.00067   16.65457           -2.44970       85.64408         2.814e-04 
  2732.300          60.515     -9.468    -71.603            5.138        19683.978      1.195      0.000      0.000    0.00065   16.41826           -2.50209       85.63483         2.894e-04 
  2733.300          60.290     -9.465    -71.557            5.071        19689.030      1.195      0.000      0.000    0.00064   16.18204           -2.55651       85.62567         2.976e-04 
  2734.300          60.063     -9.461    -71.512            5.003        19694.014      1.195      0.000      0.000    0.00062   15.94594           -2.61301       85.61661         3.062e-04 
  2735.300          59.834     -9.458    -71.467            4.935        19698.931      1.195      0.000      0.000    0.00060   15.71004           -2.67161       85.60764         3.150e-04 
  2736.300          59.603     -9.455    -71.423            4.867        19703.780      1.195      0.000      0.000    0.00058   15.47437           -2.73238       85.59878         3.242e-04 
  2737.300          59.370     -9.451    -71.380            4.798        19708.562      1.195      0.000      0.000    0.00057   15.23900           -2.79535       85.59001         3.337e-04 
  2738.300          59.135     -9.448    -71.337            4.730        19713.276      1.195      0.000      0.000    0.00055   15.00399           -2.86056       85.58134         3.435e-04 
  2739.300          58.898     -9.445    -71.295            4.662        19717.923      1.195      0.000      0.000    0.00053   14.76938           -2.92808       85.57277         3.537e-04 
  2740.300          58.658     -9.442    -71.253            4.594        19722.503      1.195      0.000      0.000    0.00052   14.53524           -2.99795       85.56430         3.642e-04 
  2741.300          58.417     -9.438    -71.212            4.526        19727.014      1.195      0.000      0.000    0.00050   14.30162           -3.07022       85.55593         3.752e-04 
  2742.300          58.174     -9.435    -71.172            4.458        19731.459      1.195      0.000      0.000    0.00049   14.06859           -3.14494       85.54766         3.865e-04 
  2743.300          57.928     -9.432    -71.132            4.371        19735.826      1.195      0.000      0.000    0.00048   13.78427           -3.22268       85.53941         3.982e-04 
  2744.300          57.684     -9.429    -71.093            4.231        19740.081      1.195      0.000      0.000    0.00046   13.34886           -3.30521       85.53108         4.103e-04 
  2745.300          57.446     -9.426    -71.057            3.920        19744.110      1.195      0.000      0.000    0.00045   12.41950           -3.39878       85.52212         4.224e-04 
