#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.MHS-DBU.82d55923-d2af-4bc8-8582-080753d6bbcb_Trajectory.txt
# RunID         : sara
# ObjectID      : 82d55923-d2af-4bc8-8582-080753d6bbcb
# ObjectName    : MHS-DBU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2676.200          70.563     -9.692    -74.775            6.896        19334.937      1.430      0.000      0.000    0.00714   23.30852           -1.16798       86.24330         7.654e-05 
  2676.300          70.549     -9.691    -74.768            6.891        19335.619      1.430      0.000      0.000    0.00713   23.29412           -1.16898       86.24212         7.667e-05 
  2676.750          70.486     -9.689    -74.741            6.872        19338.681      1.430      0.000      0.000    0.00707   23.22714           -1.17364       86.23681         7.729e-05 
  2677.750          70.345     -9.685    -74.679            6.829        19345.455      1.430      0.000      0.000    0.00694   23.07312           -1.18462       86.22506         7.873e-05 
  2678.750          70.204     -9.681    -74.618            6.786        19352.186      1.430      0.000      0.000    0.00681   22.90694           -1.19650       86.21339         8.030e-05 
  2679.750          70.062     -9.677    -74.557            6.742        19358.874      1.430      0.000      0.000    0.00667   22.73997           -1.20929       86.20178         8.191e-05 
  2680.750          69.919     -9.673    -74.497            6.698        19365.519      1.430      0.000      0.000    0.00654   22.57221           -1.22301       86.19025         8.356e-05 
  2681.750          69.776     -9.669    -74.436            6.653        19372.121      1.430      0.000      0.000    0.00641   22.40365           -1.23767       86.17879         8.525e-05 
  2682.750          69.632     -9.666    -74.377            6.609        19378.678      1.430      0.000      0.000    0.00628   22.23430           -1.25328       86.16740         8.697e-05 
  2683.750          69.487     -9.662    -74.318            6.564        19385.191      1.430      0.000      0.000    0.00616   22.06416           -1.26985       86.15609         8.874e-05 
  2684.750          69.341     -9.658    -74.259            6.519        19391.660      1.430      0.000      0.000    0.00604   21.89324           -1.28740       86.14484         9.056e-05 
  2685.750          69.194     -9.654    -74.200            6.473        19398.084      1.430      0.000      0.000    0.00591   21.72154           -1.30595       86.13367         9.242e-05 
  2686.750          69.046     -9.650    -74.142            6.426        19404.463      1.430      0.000      0.000    0.00579   21.54680           -1.32552       86.12257         9.433e-05 
  2687.750          68.896     -9.646    -74.085            6.372        19410.791      1.430      0.000      0.000    0.00568   21.34815           -1.34623       86.11156         9.629e-05 
  2688.750          68.746     -9.642    -74.028            6.306        19417.061      1.430      0.000      0.000    0.00556   21.11445           -1.36832       86.10063         9.830e-05 
  2689.750          68.595     -9.638    -73.972            6.225        19423.257      1.430      0.000      0.000    0.00545   20.83129           -1.39211       86.08983         1.004e-04 
  2690.750          68.444     -9.635    -73.916            6.121        19429.362      1.430      0.000      0.000    0.00533   20.47342           -1.41810       86.07917         1.025e-04 
  2691.750          68.293     -9.631    -73.862            5.976        19435.344      1.430      0.000      0.000    0.00522   19.99070           -1.44715       86.06870         1.046e-04 
  2692.750          68.143     -9.627    -73.809            5.753        19441.143      1.430      0.000      0.000    0.00512   19.26027           -1.48092       86.05850         1.068e-04 
  2693.750          67.998     -9.624    -73.759            5.300        19446.604      1.430      0.000      0.000    0.00502   17.82492           -1.52431       86.04881         1.089e-04 
  2693.790          67.993     -9.624    -73.758            4.742        19446.802      1.430      0.000      0.000    0.00500   16.00004           -1.52852       86.04841         1.093e-04 
