#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.MOD1.b3430ea6-7c48-4042-b5f7-b07cf49a6371_Trajectory.txt
# RunID         : sara
# ObjectID      : b3430ea6-7c48-4042-b5f7-b07cf49a6371
# ObjectName    : MOD1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2676.200          70.563     -9.692    -74.775            6.896        19334.937      0.862      0.000      0.000    0.00490   23.30852           -1.16798       86.24330         7.654e-05 
  2676.300          70.549     -9.691    -74.768            6.892        19335.619      0.862      0.000      0.000    0.00489   23.29612           -1.16898       86.24212         7.667e-05 
  2676.750          70.486     -9.689    -74.741            6.876        19338.682      0.862      0.000      0.000    0.00485   23.23846           -1.17361       86.23681         7.729e-05 
  2677.750          70.345     -9.685    -74.679            6.840        19345.463      0.862      0.000      0.000    0.00477   23.10569           -1.18444       86.22505         7.873e-05 
  2678.750          70.203     -9.681    -74.618            6.803        19352.208      0.862      0.000      0.000    0.00467   22.96221           -1.19603       86.21335         8.031e-05 
  2679.750          70.061     -9.677    -74.557            6.766        19358.917      0.862      0.000      0.000    0.00458   22.81778           -1.20838       86.20171         8.192e-05 
  2680.750          69.918     -9.673    -74.496            6.728        19365.589      0.862      0.000      0.000    0.00449   22.67239           -1.22152       86.19014         8.357e-05 
  2681.750          69.774     -9.669    -74.436            6.691        19372.224      0.862      0.000      0.000    0.00440   22.52605           -1.23545       86.17862         8.527e-05 
  2682.750          69.629     -9.665    -74.376            6.653        19378.821      0.862      0.000      0.000    0.00431   22.37876           -1.25018       86.16717         8.700e-05 
  2683.750          69.484     -9.661    -74.316            6.614        19385.381      0.862      0.000      0.000    0.00423   22.23049           -1.26573       86.15578         8.878e-05 
  2684.750          69.337     -9.657    -74.257            6.576        19391.903      0.862      0.000      0.000    0.00414   22.08126           -1.28211       86.14445         9.060e-05 
  2685.750          69.189     -9.654    -74.198            6.537        19398.387      0.862      0.000      0.000    0.00406   21.93106           -1.29934       86.13319         9.247e-05 
  2686.750          69.041     -9.650    -74.139            6.497        19404.832      0.862      0.000      0.000    0.00397   21.77988           -1.31742       86.12198         9.439e-05 
  2687.750          68.891     -9.646    -74.081            6.457        19411.238      0.862      0.000      0.000    0.00389   21.62771           -1.33638       86.11084         9.637e-05 
  2688.750          68.739     -9.642    -74.023            6.417        19417.604      0.862      0.000      0.000    0.00381   21.47455           -1.35621       86.09977         9.839e-05 
  2689.750          68.587     -9.638    -73.965            6.377        19423.931      0.862      0.000      0.000    0.00373   21.32040           -1.37695       86.08876         1.005e-04 
  2690.750          68.433     -9.634    -73.908            6.333        19430.216      0.862      0.000      0.000    0.00366   21.15517           -1.39865       86.07781         1.026e-04 
  2691.750          68.278     -9.630    -73.852            6.283        19436.455      0.862      0.000      0.000    0.00358   20.97128           -1.42143       86.06694         1.048e-04 
  2692.750          68.121     -9.626    -73.795            6.225        19442.641      0.862      0.000      0.000    0.00350   20.76361           -1.44545       86.05615         1.071e-04 
  2693.750          67.964     -9.622    -73.740            6.158        19448.765      0.862      0.000      0.000    0.00343   20.52563           -1.47095       86.04546         1.094e-04 
  2694.750          67.805     -9.619    -73.685            6.079        19454.817      0.862      0.000      0.000    0.00336   20.24782           -1.49819       86.03488         1.118e-04 
  2695.750          67.646     -9.615    -73.631            5.983        19460.782      0.862      0.000      0.000    0.00328   19.91564           -1.52758       86.02442         1.142e-04 
  2696.750          67.487     -9.611    -73.577            5.861        19466.639      0.862      0.000      0.000    0.00321   19.50532           -1.55969       86.01412         1.167e-04 
  2697.750          67.327     -9.608    -73.525            5.702        19472.357      0.862      0.000      0.000    0.00315   18.97444           -1.59544       86.00401         1.193e-04 
  2698.750          67.170     -9.604    -73.475            5.476        19477.884      0.862      0.000      0.000    0.00308   18.23657           -1.63645       85.99414         1.219e-04 
