#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Ribpanel5.2d1ff1e5-d89d-41ec-9b30-c8806caa1207_Trajectory.txt
# RunID         : sara
# ObjectID      : 2d1ff1e5-d89d-41ec-9b30-c8806caa1207
# ObjectName    : Ribpanel5
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960     13.921      0.000      0.000    0.01240   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.329        17952.683     13.921      0.000      0.000    0.01239   26.77326           -0.48419       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.323        17955.934     13.920      0.000      0.000    0.01233   26.75203           -0.48478       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.309        17963.150     13.919      0.000      0.000    0.01221   26.70313           -0.48630       88.69535         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.294        17970.351     13.919      0.000      0.000    0.01207   26.65025           -0.48810       88.68218         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.279        17977.538     13.918      0.000      0.000    0.01194   26.59698           -0.49018       88.66903         5.205e-06 
  2486.650          87.562    -10.237    -87.078            7.265        17984.711     13.917      0.000      0.000    0.01181   26.54333           -0.49254       88.65591         5.263e-06 
  2487.650          87.499    -10.236    -87.013            7.250        17991.869     13.917      0.000      0.000    0.01168   26.48929           -0.49518       88.64282         5.322e-06 
  2488.650          87.436    -10.234    -86.947            7.235        17999.012     13.916      0.000      0.000    0.01155   26.43485           -0.49811       88.62975         5.382e-06 
  2489.650          87.373    -10.232    -86.882            7.220        18006.141     13.916      0.000      0.000    0.01142   26.38003           -0.50133       88.61670         5.442e-06 
  2490.650          87.310    -10.231    -86.817            7.205        18013.255     13.915      0.000      0.000    0.01129   26.32481           -0.50485       88.60368         5.504e-06 
  2491.650          87.246    -10.229    -86.753            7.189        18020.354     13.915      0.000      0.000    0.01117   26.26919           -0.50866       88.59069         5.566e-06 
  2492.650          87.182    -10.228    -86.688            7.174        18027.437     13.915      0.000      0.000    0.01104   26.21316           -0.51277       88.57773         5.630e-06 
  2493.650          87.118    -10.226    -86.624            7.159        18034.506     13.915      0.000      0.000    0.01091   26.15673           -0.51717       88.56479         5.695e-06 
  2494.650          87.053    -10.225    -86.559            7.143        18041.560     13.914      0.000      0.000    0.01079   26.09988           -0.52189       88.55187         5.761e-06 
  2495.650          86.988    -10.223    -86.495            7.127        18048.598     13.914      0.000      0.000    0.01066   26.04262           -0.52691       88.53899         5.828e-06 
  2496.650          86.922    -10.221    -86.431            7.111        18055.620     13.914      0.000      0.000    0.01054   25.98494           -0.53224       88.52613         5.896e-06 
  2497.650          86.856    -10.220    -86.367            7.096        18062.627     13.914      0.000      0.000    0.01042   25.92682           -0.53788       88.51330         5.966e-06 
  2498.650          86.789    -10.218    -86.303            7.080        18069.619     13.914      0.000      0.000    0.01029   25.86828           -0.54384       88.50050         6.038e-06 
  2499.650          86.721    -10.216    -86.239            7.063        18076.594     13.914      0.000      0.000    0.01017   25.80929           -0.55012       88.48773         6.110e-06 
  2500.650          86.653    -10.215    -86.176            7.047        18083.554     13.914      0.000      0.000    0.01005   25.74986           -0.55672       88.47498         6.185e-06 
  2501.650          86.584    -10.213    -86.113            7.031        18090.498     13.914      0.000      0.000    0.00993   25.68997           -0.56364       88.46226         6.261e-06 
  2502.650          86.515    -10.211    -86.049            7.014        18097.425     13.914      0.000      0.000    0.00981   25.62961           -0.57090       88.44957         6.339e-06 
  2503.650          86.445    -10.210    -85.986            6.997        18104.336     13.914      0.000      0.000    0.00968   25.56571           -0.57849       88.43691         6.418e-06 
  2504.650          86.374    -10.208    -85.923            6.977        18111.228     13.914      0.000      0.000    0.00956   25.49680           -0.58646       88.42428         6.500e-06 
  2505.650          86.302    -10.206    -85.861            6.957        18118.101     13.914      0.000      0.000    0.00944   25.42209           -0.59483       88.41169         6.583e-06 
