#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SADM1_internal.40e2ffab-db50-4f10-af07-844ac3cd46d1_Trajectory.txt
# RunID         : sara
# ObjectID      : 40e2ffab-db50-4f10-af07-844ac3cd46d1
# ObjectName    : SADM1_internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2628.650          75.581     -9.877    -77.871            6.910        18994.597      1.048      0.000      0.000    0.00274   23.94094           -1.02001       86.83687         3.656e-05 
  2628.750          75.569     -9.877    -77.865            6.909        18995.280      1.048      0.000      0.000    0.00274   23.93641           -1.02097       86.83566         3.662e-05 
  2629.200          75.513     -9.875    -77.837            6.904        18998.350      1.048      0.000      0.000    0.00272   23.91530           -1.02535       86.83022         3.690e-05 
  2630.200          75.389     -9.872    -77.775            6.893        19005.166      1.048      0.000      0.000    0.00267   23.86651           -1.03523       86.81815         3.755e-05 
  2631.200          75.264     -9.869    -77.713            6.881        19011.971      1.048      0.000      0.000    0.00262   23.81350           -1.04534       86.80610         3.827e-05 
  2632.200          75.138     -9.865    -77.651            6.870        19018.765      1.048      0.000      0.000    0.00257   23.75985           -1.05569       86.79407         3.901e-05 
  2633.200          75.011     -9.862    -77.590            6.858        19025.548      1.048      0.000      0.000    0.00252   23.70553           -1.06628       86.78206         3.976e-05 
  2634.200          74.883     -9.858    -77.528            6.846        19032.319      1.048      0.000      0.000    0.00248   23.65053           -1.07712       86.77008         4.053e-05 
  2635.200          74.754     -9.855    -77.466            6.834        19039.078      1.048      0.000      0.000    0.00243   23.59485           -1.08820       86.75812         4.133e-05 
  2636.200          74.623     -9.851    -77.405            6.822        19045.825      1.048      0.000      0.000    0.00238   23.53845           -1.09954       86.74618         4.215e-05 
  2637.200          74.492     -9.848    -77.344            6.809        19052.560      1.048      0.000      0.000    0.00233   23.48133           -1.11113       86.73427         4.299e-05 
  2638.200          74.359     -9.844    -77.282            6.797        19059.283      1.048      0.000      0.000    0.00229   23.42349           -1.12299       86.72238         4.385e-05 
  2639.200          74.225     -9.841    -77.221            6.784        19065.993      1.048      0.000      0.000    0.00224   23.36489           -1.13511       86.71051         4.474e-05 
  2640.200          74.090     -9.837    -77.160            6.771        19072.690      1.048      0.000      0.000    0.00220   23.30553           -1.14751       86.69867         4.565e-05 
  2641.200          73.954     -9.834    -77.100            6.757        19079.375      1.048      0.000      0.000    0.00215   23.24539           -1.16019       86.68685         4.658e-05 
  2642.200          73.817     -9.830    -77.039            6.744        19086.046      1.048      0.000      0.000    0.00211   23.18445           -1.17314       86.67506         4.755e-05 
  2643.200          73.678     -9.827    -76.978            6.730        19092.704      1.048      0.000      0.000    0.00207   23.12270           -1.18639       86.66330         4.854e-05 
  2644.200          73.538     -9.824    -76.918            6.716        19099.348      1.048      0.000      0.000    0.00202   23.06012           -1.19993       86.65156         4.956e-05 
