#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SADME.dc7dacaf-0684-4bc3-b79b-30d22b334b96_Trajectory.txt
# RunID         : sara
# ObjectID      : dc7dacaf-0684-4bc3-b79b-30d22b334b96
# ObjectName    : SADME
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960      2.685      0.000      0.000    0.04302   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.331        17952.683      2.684      0.000      0.000    0.04298   26.77731           -0.48418       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.330        17955.936      2.682      0.000      0.000    0.04279   26.77488           -0.48473       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.328        17963.165      2.676      0.000      0.000    0.04235   26.76926           -0.48597       88.69533         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.327        17970.392      2.669      0.000      0.000    0.04188   26.76317           -0.48724       88.68212         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.325        17977.617      2.663      0.000      0.000    0.04142   26.75702           -0.48855       88.66891         5.205e-06 
  2486.650          87.561    -10.237    -87.077            7.323        17984.841      2.657      0.000      0.000    0.04097   26.75080           -0.48989       88.65571         5.264e-06 
  2487.650          87.498    -10.236    -87.011            7.321        17992.063      2.650      0.000      0.000    0.04051   26.74453           -0.49126       88.64251         5.323e-06 
  2488.650          87.436    -10.234    -86.945            7.320        17999.284      2.644      0.000      0.000    0.04006   26.73818           -0.49267       88.62932         5.382e-06 
  2489.650          87.373    -10.232    -86.879            7.318        18006.503      2.638      0.000      0.000    0.03962   26.73177           -0.49411       88.61613         5.443e-06 
  2490.650          87.309    -10.231    -86.813            7.316        18013.720      2.632      0.000      0.000    0.03918   26.72530           -0.49559       88.60295         5.505e-06 
  2491.650          87.246    -10.229    -86.747            7.314        18020.936      2.626      0.000      0.000    0.03874   26.71875           -0.49710       88.58977         5.567e-06 
  2492.650          87.182    -10.228    -86.682            7.313        18028.149      2.620      0.000      0.000    0.03830   26.71215           -0.49864       88.57660         5.630e-06 
  2493.650          87.119    -10.226    -86.616            7.311        18035.361      2.614      0.000      0.000    0.03787   26.70547           -0.50022       88.56343         5.694e-06 
  2494.650          87.055    -10.224    -86.550            7.309        18042.572      2.608      0.000      0.000    0.03745   26.69873           -0.50184       88.55026         5.759e-06 
  2495.650          86.991    -10.223    -86.484            7.307        18049.780      2.602      0.000      0.000    0.03702   26.69192           -0.50349       88.53711         5.825e-06 
  2496.650          86.926    -10.221    -86.418            7.305        18056.987      2.597      0.000      0.000    0.03660   26.68503           -0.50518       88.52395         5.892e-06 
  2497.650          86.862    -10.219    -86.353            7.303        18064.192      2.591      0.000      0.000    0.03618   26.67808           -0.50691       88.51080         5.960e-06 
  2498.650          86.797    -10.218    -86.287            7.301        18071.395      2.586      0.000      0.000    0.03577   26.67106           -0.50867       88.49766         6.029e-06 
  2499.650          86.732    -10.216    -86.221            7.299        18078.597      2.580      0.000      0.000    0.03536   26.66397           -0.51047       88.48452         6.099e-06 
  2500.650          86.667    -10.214    -86.156            7.297        18085.796      2.575      0.000      0.000    0.03495   26.65681           -0.51231       88.47139         6.170e-06 
  2501.650          86.602    -10.212    -86.090            7.296        18092.994      2.569      0.000      0.000    0.03455   26.64957           -0.51419       88.45827         6.242e-06 
  2502.650          86.536    -10.211    -86.024            7.294        18100.190      2.564      0.000      0.000    0.03415   26.64226           -0.51611       88.44514         6.315e-06 
  2503.650          86.470    -10.209    -85.959            7.292        18107.384      2.559      0.000      0.000    0.03375   26.63488           -0.51806       88.43203         6.390e-06 
  2504.650          86.404    -10.207    -85.893            7.290        18114.576      2.554      0.000      0.000    0.03336   26.62743           -0.52005       88.41892         6.465e-06 
  2505.650          86.338    -10.205    -85.827            7.287        18121.766      2.549      0.000      0.000    0.03297   26.61990           -0.52209       88.40581         6.542e-06 
  2506.650          86.271    -10.203    -85.762            7.285        18128.954      2.544      0.000      0.000    0.03258   26.61229           -0.52416       88.39271         6.620e-06 
  2507.650          86.205    -10.202    -85.696            7.283        18136.140      2.539      0.000      0.000    0.03220   26.60461           -0.52627       88.37962         6.699e-06 
  2508.650          86.138    -10.200    -85.631            7.281        18143.325      2.534      0.000      0.000    0.03182   26.59686           -0.52843       88.36653         6.780e-06 
  2509.650          86.070    -10.198    -85.565            7.279        18150.507      2.529      0.000      0.000    0.03144   26.58903           -0.53062       88.35345         6.861e-06 
  2510.650          86.003    -10.196    -85.500            7.277        18157.687      2.524      0.000      0.000    0.03106   26.58111           -0.53286       88.34037         6.945e-06 
  2511.650          85.935    -10.194    -85.434            7.275        18164.865      2.520      0.000      0.000    0.03071   26.56514           -0.53514       88.32730         7.024e-06 
  2512.650          85.867    -10.192    -85.369            7.273        18172.041      2.515      0.000      0.000    0.03036   26.54749           -0.53746       88.31424         7.104e-06 
  2513.650          85.799    -10.190    -85.303            7.270        18179.215      2.511      0.000      0.000    0.03002   26.52976           -0.53983       88.30118         7.186e-06 
  2514.650          85.730    -10.188    -85.238            7.268        18186.387      2.507      0.000      0.000    0.02968   26.51193           -0.54224       88.28813         7.269e-06 
  2515.650          85.661    -10.187    -85.172            7.266        18193.557      2.503      0.000      0.000    0.02934   26.49399           -0.54469       88.27508         7.353e-06 
  2516.650          85.592    -10.185    -85.107            7.264        18200.725      2.498      0.000      0.000    0.02900   26.47594           -0.54718       88.26204         7.438e-06 
  2517.650          85.522    -10.183    -85.042            7.261        18207.890      2.494      0.000      0.000    0.02867   26.45782           -0.54972       88.24901         7.525e-06 
  2518.650          85.452    -10.181    -84.976            7.259        18215.053      2.490      0.000      0.000    0.02833   26.43954           -0.55231       88.23598         7.613e-06 
  2519.650          85.382    -10.179    -84.911            7.257        18222.214      2.487      0.000      0.000    0.02801   26.42113           -0.55494       88.22296         7.702e-06 
  2520.650          85.312    -10.177    -84.846            7.254        18229.373      2.483      0.000      0.000    0.02768   26.40267           -0.55762       88.20994         7.793e-06 
  2521.650          85.241    -10.175    -84.780            7.252        18236.530      2.479      0.000      0.000    0.02736   26.38407           -0.56034       88.19693         7.885e-06 
  2522.650          85.170    -10.173    -84.715            7.250        18243.684      2.475      0.000      0.000    0.02704   26.36536           -0.56311       88.18393         7.979e-06 
  2523.650          85.099    -10.170    -84.650            7.247        18250.836      2.472      0.000      0.000    0.02672   26.34652           -0.56593       88.17094         8.074e-06 
  2524.650          85.027    -10.168    -84.585            7.245        18257.986      2.468      0.000      0.000    0.02640   26.32757           -0.56879       88.15795         8.171e-06 
  2525.650          84.955    -10.166    -84.519            7.242        18265.133      2.464      0.000      0.000    0.02609   26.30849           -0.57170       88.14496         8.269e-06 
  2526.650          84.882    -10.164    -84.454            7.240        18272.278      2.461      0.000      0.000    0.02578   26.28929           -0.57466       88.13199         8.369e-06 
  2527.650          84.810    -10.162    -84.389            7.237        18279.421      2.458      0.000      0.000    0.02547   26.26996           -0.57768       88.11902         8.470e-06 
  2528.650          84.736    -10.160    -84.324            7.235        18286.561      2.454      0.000      0.000    0.02516   26.25051           -0.58074       88.10606         8.573e-06 
  2529.650          84.663    -10.158    -84.259            7.232        18293.699      2.451      0.000      0.000    0.02486   26.23094           -0.58385       88.09310         8.678e-06 
  2530.650          84.589    -10.156    -84.194            7.230        18300.834      2.448      0.000      0.000    0.02456   26.21126           -0.58701       88.08015         8.785e-06 
  2531.650          84.515    -10.154    -84.129            7.227        18307.967      2.445      0.000      0.000    0.02426   26.19137           -0.59022       88.06721         8.893e-06 
  2532.650          84.440    -10.151    -84.064            7.224        18315.097      2.442      0.000      0.000    0.02396   26.17137           -0.59349       88.05428         9.003e-06 
  2533.650          84.365    -10.149    -83.999            7.222        18322.224      2.439      0.000      0.000    0.02367   26.15124           -0.59680       88.04135         9.115e-06 
  2534.650          84.290    -10.147    -83.934            7.219        18329.350      2.436      0.000      0.000    0.02338   26.13098           -0.60017       88.02843         9.229e-06 
  2535.650          84.214    -10.145    -83.869            7.216        18336.472      2.433      0.000      0.000    0.02309   26.11057           -0.60360       88.01551         9.345e-06 
  2536.650          84.138    -10.142    -83.804            7.214        18343.592      2.430      0.000      0.000    0.02280   26.09005           -0.60707       88.00261         9.462e-06 
  2537.650          84.061    -10.140    -83.739            7.211        18350.709      2.427      0.000      0.000    0.02252   26.06936           -0.61061       87.98971         9.582e-06 
  2538.650          83.984    -10.138    -83.674            7.208        18357.824      2.425      0.000      0.000    0.02223   26.04847           -0.61420       87.97682         9.704e-06 
  2539.650          83.906    -10.136    -83.609            7.205        18364.935      2.422      0.000      0.000    0.02195   26.02747           -0.61784       87.96393         9.828e-06 
  2540.650          83.829    -10.133    -83.544            7.202        18372.044      2.420      0.000      0.000    0.02167   26.00631           -0.62154       87.95106         9.954e-06 
  2541.650          83.750    -10.131    -83.480            7.199        18379.151      2.417      0.000      0.000    0.02140   25.98500           -0.62530       87.93819         1.008e-05 
  2542.650          83.671    -10.129    -83.415            7.196        18386.254      2.415      0.000      0.000    0.02112   25.96353           -0.62912       87.92533         1.021e-05 
  2543.650          83.592    -10.126    -83.350            7.193        18393.355      2.412      0.000      0.000    0.02085   25.94189           -0.63299       87.91247         1.035e-05 
  2544.650          83.512    -10.124    -83.285            7.190        18400.452      2.410      0.000      0.000    0.02058   25.92008           -0.63692       87.89963         1.048e-05 
  2545.650          83.432    -10.122    -83.221            7.187        18407.547      2.408      0.000      0.000    0.02031   25.89813           -0.64092       87.88679         1.062e-05 
  2546.650          83.352    -10.119    -83.156            7.184        18414.639      2.406      0.000      0.000    0.02005   25.87600           -0.64497       87.87396         1.076e-05 
  2547.650          83.271    -10.117    -83.091            7.181        18421.728      2.404      0.000      0.000    0.01979   25.85370           -0.64909       87.86114         1.090e-05 
  2548.650          83.189    -10.115    -83.027            7.178        18428.814      2.402      0.000      0.000    0.01953   25.83122           -0.65327       87.84832         1.105e-05 
  2549.650          83.107    -10.112    -82.962            7.175        18435.897      2.400      0.000      0.000    0.01927   25.80855           -0.65751       87.83552         1.120e-05 
  2550.650          83.024    -10.110    -82.897            7.171        18442.976      2.398      0.000      0.000    0.01901   25.78572           -0.66182       87.82272         1.135e-05 
  2551.650          82.941    -10.107    -82.833            7.168        18450.053      2.396      0.000      0.000    0.01876   25.76270           -0.66619       87.80993         1.150e-05 
  2552.650          82.858    -10.105    -82.768            7.165        18457.126      2.394      0.000      0.000    0.01850   25.73951           -0.67062       87.79715         1.166e-05 
  2553.650          82.773    -10.102    -82.704            7.161        18464.196      2.392      0.000      0.000    0.01825   25.71613           -0.67512       87.78437         1.182e-05 
  2554.650          82.689    -10.100    -82.640            7.158        18471.263      2.391      0.000      0.000    0.01800   25.69230           -0.67969       87.77161         1.198e-05 
  2555.650          82.604    -10.097    -82.575            7.154        18478.327      2.389      0.000      0.000    0.01776   25.66803           -0.68433       87.75885         1.215e-05 
