#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SAsupp2.15061893-d082-46d0-bfda-0777e9cd0ebc_Trajectory.txt
# RunID         : sara
# ObjectID      : 15061893-d082-46d0-bfda-0777e9cd0ebc
# ObjectName    : SAsupp2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960      2.152      0.000      0.000    0.06069   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.331        17952.683      2.151      0.000      0.000    0.06063   26.77691           -0.48418       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.329        17955.936      2.149      0.000      0.000    0.06036   26.77262           -0.48474       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.326        17963.163      2.143      0.000      0.000    0.05974   26.76273           -0.48600       88.69534         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.323        17970.388      2.136      0.000      0.000    0.05909   26.75203           -0.48733       88.68213         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.320        17977.610      2.130      0.000      0.000    0.05844   26.74123           -0.48871       88.66893         5.205e-06 
  2486.650          87.561    -10.237    -87.077            7.317        17984.828      2.123      0.000      0.000    0.05779   26.73035           -0.49015       88.65573         5.264e-06 
  2487.650          87.498    -10.236    -87.011            7.314        17992.044      2.117      0.000      0.000    0.05715   26.71937           -0.49165       88.64254         5.323e-06 
  2488.650          87.436    -10.234    -86.945            7.311        17999.257      2.111      0.000      0.000    0.05652   26.70830           -0.49320       88.62936         5.382e-06 
  2489.650          87.373    -10.232    -86.879            7.308        18006.467      2.104      0.000      0.000    0.05589   26.69714           -0.49482       88.61619         5.443e-06 
  2490.650          87.309    -10.231    -86.814            7.305        18013.674      2.098      0.000      0.000    0.05527   26.68588           -0.49649       88.60302         5.504e-06 
  2491.650          87.246    -10.229    -86.748            7.302        18020.878      2.092      0.000      0.000    0.05465   26.67453           -0.49823       88.58986         5.567e-06 
  2492.650          87.182    -10.228    -86.682            7.299        18028.079      2.086      0.000      0.000    0.05404   26.66308           -0.50002       88.57671         5.630e-06 
  2493.650          87.119    -10.226    -86.616            7.296        18035.277      2.080      0.000      0.000    0.05343   26.65153           -0.50188       88.56356         5.694e-06 
  2494.650          87.055    -10.224    -86.551            7.293        18042.472      2.073      0.000      0.000    0.05282   26.63989           -0.50380       88.55042         5.759e-06 
  2495.650          86.990    -10.223    -86.485            7.289        18049.664      2.067      0.000      0.000    0.05223   26.62816           -0.50578       88.53729         5.826e-06 
  2496.650          86.926    -10.221    -86.420            7.286        18056.853      2.061      0.000      0.000    0.05163   26.61632           -0.50782       88.52417         5.893e-06 
  2497.650          86.861    -10.219    -86.354            7.283        18064.038      2.055      0.000      0.000    0.05104   26.60438           -0.50993       88.51105         5.961e-06 
  2498.650          86.796    -10.218    -86.289            7.280        18071.221      2.049      0.000      0.000    0.05046   26.59234           -0.51210       88.49794         6.030e-06 
  2499.650          86.731    -10.216    -86.223            7.276        18078.400      2.043      0.000      0.000    0.04988   26.58020           -0.51433       88.48484         6.100e-06 
  2500.650          86.666    -10.214    -86.158            7.273        18085.576      2.038      0.000      0.000    0.04930   26.56796           -0.51663       88.47174         6.172e-06 
  2501.650          86.600    -10.212    -86.092            7.270        18092.749      2.032      0.000      0.000    0.04873   26.55561           -0.51899       88.45866         6.244e-06 
  2502.650          86.534    -10.211    -86.027            7.266        18099.919      2.026      0.000      0.000    0.04816   26.54316           -0.52142       88.44558         6.318e-06 
