#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SSR-internal.1ee7b59e-98d1-4ffc-b50c-f9b87172578e_Trajectory.txt
# RunID         : sara
# ObjectID      : 1ee7b59e-98d1-4ffc-b50c-f9b87172578e
# ObjectName    : SSR-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2738.750          58.958     -9.443    -71.274            4.950        19720.187      1.222      0.000      0.000    0.00023   15.65214           -2.75567       85.57124         3.524e-04 
  2738.850          58.934     -9.443    -71.270            4.935        19720.676      1.222      0.000      0.000    0.00023   15.60985           -2.76166       85.57032         3.533e-04 
  2739.300          58.827     -9.441    -71.250            4.869        19722.859      1.222      0.000      0.000    0.00022   15.41501           -2.78921       85.56620         3.575e-04 
  2740.300          58.591     -9.438    -71.207            4.727        19727.607      1.222      0.000      0.000    0.00022   14.97783           -2.85384       85.55719         3.673e-04 
  2741.300          58.356     -9.435    -71.165            4.589        19732.217      1.222      0.000      0.000    0.00021   14.52267           -2.92319       85.54838         3.780e-04 
  2742.300          58.123     -9.432    -71.124            4.455        19736.691      1.222      0.000      0.000    0.00021   14.08194           -2.99733       85.53978         3.890e-04 
  2743.300          57.890     -9.429    -71.085            4.325        19741.035      1.222      0.000      0.000    0.00020   13.65520           -3.07634       85.53136         4.002e-04 
  2744.300          57.658     -9.426    -71.047            4.199        19745.253      1.222      0.000      0.000    0.00020   13.24204           -3.16028       85.52314         4.116e-04 
  2745.300          57.427     -9.423    -71.009            4.077        19749.347      1.222      0.000      0.000    0.00019   12.84205           -3.24922       85.51510         4.234e-04 
  2746.300          57.196     -9.420    -70.973            3.959        19753.323      1.222      0.000      0.000    0.00018   12.45479           -3.34324       85.50724         4.354e-04 
  2747.300          56.965     -9.417    -70.938            3.844        19757.182      1.222      0.000      0.000    0.00018   12.07986           -3.44242       85.49955         4.477e-04 
  2748.300          56.734     -9.415    -70.904            3.733        19760.930      1.222      0.000      0.000    0.00017   11.71685           -3.54684       85.49203         4.603e-04 
  2749.300          56.503     -9.412    -70.871            3.625        19764.570      1.222      0.000      0.000    0.00017   11.36537           -3.65660       85.48468         4.733e-04 
  2750.300          56.272     -9.409    -70.839            3.521        19768.104      1.222      0.000      0.000    0.00017   11.02502           -3.77178       85.47750         4.866e-04 
  2751.300          56.040     -9.407    -70.808            3.420        19771.536      1.222      0.000      0.000    0.00016   10.69543           -3.89248       85.47047         5.003e-04 
  2752.300          55.808     -9.405    -70.778            3.321        19774.868      1.222      0.000      0.000    0.00016   10.37622           -4.01880       85.46359         5.144e-04 
  2753.300          55.574     -9.402    -70.748            3.226        19778.105      1.222      0.000      0.000    0.00015   10.06704           -4.15084       85.45687         5.289e-04 
  2754.300          55.341     -9.400    -70.720            3.134        19781.249      1.222      0.000      0.000    0.00015    9.76754           -4.28872       85.45030         5.438e-04 
  2755.300          55.106     -9.398    -70.692            3.044        19784.302      1.222      0.000      0.000    0.00014    9.47739           -4.43254       85.44387         5.591e-04 
  2756.300          54.870     -9.396    -70.665            2.950        19787.264      1.222      0.000      0.000    0.00014    9.17668           -4.58282       85.43754         5.749e-04 
  2757.300          54.635     -9.394    -70.639            2.842        19790.125      1.222      0.000      0.000    0.00014    8.83694           -4.74086       85.43125         5.911e-04 
  2758.300          54.401     -9.392    -70.614            2.717        19792.870      1.222      0.000      0.000    0.00013    8.44891           -4.90846       85.42499         6.075e-04 
  2759.300          54.171     -9.390    -70.591            2.575        19795.483      1.222      0.000      0.000    0.00013    8.00698           -5.08803       85.41875         6.242e-04 
  2760.300          53.946     -9.388    -70.568            2.414        19797.945      1.222      0.000      0.000    0.00013    7.50865           -5.28270       85.41249         6.410e-04 
  2761.300          53.728     -9.386    -70.547            2.235        19800.238      1.222      0.000      0.000    0.00012    6.95810           -5.49640       85.40621         6.576e-04 
  2762.300          53.519     -9.385    -70.528            2.045        19802.347      1.222      0.000      0.000    0.00012    6.36989           -5.73392       85.39987         6.739e-04 
  2763.300          53.320     -9.383    -70.511            1.851        19804.266      1.222      0.000      0.000    0.00012    5.76980           -6.00051       85.39347         6.898e-04 
  2764.300          53.132     -9.382    -70.495            1.664        19805.996      1.222      0.000      0.000    0.00011    5.18956           -6.30136       85.38704         7.051e-04 
  2765.300          52.955     -9.381    -70.481            1.493        19807.548      1.222      0.000      0.000    0.00011    4.65700           -6.64092       85.38064         7.199e-04 
  2766.300          52.787     -9.380    -70.468            1.343        19808.942      1.222      0.000      0.000    0.00011    4.18839           -7.02241       85.37434         7.341e-04 
  2767.300          52.626     -9.379    -70.457            1.216        19810.199      1.222      0.000      0.000    0.00011    3.78753           -7.44773       85.36819         7.479e-04 
  2768.300          52.471     -9.378    -70.447            1.108        19811.340      1.222      0.000      0.000    0.00011    3.44975           -7.91761       85.36226         7.615e-04 
  2769.300          52.320     -9.377    -70.437            1.017        19812.382      1.222      0.000      0.000    0.00010    3.16301           -8.43252       85.35650         7.749e-04 
  2770.300          52.172     -9.377    -70.429            0.938        19813.339      1.222      0.000      0.000    0.00010    2.91688           -8.99286       85.35091         7.882e-04 
  2771.300          52.027     -9.376    -70.421            0.870        19814.223      1.222      0.000      0.000    0.00010    2.70351           -9.59900       85.34546         8.015e-04 
  2772.300          51.882     -9.376    -70.413            0.810        19815.044      1.222      0.000      0.000    0.00010    2.51692          -10.25126       85.34014         8.149e-04 
  2773.300          51.738     -9.375    -70.406            0.758        19815.807      1.222      0.000      0.000    0.00010    2.35252          -10.94986       85.33494         8.285e-04 
  2774.300          51.594     -9.374    -70.400            0.711        19816.521      1.222      0.000      0.000    0.00010    2.20670          -11.69495       85.32984         8.422e-04 
  2775.300          51.450     -9.374    -70.394            0.669        19817.190      1.222      0.000      0.000    0.00009    2.07663          -12.48658       85.32484         8.562e-04 
  2776.300          51.304     -9.373    -70.388            0.632        19817.819      1.222      0.000      0.000    0.00009    1.96076          -13.32472       85.31993         8.713e-04 
  2777.300          51.158     -9.373    -70.383            0.598        19818.411      1.222      0.000      0.000    0.00009    1.85677          -14.20923       85.31509         8.872e-04 
  2778.300          51.011     -9.373    -70.377            0.567        19818.970      1.222      0.000      0.000    0.00009    1.76256          -15.13988       85.31032         9.036e-04 
  2779.300          50.862     -9.372    -70.373            0.540        19819.498      1.222      0.000      0.000    0.00009    1.67690          -16.11627       85.30562         9.205e-04 
  2780.300          50.711     -9.372    -70.368            0.514        19819.999      1.222      0.000      0.000    0.00009    1.59877          -17.13781       85.30096         9.378e-04 
  2781.300          50.559     -9.372    -70.364            0.491        19820.474      1.222      0.000      0.000    0.00008    1.52730          -18.20376       85.29636         9.557e-04 
  2782.300          50.404     -9.371    -70.360            0.470        19820.925      1.222      0.000      0.000    0.00008    1.46177          -19.31318       85.29180         9.742e-04 
  2783.300          50.248     -9.371    -70.356            0.450        19821.354      1.222      0.000      0.000    0.00008    1.40155          -20.46489       85.28727         9.933e-04 
  2784.300          50.090     -9.371    -70.352            0.432        19821.763      1.222      0.000      0.000    0.00008    1.34610          -21.65755       85.28277         1.013e-03 
  2785.300          49.929     -9.370    -70.349            0.416        19822.152      1.222      0.000      0.000    0.00008    1.29492          -22.88950       85.27842         1.033e-03 
  2786.300          49.766     -9.370    -70.345            0.401        19822.523      1.222      0.000      0.000    0.00008    1.24766          -24.15893       85.27423         1.054e-03 
  2787.300          49.601     -9.370    -70.342            0.386        19822.877      1.222      0.000      0.000    0.00007    1.20396          -25.46382       85.27005         1.076e-03 
  2788.300          49.434     -9.369    -70.339            0.373        19823.216      1.222      0.000      0.000    0.00007    1.16348          -26.80190       85.26588         1.099e-03 
