#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.STD2.84d8e60a-8888-4008-98ee-97f86e72405d_Trajectory.txt
# RunID         : sara
# ObjectID      : 84d8e60a-8888-4008-98ee-97f86e72405d
# ObjectName    : STD2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960      1.225      0.000      0.000    0.02702   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.330        17952.683      1.225      0.000      0.000    0.02699   26.77640           -0.48418       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.328        17955.936      1.224      0.000      0.000    0.02687   26.76978           -0.48474       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.324        17963.162      1.223      0.000      0.000    0.02660   26.75449           -0.48605       88.69534         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.319        17970.383      1.221      0.000      0.000    0.02631   26.73793           -0.48744       88.68214         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.315        17977.600      1.219      0.000      0.000    0.02602   26.72121           -0.48891       88.66894         5.205e-06 
  2486.650          87.561    -10.237    -87.077            7.310        17984.812      1.218      0.000      0.000    0.02573   26.70434           -0.49048       88.65576         5.264e-06 
  2487.650          87.499    -10.236    -87.011            7.305        17992.020      1.216      0.000      0.000    0.02544   26.68732           -0.49214       88.64258         5.322e-06 
  2488.650          87.436    -10.234    -86.946            7.301        17999.223      1.215      0.000      0.000    0.02516   26.67012           -0.49388       88.62942         5.382e-06 
  2489.650          87.373    -10.232    -86.880            7.296        18006.422      1.213      0.000      0.000    0.02488   26.65278           -0.49572       88.61626         5.443e-06 
  2490.650          87.309    -10.231    -86.814            7.291        18013.616      1.212      0.000      0.000    0.02460   26.63526           -0.49765       88.60311         5.504e-06 
  2491.650          87.246    -10.229    -86.749            7.286        18020.805      1.210      0.000      0.000    0.02433   26.61758           -0.49968       88.58998         5.567e-06 
  2492.650          87.182    -10.228    -86.683            7.281        18027.990      1.209      0.000      0.000    0.02406   26.59974           -0.50180       88.57685         5.630e-06 
  2493.650          87.119    -10.226    -86.617            7.276        18035.169      1.208      0.000      0.000    0.02378   26.58173           -0.50401       88.56373         5.694e-06 
  2494.650          87.054    -10.224    -86.552            7.271        18042.344      1.206      0.000      0.000    0.02352   26.56354           -0.50632       88.55063         5.760e-06 
  2495.650          86.990    -10.223    -86.487            7.266        18049.514      1.205      0.000      0.000    0.02325   26.54519           -0.50872       88.53753         5.826e-06 
  2496.650          86.925    -10.221    -86.421            7.261        18056.679      1.204      0.000      0.000    0.02298   26.52666           -0.51123       88.52444         5.893e-06 
  2497.650          86.860    -10.219    -86.356            7.256        18063.840      1.202      0.000      0.000    0.02272   26.50795           -0.51383       88.51137         5.962e-06 
  2498.650          86.795    -10.218    -86.291            7.251        18070.995      1.201      0.000      0.000    0.02246   26.48906           -0.51653       88.49830         6.031e-06 
  2499.650          86.730    -10.216    -86.225            7.246        18078.145      1.200      0.000      0.000    0.02220   26.46999           -0.51934       88.48525         6.102e-06 
  2500.650          86.664    -10.214    -86.160            7.241        18085.290      1.199      0.000      0.000    0.02194   26.45074           -0.52224       88.47220         6.173e-06 
  2501.650          86.598    -10.213    -86.095            7.235        18092.430      1.198      0.000      0.000    0.02168   26.43130           -0.52525       88.45917         6.247e-06 
  2502.650          86.531    -10.211    -86.030            7.230        18099.565      1.196      0.000      0.000    0.02143   26.41166           -0.52836       88.44615         6.321e-06 
  2503.650          86.464    -10.209    -85.965            7.224        18106.694      1.195      0.000      0.000    0.02118   26.39184           -0.53158       88.43313         6.396e-06 
  2504.650          86.397    -10.207    -85.900            7.219        18113.818      1.194      0.000      0.000    0.02093   26.37182           -0.53490       88.42013         6.473e-06 
