#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.T4S-internal.355d25f9-3965-425f-9261-2577f7f8cb4c_Trajectory.txt
# RunID         : sara
# ObjectID      : 355d25f9-3965-425f-9261-2577f7f8cb4c
# ObjectName    : T4S-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2609.650          77.633     -9.941    -79.087            6.975        18861.054      1.126      0.000      0.000    0.00606   24.40137           -0.91432       87.07342         2.671e-05 
  2609.750          77.622     -9.941    -79.081            6.974        18861.743      1.126      0.000      0.000    0.00605   24.39724           -0.91515       87.07220         2.675e-05 
  2610.200          77.572     -9.940    -79.053            6.969        18864.842      1.126      0.000      0.000    0.00601   24.37801           -0.91892       87.06668         2.694e-05 
  2611.200          77.460     -9.936    -78.990            6.959        18871.721      1.126      0.000      0.000    0.00591   24.33360           -0.92743       87.05442         2.738e-05 
  2612.200          77.347     -9.933    -78.928            6.949        18878.591      1.126      0.000      0.000    0.00581   24.28539           -0.93614       87.04219         2.786e-05 
  2613.200          77.233     -9.930    -78.865            6.939        18885.450      1.126      0.000      0.000    0.00571   24.23663           -0.94506       87.02997         2.835e-05 
  2614.200          77.118     -9.927    -78.803            6.929        18892.300      1.126      0.000      0.000    0.00561   24.18732           -0.95419       87.01777         2.886e-05 
  2615.200          77.002     -9.924    -78.741            6.918        18899.140      1.126      0.000      0.000    0.00551   24.13744           -0.96353       87.00560         2.937e-05 
  2616.200          76.885     -9.920    -78.678            6.908        18905.969      1.126      0.000      0.000    0.00541   24.08695           -0.97309       86.99344         2.990e-05 
  2617.200          76.767     -9.917    -78.616            6.897        18912.788      1.126      0.000      0.000    0.00532   24.03589           -0.98287       86.98131         3.045e-05 
  2618.200          76.648     -9.914    -78.554            6.886        18919.596      1.126      0.000      0.000    0.00522   23.98422           -0.99287       86.96919         3.101e-05 
  2619.200          76.529     -9.911    -78.492            6.875        18926.393      1.126      0.000      0.000    0.00513   23.93194           -1.00310       86.95710         3.158e-05 
  2620.200          76.408     -9.907    -78.431            6.864        18933.179      1.126      0.000      0.000    0.00503   23.87902           -1.01356       86.94503         3.217e-05 
  2621.200          76.286     -9.904    -78.369            6.852        18939.954      1.126      0.000      0.000    0.00494   23.82546           -1.02425       86.93298         3.277e-05 
  2622.200          76.163     -9.901    -78.307            6.840        18946.718      1.126      0.000      0.000    0.00485   23.77125           -1.03519       86.92095         3.339e-05 
  2623.200          76.039     -9.898    -78.246            6.829        18953.470      1.126      0.000      0.000    0.00476   23.71636           -1.04637       86.90894         3.403e-05 
  2624.200          75.913     -9.894    -78.184            6.817        18960.211      1.126      0.000      0.000    0.00467   23.66080           -1.05779       86.89696         3.468e-05 
  2625.200          75.787     -9.891    -78.123            6.804        18966.939      1.126      0.000      0.000    0.00458   23.60453           -1.06947       86.88500         3.536e-05 
  2626.200          75.659     -9.888    -78.062            6.792        18973.656      1.126      0.000      0.000    0.00449   23.54757           -1.08141       86.87306         3.605e-05 
  2627.200          75.530     -9.884    -78.001            6.779        18980.360      1.126      0.000      0.000    0.00440   23.48987           -1.09360       86.86115         3.676e-05 
  2628.200          75.400     -9.881    -77.940            6.766        18987.052      1.126      0.000      0.000    0.00432   23.43143           -1.10607       86.84925         3.749e-05 
  2629.200          75.269     -9.878    -77.879            6.753        18993.731      1.126      0.000      0.000    0.00423   23.37224           -1.11880       86.83739         3.824e-05 
  2630.200          75.137     -9.874    -77.819            6.736        19000.396      1.126      0.000      0.000    0.00415   23.29918           -1.13186       86.82555         3.901e-05 
  2631.200          75.003     -9.871    -77.758            6.706        19007.037      1.126      0.000      0.000    0.00407   23.18635           -1.14542       86.81374         3.980e-05 
  2632.200          74.869     -9.868    -77.698            6.611        19013.616      1.126      0.000      0.000    0.00399   22.87321           -1.16029       86.80201         4.061e-05 
