#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.TCU.ec89d4c6-20df-4070-b733-9f1552d41c7e_Trajectory.txt
# RunID         : sara
# ObjectID      : ec89d4c6-20df-4070-b733-9f1552d41c7e
# ObjectName    : TCU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2676.200          70.563     -9.692    -74.775            6.896        19334.937      1.903      0.000      0.000    0.00170   23.30852           -1.16798       86.24330         7.654e-05 
  2676.300          70.549     -9.691    -74.768            6.894        19335.619      1.903      0.000      0.000    0.00170   23.30294           -1.16898       86.24212         7.667e-05 
  2676.750          70.486     -9.689    -74.741            6.889        19338.686      1.903      0.000      0.000    0.00169   23.27693           -1.17353       86.23679         7.729e-05 
  2677.750          70.344     -9.685    -74.679            6.875        19345.491      1.903      0.000      0.000    0.00166   23.21688           -1.18383       86.22499         7.873e-05 
  2678.750          70.202     -9.681    -74.617            6.862        19352.282      1.903      0.000      0.000    0.00162   23.15169           -1.19442       86.21321         8.032e-05 
  2679.750          70.058     -9.677    -74.555            6.848        19359.061      1.903      0.000      0.000    0.00159   23.08576           -1.20528       86.20146         8.195e-05 
  2680.750          69.914     -9.673    -74.494            6.835        19365.826      1.903      0.000      0.000    0.00156   23.01906           -1.21642       86.18973         8.362e-05 
  2681.750          69.768     -9.669    -74.432            6.820        19372.578      1.903      0.000      0.000    0.00153   22.95160           -1.22786       86.17803         8.533e-05 
  2682.750          69.621     -9.665    -74.371            6.806        19379.316      1.903      0.000      0.000    0.00150   22.88335           -1.23959       86.16635         8.709e-05 
  2683.750          69.474     -9.661    -74.310            6.792        19386.039      1.903      0.000      0.000    0.00147   22.81429           -1.25163       86.15471         8.890e-05 
  2684.750          69.325     -9.657    -74.249            6.777        19392.749      1.903      0.000      0.000    0.00144   22.74443           -1.26397       86.14308         9.075e-05 
  2685.750          69.175     -9.653    -74.188            6.762        19399.443      1.903      0.000      0.000    0.00141   22.67372           -1.27663       86.13149         9.266e-05 
  2686.750          69.023     -9.649    -74.127            6.747        19406.123      1.903      0.000      0.000    0.00138   22.60218           -1.28961       86.11992         9.461e-05 
  2687.750          68.871     -9.645    -74.067            6.731        19412.788      1.903      0.000      0.000    0.00135   22.52977           -1.30291       86.10839         9.662e-05 
  2688.750          68.717     -9.641    -74.006            6.715        19419.437      1.903      0.000      0.000    0.00132   22.45648           -1.31654       86.09687         9.869e-05 
  2689.750          68.562     -9.637    -73.946            6.699        19426.071      1.903      0.000      0.000    0.00129   22.38230           -1.33052       86.08539         1.008e-04 
  2690.750          68.406     -9.632    -73.886            6.683        19432.689      1.903      0.000      0.000    0.00127   22.30721           -1.34483       86.07394         1.030e-04 
  2691.750          68.249     -9.628    -73.826            6.666        19439.290      1.903      0.000      0.000    0.00124   22.23119           -1.35950       86.06251         1.052e-04 
  2692.750          68.090     -9.624    -73.766            6.649        19445.876      1.903      0.000      0.000    0.00121   22.15421           -1.37453       86.05112         1.075e-04 
  2693.750          67.930     -9.620    -73.706            6.632        19452.444      1.903      0.000      0.000    0.00119   22.07629           -1.38993       86.03975         1.099e-04 
  2694.750          67.768     -9.616    -73.647            6.615        19458.996      1.903      0.000      0.000    0.00116   21.99738           -1.40570       86.02842         1.124e-04 
  2695.750          67.605     -9.612    -73.587            6.597        19465.530      1.903      0.000      0.000    0.00114   21.91746           -1.42185       86.01711         1.149e-04 
  2696.750          67.441     -9.608    -73.528            6.579        19472.047      1.903      0.000      0.000    0.00111   21.83653           -1.43839       86.00584         1.175e-04 
  2697.750          67.275     -9.604    -73.469            6.561        19478.545      1.903      0.000      0.000    0.00109   21.75457           -1.45532       85.99460         1.201e-04 
  2698.750          67.107     -9.600    -73.410            6.542        19485.026      1.903      0.000      0.000    0.00106   21.67155           -1.47266       85.98339         1.229e-04 
  2699.750          66.939     -9.596    -73.351            6.523        19491.488      1.903      0.000      0.000    0.00104   21.58745           -1.49042       85.97221         1.257e-04 
  2700.750          66.768     -9.591    -73.293            6.504        19497.931      1.903      0.000      0.000    0.00101   21.50226           -1.50860       85.96106         1.286e-04 
  2701.750          66.596     -9.587    -73.235            6.484        19504.356      1.903      0.000      0.000    0.00099   21.41596           -1.52720       85.94994         1.316e-04 
  2702.750          66.422     -9.583    -73.176            6.464        19510.760      1.903      0.000      0.000    0.00097   21.32852           -1.54625       85.93886         1.347e-04 
  2703.750          66.247     -9.579    -73.118            6.444        19517.145      1.903      0.000      0.000    0.00095   21.23993           -1.56575       85.92781         1.379e-04 
  2704.750          66.070     -9.575    -73.060            6.423        19523.510      1.903      0.000      0.000    0.00092   21.15016           -1.58570       85.91679         1.412e-04 
  2705.750          65.892     -9.571    -73.003            6.402        19529.854      1.903      0.000      0.000    0.00090   21.05919           -1.60612       85.90581         1.446e-04 
  2706.750          65.711     -9.567    -72.945            6.381        19536.177      1.903      0.000      0.000    0.00088   20.96701           -1.62703       85.89487         1.481e-04 
  2707.750          65.529     -9.563    -72.888            6.359        19542.479      1.903      0.000      0.000    0.00086   20.87359           -1.64842       85.88395         1.517e-04 
  2708.750          65.346     -9.559    -72.831            6.337        19548.759      1.903      0.000      0.000    0.00084   20.77891           -1.67031       85.87308         1.555e-04 
  2709.750          65.160     -9.555    -72.774            6.314        19555.017      1.903      0.000      0.000    0.00082   20.68294           -1.69271       85.86224         1.593e-04 
  2710.750          64.973     -9.551    -72.718            6.291        19561.253      1.903      0.000      0.000    0.00080   20.58567           -1.71563       85.85143         1.633e-04 
  2711.750          64.783     -9.547    -72.661            6.267        19567.466      1.903      0.000      0.000    0.00078   20.48595           -1.73910       85.84066         1.674e-04 
  2712.750          64.592     -9.542    -72.605            6.242        19573.655      1.903      0.000      0.000    0.00076   20.38287           -1.76312       85.82993         1.717e-04 
  2713.750          64.399     -9.538    -72.549            6.216        19579.819      1.903      0.000      0.000    0.00074   20.27616           -1.78774       85.81924         1.760e-04 
  2714.750          64.204     -9.534    -72.493            6.189        19585.956      1.903      0.000      0.000    0.00072   20.16563           -1.81298       85.80858         1.806e-04 
  2715.750          64.008     -9.530    -72.438            6.161        19592.067      1.903      0.000      0.000    0.00070   20.05108           -1.83888       85.79797         1.853e-04 
  2716.750          63.809     -9.526    -72.382            6.131        19598.148      1.903      0.000      0.000    0.00069   19.93227           -1.86546       85.78740         1.901e-04 
  2717.750          63.608     -9.522    -72.327            6.100        19604.200      1.903      0.000      0.000    0.00067   19.80899           -1.89277       85.77688         1.951e-04 
  2718.750          63.406     -9.518    -72.273            6.067        19610.220      1.903      0.000      0.000    0.00065   19.68098           -1.92085       85.76640         2.003e-04 
  2719.750          63.202     -9.514    -72.218            6.033        19616.207      1.903      0.000      0.000    0.00063   19.54799           -1.94973       85.75597         2.057e-04 
  2720.750          62.995     -9.510    -72.164            5.997        19622.159      1.903      0.000      0.000    0.00062   19.40973           -1.97947       85.74559         2.112e-04 
  2721.750          62.787     -9.506    -72.111            5.960        19628.075      1.903      0.000      0.000    0.00060   19.26593           -2.01011       85.73526         2.169e-04 
  2722.750          62.577     -9.502    -72.057            5.920        19633.953      1.903      0.000      0.000    0.00059   19.11626           -2.04170       85.72498         2.228e-04 
  2723.750          62.366     -9.498    -72.004            5.878        19639.791      1.903      0.000      0.000    0.00057   18.96042           -2.07431       85.71476         2.290e-04 
  2724.750          62.152     -9.494    -71.951            5.835        19645.587      1.903      0.000      0.000    0.00055   18.79806           -2.10799       85.70460         2.353e-04 
  2725.750          61.936     -9.491    -71.899            5.789        19651.339      1.903      0.000      0.000    0.00054   18.62883           -2.14280       85.69450         2.418e-04 
  2726.750          61.719     -9.487    -71.847            5.741        19657.044      1.903      0.000      0.000    0.00052   18.45237           -2.17882       85.68447         2.486e-04 
  2727.750          61.500     -9.483    -71.796            5.690        19662.700      1.903      0.000      0.000    0.00051   18.26830           -2.21613       85.67449         2.556e-04 
  2728.750          61.279     -9.479    -71.745            5.637        19668.305      1.903      0.000      0.000    0.00050   18.07622           -2.25480       85.66459         2.628e-04 
  2729.750          61.056     -9.475    -71.695            5.581        19673.856      1.903      0.000      0.000    0.00048   17.87576           -2.29493       85.65476         2.703e-04 
  2730.750          60.832     -9.471    -71.645            5.522        19679.349      1.903      0.000      0.000    0.00047   17.66650           -2.33660       85.64500         2.781e-04 
  2731.750          60.606     -9.468    -71.596            5.460        19684.784      1.903      0.000      0.000    0.00046   17.44806           -2.37993       85.63533         2.861e-04 
  2732.750          60.379     -9.464    -71.547            5.395        19690.155      1.903      0.000      0.000    0.00044   17.22006           -2.42503       85.62573         2.943e-04 
  2733.750          60.150     -9.460    -71.499            5.326        19695.460      1.903      0.000      0.000    0.00043   16.98212           -2.47200       85.61622         3.029e-04 
  2734.750          59.919     -9.457    -71.451            5.254        19700.696      1.903      0.000      0.000    0.00042   16.73390           -2.52100       85.60680         3.117e-04 
  2735.750          59.687     -9.453    -71.404            5.179        19705.859      1.903      0.000      0.000    0.00041   16.47510           -2.57214       85.59747         3.208e-04 
