#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.TRSP1.75609b55-cff8-434a-aca2-2286e023e527_Trajectory.txt
# RunID         : sara
# ObjectID      : 75609b55-cff8-434a-aca2-2286e023e527
# ObjectName    : TRSP1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2482.100          87.844    -10.244    -87.377            7.331        17951.960      1.030      0.000      0.000    0.04690   26.77783           -0.48406       88.71582         5.012e-06 
  2482.200          87.838    -10.244    -87.370            7.331        17952.683      1.030      0.000      0.000    0.04685   26.77697           -0.48418       88.71450         5.017e-06 
  2482.650          87.810    -10.243    -87.341            7.329        17955.936      1.029      0.000      0.000    0.04664   26.77300           -0.48474       88.70855         5.039e-06 
  2483.650          87.748    -10.242    -87.275            7.327        17963.164      1.026      0.000      0.000    0.04617   26.76382           -0.48600       88.69534         5.091e-06 
  2484.650          87.686    -10.240    -87.209            7.324        17970.389      1.023      0.000      0.000    0.04566   26.75388           -0.48731       88.68213         5.148e-06 
  2485.650          87.624    -10.239    -87.143            7.321        17977.611      1.021      0.000      0.000    0.04516   26.74385           -0.48868       88.66892         5.205e-06 
  2486.650          87.561    -10.237    -87.077            7.318        17984.831      1.018      0.000      0.000    0.04466   26.73373           -0.49011       88.65573         5.264e-06 
  2487.650          87.498    -10.236    -87.011            7.316        17992.047      1.016      0.000      0.000    0.04417   26.72352           -0.49158       88.64254         5.323e-06 
  2488.650          87.436    -10.234    -86.945            7.313        17999.262      1.013      0.000      0.000    0.04368   26.71322           -0.49312       88.62936         5.382e-06 
  2489.650          87.373    -10.232    -86.879            7.310        18006.473      1.010      0.000      0.000    0.04319   26.70282           -0.49470       88.61618         5.443e-06 
  2490.650          87.309    -10.231    -86.814            7.307        18013.682      1.008      0.000      0.000    0.04271   26.69233           -0.49634       88.60301         5.504e-06 
  2491.650          87.246    -10.229    -86.748            7.304        18020.888      1.005      0.000      0.000    0.04223   26.68174           -0.49804       88.58985         5.567e-06 
  2492.650          87.182    -10.228    -86.682            7.301        18028.091      1.003      0.000      0.000    0.04176   26.67106           -0.49980       88.57669         5.630e-06 
  2493.650          87.119    -10.226    -86.616            7.298        18035.291      1.001      0.000      0.000    0.04129   26.66028           -0.50161       88.56354         5.694e-06 
  2494.650          87.055    -10.224    -86.551            7.295        18042.488      0.998      0.000      0.000    0.04082   26.64940           -0.50348       88.55040         5.759e-06 
  2495.650          86.990    -10.223    -86.485            7.292        18049.683      0.996      0.000      0.000    0.04036   26.63843           -0.50541       88.53726         5.825e-06 
  2496.650          86.926    -10.221    -86.419            7.289        18056.875      0.993      0.000      0.000    0.03990   26.62735           -0.50739       88.52413         5.893e-06 
  2497.650          86.861    -10.219    -86.354            7.286        18064.063      0.991      0.000      0.000    0.03944   26.61618           -0.50944       88.51101         5.961e-06 
  2498.650          86.796    -10.218    -86.288            7.283        18071.249      0.989      0.000      0.000    0.03899   26.60490           -0.51154       88.49790         6.030e-06 
  2499.650          86.731    -10.216    -86.223            7.280        18078.432      0.986      0.000      0.000    0.03854   26.59352           -0.51370       88.48479         6.100e-06 
  2500.650          86.666    -10.214    -86.157            7.277        18085.612      0.984      0.000      0.000    0.03810   26.58203           -0.51593       88.47169         6.171e-06 
  2501.650          86.600    -10.212    -86.092            7.274        18092.788      0.982      0.000      0.000    0.03766   26.57045           -0.51821       88.45859         6.244e-06 
  2502.650          86.534    -10.211    -86.026            7.270        18099.962      0.980      0.000      0.000    0.03722   26.55875           -0.52056       88.44551         6.317e-06 
  2503.650          86.468    -10.209    -85.961            7.267        18107.133      0.977      0.000      0.000    0.03678   26.54695           -0.52297       88.43243         6.392e-06 
  2504.650          86.402    -10.207    -85.895            7.264        18114.300      0.975      0.000      0.000    0.03635   26.53504           -0.52544       88.41936         6.468e-06 
  2505.650          86.335    -10.205    -85.830            7.261        18121.465      0.973      0.000      0.000    0.03592   26.52302           -0.52798       88.40630         6.545e-06 
  2506.650          86.268    -10.204    -85.765            7.257        18128.626      0.971      0.000      0.000    0.03550   26.51089           -0.53058       88.39324         6.624e-06 
  2507.650          86.200    -10.202    -85.699            7.254        18135.784      0.969      0.000      0.000    0.03507   26.49864           -0.53324       88.38019         6.704e-06 
  2508.650          86.133    -10.200    -85.634            7.251        18142.939      0.967      0.000      0.000    0.03465   26.48629           -0.53597       88.36715         6.785e-06 
  2509.650          86.065    -10.198    -85.569            7.247        18150.090      0.965      0.000      0.000    0.03424   26.47382           -0.53877       88.35412         6.868e-06 
  2510.650          85.996    -10.196    -85.504            7.244        18157.238      0.963      0.000      0.000    0.03382   26.46123           -0.54163       88.34109         6.952e-06 
  2511.650          85.928    -10.194    -85.438            7.241        18164.383      0.961      0.000      0.000    0.03344   26.43959           -0.54456       88.32808         7.033e-06 
  2512.650          85.859    -10.192    -85.373            7.237        18171.525      0.959      0.000      0.000    0.03305   26.41712           -0.54755       88.31507         7.114e-06 
  2513.650          85.790    -10.191    -85.308            7.234        18178.663      0.957      0.000      0.000    0.03267   26.39452           -0.55062       88.30207         7.197e-06 
  2514.650          85.720    -10.189    -85.243            7.230        18185.798      0.955      0.000      0.000    0.03230   26.37177           -0.55375       88.28908         7.281e-06 
  2515.650          85.650    -10.187    -85.178            7.226        18192.929      0.953      0.000      0.000    0.03192   26.34888           -0.55696       88.27609         7.367e-06 
  2516.650          85.579    -10.185    -85.113            7.223        18200.057      0.951      0.000      0.000    0.03155   26.32583           -0.56023       88.26311         7.454e-06 
  2517.650          85.509    -10.183    -85.048            7.219        18207.182      0.950      0.000      0.000    0.03118   26.30265           -0.56357       88.25015         7.542e-06 
  2518.650          85.437    -10.181    -84.983            7.216        18214.303      0.948      0.000      0.000    0.03081   26.27926           -0.56699       88.23719         7.632e-06 
  2519.650          85.366    -10.179    -84.918            7.212        18221.420      0.946      0.000      0.000    0.03045   26.25572           -0.57048       88.22424         7.723e-06 
  2520.650          85.294    -10.177    -84.853            7.208        18228.534      0.945      0.000      0.000    0.03009   26.23206           -0.57404       88.21129         7.817e-06 
  2521.650          85.221    -10.175    -84.788            7.204        18235.644      0.943      0.000      0.000    0.02973   26.20821           -0.57767       88.19836         7.911e-06 
  2522.650          85.148    -10.173    -84.724            7.201        18242.750      0.941      0.000      0.000    0.02937   26.18419           -0.58138       88.18543         8.007e-06 
  2523.650          85.075    -10.171    -84.659            7.197        18249.853      0.940      0.000      0.000    0.02901   26.15999           -0.58517       88.17252         8.105e-06 
  2524.650          85.001    -10.169    -84.594            7.193        18256.952      0.938      0.000      0.000    0.02866   26.13563           -0.58903       88.15961         8.205e-06 
  2525.650          84.927    -10.167    -84.529            7.189        18264.047      0.936      0.000      0.000    0.02831   26.11108           -0.59296       88.14671         8.306e-06 
  2526.650          84.853    -10.165    -84.465            7.185        18271.139      0.935      0.000      0.000    0.02796   26.08636           -0.59698       88.13382         8.410e-06 
  2527.650          84.778    -10.162    -84.400            7.181        18278.226      0.933      0.000      0.000    0.02762   26.06144           -0.60107       88.12094         8.515e-06 
  2528.650          84.702    -10.160    -84.335            7.177        18285.310      0.932      0.000      0.000    0.02728   26.03634           -0.60524       88.10807         8.622e-06 
  2529.650          84.626    -10.158    -84.271            7.173        18292.390      0.930      0.000      0.000    0.02694   26.01109           -0.60949       88.09520         8.731e-06 
  2530.650          84.549    -10.156    -84.206            7.169        18299.465      0.929      0.000      0.000    0.02660   25.98560           -0.61382       88.08235         8.842e-06 
  2531.650          84.472    -10.154    -84.142            7.165        18306.537      0.927      0.000      0.000    0.02626   25.95989           -0.61824       88.06951         8.955e-06 
  2532.650          84.395    -10.152    -84.077            7.160        18313.605      0.926      0.000      0.000    0.02593   25.93400           -0.62273       88.05667         9.070e-06 
  2533.650          84.317    -10.150    -84.013            7.156        18320.669      0.925      0.000      0.000    0.02560   25.90792           -0.62731       88.04385         9.187e-06 
  2534.650          84.238    -10.147    -83.948            7.152        18327.728      0.923      0.000      0.000    0.02527   25.88162           -0.63198       88.03103         9.307e-06 
  2535.650          84.159    -10.145    -83.884            7.148        18334.784      0.922      0.000      0.000    0.02494   25.85513           -0.63672       88.01822         9.429e-06 
  2536.650          84.079    -10.143    -83.820            7.143        18341.835      0.921      0.000      0.000    0.02462   25.82822           -0.64156       88.00543         9.553e-06 
  2537.650          83.999    -10.141    -83.756            7.138        18348.882      0.919      0.000      0.000    0.02430   25.80051           -0.64649       87.99264         9.680e-06 
  2538.650          83.918    -10.139    -83.691            7.134        18355.924      0.918      0.000      0.000    0.02398   25.77205           -0.65151       87.97986         9.809e-06 
  2539.650          83.837    -10.136    -83.627            7.129        18362.961      0.917      0.000      0.000    0.02366   25.74275           -0.65662       87.96710         9.940e-06 
  2540.650          83.755    -10.134    -83.563            7.123        18369.994      0.916      0.000      0.000    0.02335   25.71253           -0.66184       87.95435         1.007e-05 
  2541.650          83.672    -10.132    -83.499            7.118        18377.021      0.915      0.000      0.000    0.02303   25.68133           -0.66717       87.94160         1.021e-05 
  2542.650          83.589    -10.129    -83.435            7.112        18384.042      0.913      0.000      0.000    0.02272   25.64907           -0.67262       87.92887         1.035e-05 
  2543.650          83.505    -10.127    -83.371            7.106        18391.058      0.912      0.000      0.000    0.02241   25.61564           -0.67818       87.91615         1.049e-05 
  2544.650          83.421    -10.125    -83.307            7.099        18398.067      0.911      0.000      0.000    0.02211   25.58099           -0.68386       87.90345         1.064e-05 
  2545.650          83.336    -10.123    -83.243            7.092        18405.070      0.910      0.000      0.000    0.02180   25.54496           -0.68969       87.89076         1.079e-05 
  2546.650          83.250    -10.120    -83.179            7.085        18412.066      0.909      0.000      0.000    0.02150   25.50743           -0.69565       87.87808         1.094e-05 
  2547.650          83.164    -10.118    -83.116            7.077        18419.055      0.908      0.000      0.000    0.02120   25.46825           -0.70176       87.86542         1.109e-05 
  2548.650          83.077    -10.115    -83.052            7.069        18426.036      0.907      0.000      0.000    0.02090   25.42724           -0.70803       87.85277         1.125e-05 
  2549.650          82.989    -10.113    -82.988            7.060        18433.009      0.906      0.000      0.000    0.02061   25.38422           -0.71447       87.84014         1.141e-05 
  2550.650          82.901    -10.111    -82.925            7.051        18439.973      0.905      0.000      0.000    0.02031   25.33893           -0.72109       87.82753         1.158e-05 
  2551.650          82.811    -10.108    -82.861            7.041        18446.927      0.904      0.000      0.000    0.02002   25.29111           -0.72791       87.81493         1.175e-05 
  2552.650          82.722    -10.106    -82.798            7.030        18453.871      0.904      0.000      0.000    0.01973   25.24034           -0.73493       87.80236         1.192e-05 
  2553.650          82.631    -10.104    -82.735            7.018        18460.804      0.903      0.000      0.000    0.01945   25.18626           -0.74219       87.78981         1.210e-05 
  2554.650          82.540    -10.101    -82.672            7.005        18467.724      0.902      0.000      0.000    0.01916   25.12836           -0.74970       87.77728         1.228e-05 
  2555.650          82.448    -10.099    -82.609            6.991        18474.632      0.901      0.000      0.000    0.01888   25.06599           -0.75748       87.76477         1.246e-05 
  2556.650          82.355    -10.096    -82.546            6.975        18481.525      0.900      0.000      0.000    0.01860   24.99832           -0.76556       87.75229         1.265e-05 
  2557.650          82.261    -10.094    -82.483            6.958        18488.401      0.900      0.000      0.000    0.01832   24.92429           -0.77397       87.73984         1.284e-05 
  2558.650          82.167    -10.091    -82.421            6.938        18495.259      0.899      0.000      0.000    0.01804   24.84248           -0.78277       87.72742         1.304e-05 
  2559.650          82.072    -10.089    -82.358            6.915        18502.097      0.898      0.000      0.000    0.01777   24.75094           -0.79199       87.71504         1.324e-05 
  2560.650          81.976    -10.086    -82.296            6.889        18508.910      0.898      0.000      0.000    0.01750   24.64689           -0.80171       87.70270         1.344e-05 
