#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.BEG2-internal.744a2caf-92f7-41cb-ae64-9d42bf09dae9_Trajectory.txt
# RunID         : sara
# ObjectID      : 744a2caf-92f7-41cb-ae64-9d42bf09dae9
# ObjectName    : BEG2-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1821.650          85.163      4.934   -130.527            7.070        13154.649      3.293      0.000      0.000    0.05857   25.70956           -0.81902       80.56022         8.000e-06 
  1821.750          85.153      4.935   -130.521            7.069        13155.347      3.291      0.000      0.000    0.05848   25.70590           -0.81965       80.56082         8.012e-06 
  1822.200          85.107      4.939   -130.493            7.066        13158.486      3.285      0.000      0.000    0.05809   25.68888           -0.82250       80.56355         8.067e-06 
  1823.200          85.005      4.950   -130.431            7.058        13165.455      3.271      0.000      0.000    0.05718   25.64966           -0.82894       80.56963         8.195e-06 
  1824.200          84.903      4.960   -130.369            7.050        13172.417      3.256      0.000      0.000    0.05622   25.60721           -0.83555       80.57570         8.335e-06 
  1825.200          84.800      4.970   -130.307            7.042        13179.371      3.242      0.000      0.000    0.05527   25.56443           -0.84231       80.58179         8.478e-06 
  1826.200          84.696      4.981   -130.246            7.034        13186.318      3.227      0.000      0.000    0.05433   25.52129           -0.84923       80.58788         8.625e-06 
  1827.200          84.591      4.991   -130.184            7.026        13193.256      3.213      0.000      0.000    0.05340   25.47784           -0.85631       80.59398         8.776e-06 
  1828.200          84.486      5.001   -130.122            7.018        13200.187      3.198      0.000      0.000    0.05248   25.43393           -0.86355       80.60009         8.929e-06 
  1829.200          84.380      5.011   -130.061            7.010        13207.109      3.184      0.000      0.000    0.05157   25.38971           -0.87096       80.60620         9.087e-06 
  1830.200          84.273      5.022   -129.999            7.002        13214.024      3.170      0.000      0.000    0.05067   25.34510           -0.87854       80.61232         9.248e-06 
  1831.200          84.165      5.032   -129.938            6.993        13220.930      3.156      0.000      0.000    0.04978   25.30012           -0.88628       80.61845         9.414e-06 
  1832.200          84.056      5.042   -129.876            6.985        13227.828      3.142      0.000      0.000    0.04890   25.25477           -0.89420       80.62458         9.583e-06 
  1833.200          83.947      5.052   -129.815            6.970        13234.715      3.128      0.000      0.000    0.04803   25.18954           -0.90236       80.63071         9.756e-06 
