#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Battery1-Internal.84b286ec-9706-4b76-a6d4-680730125719_Trajectory.txt
# RunID         : sara
# ObjectID      : 84b286ec-9706-4b76-a6d4-680730125719
# ObjectName    : Battery1-Internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1829.650          84.824      5.028   -129.959            7.264        13218.544      1.357      0.000      0.000    0.03033   26.36434           -0.71070       80.61585         8.462e-06 
  1829.750          84.815      5.029   -129.953            7.263        13219.260      1.357      0.000      0.000    0.03029   26.36290           -0.71095       80.61648         8.473e-06 
  1830.200          84.775      5.034   -129.924            7.263        13222.486      1.355      0.000      0.000    0.03010   26.35619           -0.71208       80.61933         8.525e-06 
  1831.200          84.684      5.045   -129.860            7.262        13229.654      1.353      0.000      0.000    0.02969   26.34077           -0.71462       80.62569         8.644e-06 
  1832.200          84.594      5.055   -129.796            7.261        13236.821      1.350      0.000      0.000    0.02925   26.32419           -0.71717       80.63205         8.775e-06 
  1833.200          84.503      5.066   -129.733            7.260        13243.987      1.347      0.000      0.000    0.02881   26.30743           -0.71975       80.63843         8.907e-06 
  1834.200          84.411      5.076   -129.669            7.259        13251.151      1.344      0.000      0.000    0.02838   26.29063           -0.72235       80.64481         9.043e-06 
  1835.200          84.320      5.087   -129.605            7.258        13258.315      1.341      0.000      0.000    0.02796   26.27376           -0.72498       80.65122         9.180e-06 
  1836.200          84.228      5.097   -129.542            7.256        13265.478      1.339      0.000      0.000    0.02754   26.25680           -0.72762       80.65763         9.320e-06 
  1837.200          84.135      5.108   -129.478            7.255        13272.640      1.336      0.000      0.000    0.02712   26.23979           -0.73029       80.66406         9.463e-06 
  1838.200          84.043      5.118   -129.414            7.254        13279.800      1.333      0.000      0.000    0.02671   26.22266           -0.73299       80.67050         9.608e-06 
