#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.CentCone.a6bfcbfa-60aa-4e7a-bf6f-ed921bdc8db6_Trajectory.txt
# RunID         : sara
# ObjectID      : a6bfcbfa-60aa-4e7a-bf6f-ed921bdc8db6
# ObjectName    : CentCone
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1727.100          92.776      3.905   -136.514            7.319        12480.373      1.194      0.000      0.000    0.03418   26.66246           -0.52612       80.03637         2.082e-06 
  1727.200          92.770      3.907   -136.508            7.319        12481.095      1.194      0.000      0.000    0.03415   26.66219           -0.52625       80.03686         2.084e-06 
  1727.650          92.740      3.912   -136.479            7.318        12484.341      1.193      0.000      0.000    0.03398   26.66091           -0.52686       80.03909         2.094e-06 
  1728.650          92.672      3.923   -136.415            7.317        12491.555      1.190      0.000      0.000    0.03360   26.65793           -0.52824       80.04404         2.118e-06 
  1729.650          92.605      3.934   -136.351            7.315        12498.767      1.188      0.000      0.000    0.03320   26.65458           -0.52964       80.04900         2.144e-06 
  1730.650          92.537      3.945   -136.287            7.313        12505.978      1.186      0.000      0.000    0.03280   26.65110           -0.53108       80.05398         2.170e-06 
  1731.650          92.469      3.957   -136.223            7.312        12513.187      1.183      0.000      0.000    0.03241   26.64749           -0.53256       80.05898         2.196e-06 
  1732.650          92.401      3.968   -136.160            7.310        12520.394      1.181      0.000      0.000    0.03202   26.64375           -0.53407       80.06398         2.223e-06 
  1733.650          92.333      3.979   -136.096            7.308        12527.599      1.179      0.000      0.000    0.03163   26.63985           -0.53561       80.06900         2.251e-06 
  1734.650          92.264      3.990   -136.032            7.306        12534.803      1.176      0.000      0.000    0.03125   26.63583           -0.53719       80.07403         2.278e-06 
  1735.650          92.196      4.002   -135.968            7.305        12542.006      1.174      0.000      0.000    0.03087   26.63168           -0.53880       80.07908         2.307e-06 
  1736.650          92.127      4.013   -135.904            7.303        12549.206      1.172      0.000      0.000    0.03050   26.62735           -0.54045       80.08413         2.335e-06 
  1737.650          92.058      4.024   -135.840            7.301        12556.405      1.170      0.000      0.000    0.03012   26.62290           -0.54213       80.08921         2.364e-06 
  1738.650          91.989      4.035   -135.776            7.299        12563.602      1.168      0.000      0.000    0.02976   26.61832           -0.54385       80.09429         2.394e-06 
  1739.650          91.919      4.046   -135.713            7.297        12570.798      1.166      0.000      0.000    0.02939   26.61356           -0.54560       80.09939         2.423e-06 
  1740.650          91.850      4.058   -135.649            7.295        12577.991      1.163      0.000      0.000    0.02903   26.60866           -0.54740       80.10450         2.454e-06 
  1741.650          91.780      4.069   -135.585            7.293        12585.183      1.161      0.000      0.000    0.02867   26.60363           -0.54923       80.10962         2.485e-06 
  1742.650          91.710      4.080   -135.521            7.291        12592.373      1.159      0.000      0.000    0.02832   26.59842           -0.55109       80.11476         2.516e-06 
  1743.650          91.640      4.091   -135.457            7.289        12599.561      1.158      0.000      0.000    0.02797   26.59306           -0.55300       80.11991         2.548e-06 
