#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.EAIM-internal.30623271-c50e-43a6-b8ba-4335d896856c_Trajectory.txt
# RunID         : sara
# ObjectID      : 30623271-c50e-43a6-b8ba-4335d896856c
# ObjectName    : EAIM-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1841.650          83.336      5.146   -129.245            7.090        13298.815      1.120      0.000      0.000    0.01868   25.53137           -0.85389       80.68806         1.081e-05 
  1841.750          83.325      5.147   -129.239            7.089        13299.515      1.120      0.000      0.000    0.01865   25.52801           -0.85448       80.68869         1.082e-05 
  1842.200          83.278      5.152   -129.211            7.086        13302.664      1.119      0.000      0.000    0.01852   25.51238           -0.85716       80.69155         1.090e-05 
  1843.200          83.171      5.162   -129.148            7.079        13309.655      1.118      0.000      0.000    0.01822   25.47631           -0.86323       80.69791         1.108e-05 
  1844.200          83.064      5.172   -129.086            7.072        13316.640      1.117      0.000      0.000    0.01791   25.43718           -0.86942       80.70428         1.127e-05 
  1845.200          82.957      5.182   -129.024            7.065        13323.619      1.116      0.000      0.000    0.01760   25.39766           -0.87576       80.71065         1.147e-05 
  1846.200          82.848      5.193   -128.962            7.058        13330.590      1.116      0.000      0.000    0.01729   25.35773           -0.88224       80.71703         1.167e-05 
  1847.200          82.739      5.203   -128.900            7.051        13337.554      1.115      0.000      0.000    0.01699   25.31737           -0.88886       80.72342         1.188e-05 
  1848.200          82.630      5.213   -128.838            7.044        13344.512      1.114      0.000      0.000    0.01669   25.27655           -0.89562       80.72981         1.209e-05 
  1849.200          82.519      5.223   -128.776            7.036        13351.462      1.113      0.000      0.000    0.01639   25.23531           -0.90254       80.73622         1.231e-05 
  1850.200          82.408      5.233   -128.714            7.029        13358.405      1.113      0.000      0.000    0.01610   25.19362           -0.90961       80.74263         1.254e-05 
  1851.200          82.296      5.243   -128.653            7.021        13365.340      1.112      0.000      0.000    0.01581   25.15148           -0.91683       80.74904         1.276e-05 
  1852.200          82.183      5.253   -128.591            7.013        13372.268      1.111      0.000      0.000    0.01553   25.10886           -0.92420       80.75547         1.300e-05 
  1853.200          82.070      5.263   -128.529            7.005        13379.188      1.111      0.000      0.000    0.01525   25.06576           -0.93173       80.76189         1.324e-05 
  1854.200          81.955      5.273   -128.468            6.997        13386.101      1.110      0.000      0.000    0.01497   25.02219           -0.93943       80.76833         1.348e-05 
  1855.200          81.840      5.283   -128.406            6.989        13393.005      1.110      0.000      0.000    0.01469   24.97812           -0.94729       80.77477         1.374e-05 
  1856.200          81.724      5.293   -128.345            6.981        13399.902      1.110      0.000      0.000    0.01442   24.93351           -0.95531       80.78122         1.399e-05 
  1857.200          81.608      5.303   -128.284            6.972        13406.790      1.109      0.000      0.000    0.01416   24.88841           -0.96350       80.78767         1.426e-05 
  1858.200          81.490      5.313   -128.222            6.964        13413.671      1.109      0.000      0.000    0.01389   24.84276           -0.97187       80.79413         1.453e-05 
  1859.200          81.371      5.323   -128.161            6.951        13420.540      1.108      0.000      0.000    0.01363   24.78247           -0.98046       80.80059         1.481e-05 
  1860.200          81.252      5.333   -128.100            6.920        13427.388      1.108      0.000      0.000    0.01337   24.66591           -0.98950       80.80704         1.509e-05 
