#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.EAIM.049e68a2-6063-4a2e-b6f1-5aa39107fb56_Trajectory.txt
# RunID         : sara
# ObjectID      : 049e68a2-6063-4a2e-b6f1-5aa39107fb56
# ObjectName    : EAIM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1727.100          92.776      3.905   -136.514            7.319        12480.373      1.565      0.000      0.000    0.09322   26.66246           -0.52612       80.03637         2.082e-06 
  1727.200          92.770      3.907   -136.508            7.319        12481.095      1.564      0.000      0.000    0.09312   26.66245           -0.52625       80.03686         2.084e-06 
  1727.650          92.740      3.912   -136.479            7.319        12484.341      1.562      0.000      0.000    0.09267   26.66239           -0.52686       80.03909         2.094e-06 
  1728.650          92.672      3.923   -136.415            7.318        12491.556      1.557      0.000      0.000    0.09164   26.66220           -0.52822       80.04404         2.118e-06 
  1729.650          92.605      3.934   -136.351            7.317        12498.770      1.551      0.000      0.000    0.09054   26.66190           -0.52959       80.04901         2.144e-06 
  1730.650          92.537      3.945   -136.287            7.316        12505.983      1.545      0.000      0.000    0.08946   26.66148           -0.53098       80.05399         2.170e-06 
  1731.650          92.469      3.957   -136.223            7.315        12513.195      1.539      0.000      0.000    0.08838   26.66099           -0.53239       80.05899         2.196e-06 
  1732.650          92.401      3.968   -136.159            7.315        12520.407      1.534      0.000      0.000    0.08732   26.66039           -0.53382       80.06399         2.223e-06 
  1733.650          92.333      3.979   -136.096            7.314        12527.617      1.528      0.000      0.000    0.08627   26.65968           -0.53526       80.06902         2.251e-06 
  1734.650          92.264      3.990   -136.032            7.313        12534.827      1.522      0.000      0.000    0.08522   26.65888           -0.53672       80.07405         2.278e-06 
  1735.650          92.196      4.002   -135.968            7.312        12542.036      1.516      0.000      0.000    0.08419   26.65798           -0.53820       80.07910         2.307e-06 
  1736.650          92.127      4.013   -135.904            7.311        12549.244      1.511      0.000      0.000    0.08317   26.65696           -0.53970       80.08417         2.335e-06 
  1737.650          92.058      4.024   -135.840            7.310        12556.452      1.505      0.000      0.000    0.08215   26.65584           -0.54121       80.08925         2.364e-06 
  1738.650          91.989      4.035   -135.776            7.309        12563.658      1.500      0.000      0.000    0.08115   26.65464           -0.54275       80.09434         2.394e-06 
  1739.650          91.919      4.047   -135.712            7.308        12570.864      1.494      0.000      0.000    0.08016   26.65330           -0.54430       80.09944         2.423e-06 
  1740.650          91.850      4.058   -135.648            7.307        12578.069      1.488      0.000      0.000    0.07917   26.65186           -0.54587       80.10456         2.454e-06 
  1741.650          91.780      4.069   -135.584            7.306        12585.273      1.483      0.000      0.000    0.07820   26.65033           -0.54746       80.10969         2.484e-06 
  1742.650          91.710      4.080   -135.520            7.305        12592.476      1.477      0.000      0.000    0.07723   26.64867           -0.54907       80.11484         2.516e-06 
  1743.650          91.640      4.091   -135.456            7.304        12599.679      1.472      0.000      0.000    0.07628   26.64690           -0.55070       80.12000         2.547e-06 
  1744.650          91.570      4.102   -135.392            7.303        12606.880      1.466      0.000      0.000    0.07533   26.64506           -0.55235       80.12517         2.579e-06 
  1745.650          91.499      4.114   -135.329            7.302        12614.081      1.461      0.000      0.000    0.07440   26.64316           -0.55402       80.13036         2.612e-06 
