#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.EDR.4e7a4b59-cee7-44f5-ae91-a119ddf2194d_Trajectory.txt
# RunID         : sara
# ObjectID      : 4e7a4b59-cee7-44f5-ae91-a119ddf2194d
# ObjectName    : EDR
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1727.100          92.776      3.905   -136.514            7.319        12480.373      2.788      0.000      0.000    0.16907   26.66246           -0.52612       80.03637         2.082e-06 
  1727.200          92.770      3.907   -136.508            7.319        12481.095      2.787      0.000      0.000    0.16889   26.66231           -0.52625       80.03686         2.084e-06 
  1727.650          92.740      3.912   -136.479            7.319        12484.341      2.783      0.000      0.000    0.16807   26.66161           -0.52686       80.03909         2.094e-06 
  1728.650          92.672      3.923   -136.415            7.317        12491.555      2.774      0.000      0.000    0.16620   26.65996           -0.52823       80.04404         2.118e-06 
  1729.650          92.605      3.934   -136.351            7.316        12498.768      2.764      0.000      0.000    0.16422   26.65806           -0.52962       80.04901         2.144e-06 
  1730.650          92.537      3.945   -136.287            7.315        12505.980      2.755      0.000      0.000    0.16225   26.65605           -0.53104       80.05399         2.170e-06 
  1731.650          92.469      3.957   -136.223            7.313        12513.191      2.745      0.000      0.000    0.16030   26.65393           -0.53248       80.05898         2.196e-06 
  1732.650          92.401      3.968   -136.160            7.312        12520.400      2.735      0.000      0.000    0.15837   26.65171           -0.53395       80.06399         2.223e-06 
  1733.650          92.333      3.979   -136.096            7.311        12527.608      2.725      0.000      0.000    0.15646   26.64934           -0.53544       80.06901         2.251e-06 
  1734.650          92.264      3.990   -136.032            7.309        12534.815      2.716      0.000      0.000    0.15457   26.64688           -0.53696       80.07404         2.278e-06 
  1735.650          92.196      4.002   -135.968            7.308        12542.020      2.706      0.000      0.000    0.15269   26.64432           -0.53851       80.07909         2.307e-06 
  1736.650          92.127      4.013   -135.904            7.307        12549.225      2.696      0.000      0.000    0.15084   26.64160           -0.54009       80.08415         2.335e-06 
  1737.650          92.058      4.024   -135.840            7.305        12556.428      2.686      0.000      0.000    0.14900   26.63879           -0.54169       80.08923         2.364e-06 
  1738.650          91.989      4.035   -135.776            7.304        12563.629      2.676      0.000      0.000    0.14718   26.63587           -0.54332       80.09431         2.394e-06 
  1739.650          91.919      4.046   -135.712            7.303        12570.830      2.666      0.000      0.000    0.14538   26.63280           -0.54498       80.09941         2.423e-06 
  1740.650          91.850      4.058   -135.648            7.301        12578.029      2.657      0.000      0.000    0.14359   26.62962           -0.54666       80.10453         2.454e-06 
  1741.650          91.780      4.069   -135.585            7.300        12585.226      2.647      0.000      0.000    0.14182   26.62633           -0.54838       80.10966         2.485e-06 
  1742.650          91.710      4.080   -135.521            7.298        12592.423      2.637      0.000      0.000    0.14007   26.62290           -0.55012       80.11480         2.516e-06 
  1743.650          91.640      4.091   -135.457            7.297        12599.618      2.627      0.000      0.000    0.13834   26.61934           -0.55189       80.11995         2.547e-06 
  1744.650          91.570      4.102   -135.393            7.295        12606.812      2.617      0.000      0.000    0.13662   26.61570           -0.55369       80.12512         2.580e-06 
  1745.650          91.499      4.113   -135.329            7.294        12614.004      2.607      0.000      0.000    0.13492   26.61199           -0.55552       80.13030         2.612e-06 
  1746.650          91.428      4.125   -135.265            7.292        12621.195      2.597      0.000      0.000    0.13324   26.60782           -0.55737       80.13549         2.646e-06 
  1747.650          91.357      4.136   -135.202            7.291        12628.384      2.587      0.000      0.000    0.13157   26.60371           -0.55926       80.14070         2.679e-06 
  1748.650          91.286      4.147   -135.138            7.289        12635.572      2.577      0.000      0.000    0.12992   26.59969           -0.56118       80.14592         2.713e-06 
  1749.650          91.214      4.158   -135.074            7.288        12642.759      2.567      0.000      0.000    0.12829   26.59535           -0.56312       80.15115         2.748e-06 
  1750.650          91.143      4.169   -135.010            7.286        12649.944      2.557      0.000      0.000    0.12667   26.59088           -0.56510       80.15640         2.784e-06 
  1751.650          91.071      4.180   -134.947            7.285        12657.128      2.547      0.000      0.000    0.12506   26.58629           -0.56711       80.16166         2.820e-06 
  1752.650          90.998      4.191   -134.883            7.283        12664.310      2.537      0.000      0.000    0.12347   26.58157           -0.56915       80.16693         2.856e-06 
  1753.650          90.926      4.202   -134.819            7.282        12671.491      2.527      0.000      0.000    0.12190   26.57673           -0.57122       80.17222         2.893e-06 
  1754.650          90.853      4.213   -134.756            7.280        12678.670      2.517      0.000      0.000    0.12034   26.57182           -0.57332       80.17752         2.931e-06 
  1755.650          90.780      4.225   -134.692            7.278        12685.848      2.507      0.000      0.000    0.11879   26.56684           -0.57546       80.18283         2.969e-06 
  1756.650          90.707      4.236   -134.628            7.277        12693.025      2.497      0.000      0.000    0.11726   26.56179           -0.57762       80.18816         3.008e-06 
  1757.650          90.633      4.247   -134.564            7.275        12700.199      2.487      0.000      0.000    0.11575   26.55667           -0.57982       80.19349         3.047e-06 
  1758.650          90.560      4.258   -134.501            7.273        12707.372      2.477      0.000      0.000    0.11425   26.55147           -0.58205       80.19884         3.088e-06 
  1759.650          90.486      4.269   -134.437            7.272        12714.544      2.467      0.000      0.000    0.11276   26.54621           -0.58431       80.20421         3.129e-06 
  1760.650          90.411      4.280   -134.374            7.270        12721.714      2.457      0.000      0.000    0.11129   26.54087           -0.58661       80.20958         3.170e-06 
  1761.650          90.337      4.291   -134.310            7.268        12728.883      2.447      0.000      0.000    0.10983   26.53553           -0.58894       80.21497         3.212e-06 
  1762.650          90.262      4.302   -134.246            7.267        12736.049      2.437      0.000      0.000    0.10838   26.53007           -0.59131       80.22038         3.256e-06 
  1763.650          90.187      4.313   -134.183            7.265        12743.215      2.427      0.000      0.000    0.10695   26.52442           -0.59370       80.22579         3.299e-06 
  1764.650          90.111      4.324   -134.119            7.263        12750.378      2.417      0.000      0.000    0.10554   26.51877           -0.59614       80.23122         3.344e-06 
  1765.650          90.036      4.335   -134.056            7.261        12757.540      2.407      0.000      0.000    0.10413   26.51306           -0.59861       80.23666         3.389e-06 
  1766.650          89.960      4.346   -133.992            7.260        12764.700      2.397      0.000      0.000    0.10274   26.50726           -0.60111       80.24211         3.435e-06 
  1767.650          89.883      4.357   -133.928            7.258        12771.859      2.387      0.000      0.000    0.10136   26.50139           -0.60365       80.24758         3.482e-06 
  1768.650          89.807      4.368   -133.865            7.256        12779.016      2.377      0.000      0.000    0.10000   26.49543           -0.60622       80.25306         3.530e-06 
  1769.650          89.730      4.379   -133.801            7.254        12786.171      2.367      0.000      0.000    0.09864   26.48939           -0.60883       80.25855         3.578e-06 
  1770.650          89.653      4.390   -133.738            7.252        12793.324      2.357      0.000      0.000    0.09730   26.48326           -0.61148       80.26405         3.628e-06 
  1771.650          89.575      4.400   -133.674            7.250        12800.476      2.347      0.000      0.000    0.09598   26.47706           -0.61416       80.26957         3.678e-06 
  1772.650          89.497      4.411   -133.611            7.248        12807.626      2.337      0.000      0.000    0.09466   26.47077           -0.61688       80.27510         3.729e-06 
  1773.650          89.419      4.422   -133.547            7.247        12814.774      2.327      0.000      0.000    0.09336   26.46439           -0.61964       80.28064         3.781e-06 
  1774.650          89.340      4.433   -133.484            7.245        12821.920      2.317      0.000      0.000    0.09207   26.45793           -0.62244       80.28620         3.835e-06 
  1775.650          89.262      4.444   -133.421            7.243        12829.065      2.307      0.000      0.000    0.09080   26.45138           -0.62527       80.29176         3.889e-06 
  1776.650          89.182      4.455   -133.357            7.241        12836.207      2.297      0.000      0.000    0.08953   26.44473           -0.62814       80.29734         3.944e-06 
  1777.650          89.103      4.466   -133.294            7.239        12843.348      2.287      0.000      0.000    0.08828   26.43791           -0.63106       80.30293         4.000e-06 
  1778.650          89.023      4.477   -133.230            7.237        12850.487      2.277      0.000      0.000    0.08704   26.43115           -0.63401       80.30854         4.057e-06 
  1779.650          88.943      4.488   -133.167            7.235        12857.624      2.267      0.000      0.000    0.08581   26.42428           -0.63700       80.31416         4.115e-06 
  1780.650          88.862      4.498   -133.104            7.233        12864.759      2.257      0.000      0.000    0.08459   26.41728           -0.64003       80.31979         4.175e-06 
  1781.650          88.781      4.509   -133.040            7.231        12871.892      2.247      0.000      0.000    0.08338   26.41018           -0.64310       80.32543         4.235e-06 
  1782.650          88.700      4.520   -132.977            7.229        12879.024      2.238      0.000      0.000    0.08219   26.40299           -0.64621       80.33108         4.297e-06 
  1783.650          88.618      4.531   -132.914            7.227        12886.153      2.228      0.000      0.000    0.08101   26.39570           -0.64937       80.33675         4.360e-06 
  1784.650          88.536      4.542   -132.850            7.224        12893.280      2.218      0.000      0.000    0.07984   26.38832           -0.65256       80.34243         4.424e-06 
  1785.650          88.453      4.553   -132.787            7.222        12900.405      2.208      0.000      0.000    0.07868   26.38084           -0.65580       80.34812         4.489e-06 
  1786.650          88.371      4.563   -132.724            7.220        12907.529      2.198      0.000      0.000    0.07753   26.37326           -0.65908       80.35382         4.556e-06 
  1787.650          88.287      4.574   -132.660            7.218        12914.650      2.189      0.000      0.000    0.07639   26.36558           -0.66240       80.35953         4.624e-06 
  1788.650          88.204      4.585   -132.597            7.216        12921.769      2.179      0.000      0.000    0.07527   26.35780           -0.66577       80.36526         4.693e-06 
  1789.650          88.120      4.596   -132.534            7.214        12928.886      2.169      0.000      0.000    0.07416   26.34991           -0.66918       80.37100         4.764e-06 
  1790.650          88.035      4.606   -132.471            7.211        12936.001      2.160      0.000      0.000    0.07305   26.34192           -0.67263       80.37675         4.836e-06 
  1791.650          87.950      4.617   -132.408            7.209        12943.113      2.150      0.000      0.000    0.07196   26.33383           -0.67613       80.38252         4.909e-06 
  1792.650          87.865      4.628   -132.344            7.207        12950.224      2.141      0.000      0.000    0.07088   26.32563           -0.67968       80.38829         4.984e-06 
  1793.650          87.779      4.639   -132.281            7.204        12957.332      2.131      0.000      0.000    0.06981   26.31732           -0.68327       80.39408         5.061e-06 
  1794.650          87.693      4.649   -132.218            7.202        12964.439      2.122      0.000      0.000    0.06875   26.30891           -0.68690       80.39988         5.139e-06 
  1795.650          87.607      4.660   -132.155            7.200        12971.543      2.112      0.000      0.000    0.06770   26.30038           -0.69059       80.40569         5.218e-06 
  1796.650          87.520      4.671   -132.092            7.197        12978.644      2.103      0.000      0.000    0.06667   26.29175           -0.69432       80.41152         5.300e-06 
  1797.650          87.432      4.681   -132.029            7.195        12985.744      2.093      0.000      0.000    0.06564   26.28300           -0.69810       80.41735         5.383e-06 
  1798.650          87.344      4.692   -131.966            7.193        12992.841      2.084      0.000      0.000    0.06463   26.27414           -0.70192       80.42320         5.467e-06 
  1799.650          87.256      4.703   -131.903            7.190        12999.936      2.075      0.000      0.000    0.06362   26.26516           -0.70580       80.42906         5.554e-06 
  1800.650          87.167      4.713   -131.840            7.188        13007.028      2.066      0.000      0.000    0.06263   26.25606           -0.70972       80.43493         5.642e-06 
  1801.650          87.078      4.724   -131.777            7.185        13014.118      2.056      0.000      0.000    0.06164   26.24667           -0.71370       80.44081         5.732e-06 
  1802.650          86.988      4.735   -131.714            7.182        13021.206      2.047      0.000      0.000    0.06067   26.23698           -0.71773       80.44671         5.824e-06 
  1803.650          86.898      4.745   -131.651            7.180        13028.291      2.038      0.000      0.000    0.05970   26.22696           -0.72181       80.45261         5.919e-06 
  1804.650          86.807      4.756   -131.588            7.177        13035.373      2.029      0.000      0.000    0.05875   26.21660           -0.72594       80.45853         6.015e-06 
  1805.650          86.716      4.767   -131.525            7.174        13042.452      2.020      0.000      0.000    0.05781   26.20588           -0.73014       80.46446         6.113e-06 
  1806.650          86.625      4.777   -131.462            7.171        13049.529      2.012      0.000      0.000    0.05688   26.19478           -0.73439       80.47040         6.213e-06 
  1807.650          86.532      4.788   -131.399            7.168        13056.603      2.003      0.000      0.000    0.05595   26.18329           -0.73871       80.47635         6.316e-06 
  1808.650          86.440      4.798   -131.336            7.164        13063.674      1.994      0.000      0.000    0.05504   26.17137           -0.74308       80.48231         6.421e-06 
  1809.650          86.347      4.809   -131.273            7.161        13070.741      1.985      0.000      0.000    0.05414   26.15901           -0.74753       80.48828         6.528e-06 
  1810.650          86.253      4.819   -131.211            7.158        13077.805      1.977      0.000      0.000    0.05324   26.14618           -0.75204       80.49426         6.638e-06 
  1811.650          86.159      4.830   -131.148            7.154        13084.866      1.968      0.000      0.000    0.05236   26.13285           -0.75662       80.50026         6.750e-06 
  1812.650          86.064      4.840   -131.085            7.150        13091.924      1.960      0.000      0.000    0.05148   26.11898           -0.76128       80.50626         6.865e-06 
  1813.650          85.969      4.851   -131.022            7.146        13098.977      1.952      0.000      0.000    0.05063   26.10185           -0.76601       80.51228         6.981e-06 
  1814.650          85.873      4.862   -130.960            7.142        13106.027      1.944      0.000      0.000    0.04983   26.07355           -0.77083       80.51830         7.093e-06 
  1815.650          85.776      4.872   -130.897            7.138        13113.073      1.936      0.000      0.000    0.04903   26.04460           -0.77572       80.52433         7.208e-06 
  1816.650          85.680      4.882   -130.834            7.133        13120.114      1.928      0.000      0.000    0.04824   26.01492           -0.78071       80.53038         7.326e-06 
  1817.650          85.582      4.893   -130.772            7.129        13127.151      1.921      0.000      0.000    0.04747   25.98446           -0.78578       80.53643         7.446e-06 
  1818.650          85.484      4.903   -130.709            7.124        13134.184      1.913      0.000      0.000    0.04670   25.95318           -0.79095       80.54250         7.569e-06 
  1819.650          85.385      4.914   -130.647            7.119        13141.211      1.906      0.000      0.000    0.04594   25.92089           -0.79622       80.54857         7.694e-06 
  1820.650          85.286      4.924   -130.584            7.113        13148.234      1.899      0.000      0.000    0.04519   25.88772           -0.80160       80.55465         7.822e-06 
  1821.650          85.186      4.935   -130.522            7.108        13155.251      1.892      0.000      0.000    0.04444   25.85344           -0.80708       80.56074         7.953e-06 
  1822.650          85.086      4.945   -130.460            7.102        13162.262      1.884      0.000      0.000    0.04371   25.81799           -0.81268       80.56684         8.086e-06 
  1823.650          84.985      4.955   -130.397            7.095        13169.268      1.877      0.000      0.000    0.04299   25.78127           -0.81840       80.57295         8.223e-06 
