#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Gyrosbl.43089cf7-03c5-4130-a53f-e1761f4b1c62_Trajectory.txt
# RunID         : sara
# ObjectID      : 43089cf7-03c5-4130-a53f-e1761f4b1c62
# ObjectName    : Gyrosbl
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1727.100          92.776      3.905   -136.514            7.319        12480.373      2.892      0.000      0.000    0.15847   26.66246           -0.52612       80.03637         2.082e-06 
  1727.200          92.770      3.907   -136.508            7.319        12481.095      2.891      0.000      0.000    0.15830   26.66232           -0.52625       80.03686         2.084e-06 
  1727.650          92.740      3.912   -136.479            7.319        12484.341      2.887      0.000      0.000    0.15753   26.66163           -0.52686       80.03909         2.094e-06 
  1728.650          92.672      3.923   -136.415            7.317        12491.555      2.877      0.000      0.000    0.15578   26.65999           -0.52823       80.04404         2.118e-06 
  1729.650          92.605      3.934   -136.351            7.316        12498.768      2.867      0.000      0.000    0.15392   26.65812           -0.52962       80.04901         2.144e-06 
  1730.650          92.537      3.945   -136.287            7.315        12505.980      2.857      0.000      0.000    0.15207   26.65613           -0.53103       80.05399         2.170e-06 
  1731.650          92.469      3.957   -136.223            7.313        12513.191      2.847      0.000      0.000    0.15025   26.65404           -0.53248       80.05898         2.196e-06 
  1732.650          92.401      3.968   -136.160            7.312        12520.400      2.837      0.000      0.000    0.14844   26.65184           -0.53395       80.06399         2.223e-06 
  1733.650          92.333      3.979   -136.096            7.311        12527.608      2.826      0.000      0.000    0.14665   26.64950           -0.53544       80.06901         2.251e-06 
  1734.650          92.264      3.990   -136.032            7.309        12534.815      2.816      0.000      0.000    0.14487   26.64707           -0.53696       80.07404         2.278e-06 
  1735.650          92.196      4.002   -135.968            7.308        12542.021      2.806      0.000      0.000    0.14312   26.64453           -0.53851       80.07909         2.307e-06 
  1736.650          92.127      4.013   -135.904            7.307        12549.225      2.795      0.000      0.000    0.14138   26.64184           -0.54008       80.08415         2.335e-06 
  1737.650          92.058      4.024   -135.840            7.305        12556.428      2.785      0.000      0.000    0.13965   26.63906           -0.54168       80.08923         2.364e-06 
  1738.650          91.989      4.035   -135.776            7.304        12563.630      2.775      0.000      0.000    0.13795   26.63616           -0.54331       80.09431         2.394e-06 
  1739.650          91.919      4.046   -135.712            7.303        12570.830      2.764      0.000      0.000    0.13626   26.63312           -0.54497       80.09941         2.423e-06 
  1740.650          91.850      4.058   -135.648            7.301        12578.029      2.754      0.000      0.000    0.13459   26.62997           -0.54665       80.10453         2.454e-06 
  1741.650          91.780      4.069   -135.585            7.300        12585.227      2.744      0.000      0.000    0.13293   26.62671           -0.54836       80.10966         2.485e-06 
  1742.650          91.710      4.080   -135.521            7.298        12592.424      2.733      0.000      0.000    0.13129   26.62331           -0.55010       80.11480         2.516e-06 
  1743.650          91.640      4.091   -135.457            7.297        12599.619      2.723      0.000      0.000    0.12967   26.61979           -0.55187       80.11995         2.547e-06 
  1744.650          91.570      4.102   -135.393            7.295        12606.813      2.713      0.000      0.000    0.12806   26.61617           -0.55367       80.12512         2.580e-06 
  1745.650          91.499      4.113   -135.329            7.294        12614.005      2.702      0.000      0.000    0.12646   26.61250           -0.55549       80.13030         2.612e-06 
  1746.650          91.428      4.125   -135.265            7.292        12621.196      2.692      0.000      0.000    0.12489   26.60836           -0.55735       80.13549         2.645e-06 
  1747.650          91.357      4.136   -135.202            7.291        12628.386      2.681      0.000      0.000    0.12332   26.60428           -0.55923       80.14070         2.679e-06 
  1748.650          91.286      4.147   -135.138            7.289        12635.574      2.671      0.000      0.000    0.12177   26.60029           -0.56114       80.14592         2.713e-06 
  1749.650          91.214      4.158   -135.074            7.288        12642.761      2.661      0.000      0.000    0.12024   26.59599           -0.56309       80.15116         2.748e-06 
  1750.650          91.143      4.169   -135.010            7.286        12649.946      2.650      0.000      0.000    0.11872   26.59156           -0.56506       80.15640         2.784e-06 
  1751.650          91.071      4.180   -134.947            7.285        12657.130      2.640      0.000      0.000    0.11722   26.58700           -0.56707       80.16166         2.819e-06 
  1752.650          90.998      4.191   -134.883            7.283        12664.313      2.629      0.000      0.000    0.11573   26.58231           -0.56910       80.16694         2.856e-06 
  1753.650          90.926      4.202   -134.819            7.282        12671.494      2.619      0.000      0.000    0.11425   26.57751           -0.57117       80.17222         2.893e-06 
  1754.650          90.853      4.213   -134.756            7.280        12678.673      2.608      0.000      0.000    0.11279   26.57263           -0.57327       80.17752         2.931e-06 
  1755.650          90.780      4.225   -134.692            7.279        12685.851      2.598      0.000      0.000    0.11135   26.56769           -0.57540       80.18283         2.969e-06 
  1756.650          90.707      4.236   -134.628            7.277        12693.028      2.588      0.000      0.000    0.10991   26.56268           -0.57756       80.18816         3.008e-06 
  1757.650          90.634      4.247   -134.564            7.275        12700.203      2.577      0.000      0.000    0.10849   26.55759           -0.57975       80.19350         3.047e-06 
  1758.650          90.560      4.258   -134.501            7.274        12707.376      2.567      0.000      0.000    0.10708   26.55244           -0.58198       80.19885         3.088e-06 
  1759.650          90.486      4.269   -134.437            7.272        12714.548      2.556      0.000      0.000    0.10569   26.54721           -0.58423       80.20421         3.129e-06 
  1760.650          90.411      4.280   -134.374            7.270        12721.718      2.546      0.000      0.000    0.10431   26.54191           -0.58653       80.20959         3.170e-06 
  1761.650          90.337      4.291   -134.310            7.269        12728.887      2.536      0.000      0.000    0.10294   26.53660           -0.58885       80.21498         3.212e-06 
  1762.650          90.262      4.302   -134.246            7.267        12736.054      2.525      0.000      0.000    0.10159   26.53118           -0.59121       80.22038         3.255e-06 
  1763.650          90.187      4.313   -134.183            7.265        12743.220      2.515      0.000      0.000    0.10025   26.52557           -0.59360       80.22580         3.299e-06 
  1764.650          90.112      4.324   -134.119            7.263        12750.384      2.504      0.000      0.000    0.09892   26.51997           -0.59603       80.23122         3.344e-06 
  1765.650          90.036      4.335   -134.055            7.262        12757.546      2.494      0.000      0.000    0.09760   26.51429           -0.59849       80.23666         3.389e-06 
  1766.650          89.960      4.346   -133.992            7.260        12764.707      2.484      0.000      0.000    0.09630   26.50853           -0.60099       80.24212         3.435e-06 
  1767.650          89.884      4.357   -133.928            7.258        12771.866      2.473      0.000      0.000    0.09501   26.50270           -0.60352       80.24758         3.482e-06 
