#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.H-SSPA1.b25dc4d9-13c8-482a-a299-dd01fd08ebdb_Trajectory.txt
# RunID         : sara
# ObjectID      : b25dc4d9-13c8-482a-a299-dd01fd08ebdb
# ObjectName    : H-SSPA1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1866.200          81.264      5.407   -127.642            7.175        13478.840      1.772      0.000      0.000    0.03473   25.56068           -0.83828       80.85496         1.510e-05 
  1866.300          81.254      5.408   -127.636            7.174        13479.549      1.772      0.000      0.000    0.03467   25.55489           -0.83871       80.85564         1.512e-05 
  1866.750          81.206      5.413   -127.607            7.167        13482.735      1.770      0.000      0.000    0.03444   25.52799           -0.84068       80.85868         1.522e-05 
  1867.750          81.101      5.423   -127.544            7.152        13489.805      1.765      0.000      0.000    0.03390   25.46603           -0.84526       80.86543         1.547e-05 
  1868.750          80.995      5.433   -127.482            7.137        13496.860      1.760      0.000      0.000    0.03334   25.39904           -0.85013       80.87218         1.573e-05 
  1869.750          80.889      5.443   -127.419            7.122        13503.900      1.755      0.000      0.000    0.03278   25.33155           -0.85529       80.87893         1.600e-05 
  1870.750          80.783      5.453   -127.356            7.107        13510.926      1.750      0.000      0.000    0.03223   25.26357           -0.86076       80.88568         1.627e-05 
  1871.750          80.676      5.463   -127.294            7.091        13517.937      1.745      0.000      0.000    0.03168   25.19508           -0.86653       80.89243         1.655e-05 
  1872.750          80.568      5.473   -127.231            7.076        13524.932      1.740      0.000      0.000    0.03115   25.12607           -0.87261       80.89918         1.683e-05 
  1873.750          80.460      5.483   -127.169            7.060        13531.912      1.736      0.000      0.000    0.03062   25.05653           -0.87899       80.90593         1.712e-05 
  1874.750          80.352      5.493   -127.107            7.044        13538.876      1.731      0.000      0.000    0.03010   24.98645           -0.88570       80.91268         1.742e-05 
  1875.750          80.243      5.503   -127.045            7.028        13545.825      1.727      0.000      0.000    0.02958   24.91581           -0.89272       80.91943         1.773e-05 
  1876.750          80.133      5.513   -126.984            7.012        13552.758      1.722      0.000      0.000    0.02907   24.84461           -0.90006       80.92618         1.804e-05 
  1877.750          80.022      5.523   -126.922            6.996        13559.675      1.718      0.000      0.000    0.02857   24.77282           -0.90773       80.93292         1.835e-05 
  1878.750          79.911      5.533   -126.860            6.979        13566.576      1.714      0.000      0.000    0.02807   24.70046           -0.91574       80.93967         1.868e-05 
  1879.750          79.799      5.542   -126.799            6.960        13573.459      1.710      0.000      0.000    0.02758   24.62131           -0.92410       80.94641         1.901e-05 
  1880.750          79.687      5.552   -126.738            6.938        13580.323      1.706      0.000      0.000    0.02710   24.53126           -0.93287       80.95315         1.935e-05 
  1881.750          79.573      5.562   -126.677            6.912        13587.163      1.703      0.000      0.000    0.02662   24.42615           -0.94213       80.95987         1.970e-05 
  1882.750          79.459      5.572   -126.616            6.879        13593.973      1.699      0.000      0.000    0.02615   24.29922           -0.95199       80.96659         2.005e-05 
  1883.750          79.345      5.581   -126.556            6.836        13600.746      1.695      0.000      0.000    0.02568   24.13794           -0.96263       80.97328         2.042e-05 
  1884.750          79.230      5.591   -126.496            6.774        13607.468      1.692      0.000      0.000    0.02522   23.91466           -0.97435       80.97993         2.079e-05 
  1885.750          79.115      5.600   -126.437            6.668        13614.106      1.689      0.000      0.000    0.02477   23.54580           -0.98782       80.98651         2.117e-05 
  1886.750          79.002      5.609   -126.380            6.323        13620.520      1.686      0.000      0.000    0.02433   22.41686           -1.00618       80.99284         2.155e-05 
