#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.MAC-Y.58c3bdfd-4512-4407-8fd3-89664a00dd56_Trajectory.txt
# RunID         : sara
# ObjectID      : 58c3bdfd-4512-4407-8fd3-89664a00dd56
# ObjectName    : MAC-Y
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1727.100          92.776      3.905   -136.514            7.319        12480.373      1.571      0.000      0.000    0.07234   26.66246           -0.52612       80.03637         2.082e-06 
  1727.200          92.770      3.907   -136.508            7.319        12481.095      1.570      0.000      0.000    0.07227   26.66231           -0.52625       80.03686         2.084e-06 
  1727.650          92.740      3.912   -136.479            7.319        12484.341      1.568      0.000      0.000    0.07192   26.66160           -0.52686       80.03909         2.094e-06 
  1728.650          92.672      3.923   -136.415            7.317        12491.555      1.563      0.000      0.000    0.07112   26.65993           -0.52823       80.04404         2.118e-06 
  1729.650          92.605      3.934   -136.351            7.316        12498.768      1.558      0.000      0.000    0.07026   26.65802           -0.52962       80.04901         2.144e-06 
  1730.650          92.537      3.945   -136.287            7.315        12505.980      1.552      0.000      0.000    0.06942   26.65598           -0.53104       80.05399         2.170e-06 
  1731.650          92.469      3.957   -136.223            7.313        12513.191      1.547      0.000      0.000    0.06859   26.65385           -0.53248       80.05898         2.196e-06 
  1732.650          92.401      3.968   -136.160            7.312        12520.400      1.541      0.000      0.000    0.06776   26.65161           -0.53395       80.06399         2.223e-06 
  1733.650          92.333      3.979   -136.096            7.311        12527.608      1.536      0.000      0.000    0.06694   26.64922           -0.53544       80.06901         2.251e-06 
  1734.650          92.264      3.990   -136.032            7.309        12534.815      1.530      0.000      0.000    0.06614   26.64674           -0.53697       80.07404         2.278e-06 
  1735.650          92.196      4.002   -135.968            7.308        12542.020      1.525      0.000      0.000    0.06533   26.64416           -0.53852       80.07909         2.307e-06 
  1736.650          92.127      4.013   -135.904            7.307        12549.224      1.520      0.000      0.000    0.06454   26.64142           -0.54009       80.08415         2.335e-06 
  1737.650          92.058      4.024   -135.840            7.305        12556.427      1.514      0.000      0.000    0.06375   26.63858           -0.54170       80.08922         2.364e-06 
  1738.650          91.989      4.035   -135.776            7.304        12563.629      1.509      0.000      0.000    0.06297   26.63564           -0.54333       80.09431         2.394e-06 
  1739.650          91.919      4.046   -135.712            7.302        12570.829      1.504      0.000      0.000    0.06220   26.63255           -0.54499       80.09941         2.423e-06 
  1740.650          91.850      4.058   -135.648            7.301        12578.028      1.499      0.000      0.000    0.06144   26.62934           -0.54667       80.10453         2.454e-06 
  1741.650          91.780      4.069   -135.585            7.300        12585.226      1.494      0.000      0.000    0.06068   26.62602           -0.54839       80.10966         2.485e-06 
  1742.650          91.710      4.080   -135.521            7.298        12592.422      1.489      0.000      0.000    0.05993   26.62256           -0.55013       80.11480         2.516e-06 
  1743.650          91.640      4.091   -135.457            7.297        12599.617      1.484      0.000      0.000    0.05919   26.61897           -0.55190       80.11995         2.547e-06 
  1744.650          91.570      4.102   -135.393            7.295        12606.811      1.478      0.000      0.000    0.05846   26.61529           -0.55370       80.12512         2.580e-06 
  1745.650          91.499      4.113   -135.329            7.294        12614.003      1.473      0.000      0.000    0.05773   26.61155           -0.55553       80.13030         2.612e-06 
  1746.650          91.428      4.125   -135.266            7.292        12621.194      1.468      0.000      0.000    0.05701   26.60734           -0.55739       80.13549         2.646e-06 
  1747.650          91.357      4.136   -135.202            7.291        12628.383      1.464      0.000      0.000    0.05630   26.60319           -0.55928       80.14070         2.679e-06 
  1748.650          91.286      4.147   -135.138            7.289        12635.571      1.459      0.000      0.000    0.05559   26.59912           -0.56120       80.14592         2.713e-06 
  1749.650          91.214      4.158   -135.074            7.288        12642.757      1.454      0.000      0.000    0.05489   26.59473           -0.56315       80.15115         2.748e-06 
  1750.650          91.143      4.169   -135.010            7.286        12649.943      1.449      0.000      0.000    0.05420   26.59021           -0.56514       80.15640         2.784e-06 
  1751.650          91.071      4.180   -134.947            7.284        12657.126      1.444      0.000      0.000    0.05351   26.58557           -0.56715       80.16166         2.820e-06 
  1752.650          90.998      4.191   -134.883            7.283        12664.308      1.439      0.000      0.000    0.05283   26.58078           -0.56919       80.16693         2.856e-06 
  1753.650          90.926      4.202   -134.819            7.281        12671.489      1.435      0.000      0.000    0.05216   26.57587           -0.57127       80.17222         2.893e-06 
  1754.650          90.853      4.213   -134.756            7.280        12678.668      1.430      0.000      0.000    0.05149   26.57089           -0.57337       80.17752         2.931e-06 
  1755.650          90.780      4.224   -134.692            7.278        12685.845      1.425      0.000      0.000    0.05083   26.56584           -0.57551       80.18283         2.969e-06 
  1756.650          90.707      4.236   -134.628            7.276        12693.021      1.421      0.000      0.000    0.05017   26.56071           -0.57768       80.18815         3.008e-06 
  1757.650          90.633      4.247   -134.565            7.275        12700.196      1.416      0.000      0.000    0.04953   26.55550           -0.57989       80.19349         3.048e-06 
  1758.650          90.560      4.258   -134.501            7.273        12707.369      1.411      0.000      0.000    0.04888   26.55021           -0.58212       80.19884         3.088e-06 
  1759.650          90.486      4.269   -134.437            7.271        12714.540      1.407      0.000      0.000    0.04825   26.54486           -0.58439       80.20420         3.129e-06 
  1760.650          90.411      4.280   -134.374            7.270        12721.710      1.403      0.000      0.000    0.04762   26.53941           -0.58670       80.20958         3.170e-06 
  1761.650          90.337      4.291   -134.310            7.268        12728.878      1.398      0.000      0.000    0.04699   26.53395           -0.58904       80.21497         3.213e-06 
  1762.650          90.262      4.302   -134.246            7.266        12736.044      1.394      0.000      0.000    0.04638   26.52837           -0.59141       80.22037         3.256e-06 
  1763.650          90.187      4.313   -134.183            7.264        12743.209      1.389      0.000      0.000    0.04576   26.52260           -0.59382       80.22579         3.299e-06 
