#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.PCU.ec290029-8b8b-41f1-84b5-0156600c4465_Trajectory.txt
# RunID         : sara
# ObjectID      : ec290029-8b8b-41f1-84b5-0156600c4465
# ObjectName    : PCU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1866.200          81.264      5.407   -127.642            7.175        13478.840      1.367      0.000      0.000    0.01344   25.56068           -0.83828       80.85496         1.510e-05 
  1866.300          81.254      5.408   -127.636            7.175        13479.549      1.367      0.000      0.000    0.01342   25.55792           -0.83871       80.85564         1.512e-05 
  1866.750          81.206      5.413   -127.607            7.172        13482.736      1.367      0.000      0.000    0.01333   25.54509           -0.84065       80.85868         1.522e-05 
  1867.750          81.101      5.423   -127.544            7.167        13489.816      1.366      0.000      0.000    0.01312   25.51550           -0.84502       80.86544         1.547e-05 
  1868.750          80.995      5.433   -127.481            7.162        13496.891      1.366      0.000      0.000    0.01290   25.48344           -0.84950       80.87221         1.573e-05 
  1869.750          80.889      5.443   -127.418            7.157        13503.961      1.366      0.000      0.000    0.01269   25.45108           -0.85408       80.87899         1.600e-05 
  1870.750          80.782      5.453   -127.355            7.152        13511.026      1.366      0.000      0.000    0.01247   25.41842           -0.85876       80.88578         1.627e-05 
  1871.750          80.674      5.463   -127.292            7.146        13518.086      1.366      0.000      0.000    0.01226   25.38545           -0.86355       80.89257         1.655e-05 
  1872.750          80.566      5.474   -127.230            7.141        13525.141      1.365      0.000      0.000    0.01205   25.35217           -0.86844       80.89938         1.684e-05 
  1873.750          80.458      5.484   -127.167            7.135        13532.190      1.365      0.000      0.000    0.01185   25.31856           -0.87345       80.90619         1.713e-05 
  1874.750          80.349      5.494   -127.104            7.130        13539.234      1.365      0.000      0.000    0.01164   25.28462           -0.87856       80.91301         1.743e-05 
  1875.750          80.239      5.504   -127.041            7.124        13546.272      1.365      0.000      0.000    0.01144   25.25035           -0.88379       80.91984         1.773e-05 
  1876.750          80.129      5.514   -126.979            7.118        13553.305      1.365      0.000      0.000    0.01125   25.21575           -0.88914       80.92668         1.805e-05 
  1877.750          80.018      5.524   -126.916            7.112        13560.332      1.365      0.000      0.000    0.01105   25.18078           -0.89460       80.93352         1.836e-05 
  1878.750          79.907      5.534   -126.854            7.106        13567.353      1.365      0.000      0.000    0.01086   25.14548           -0.90017       80.94037         1.869e-05 
  1879.750          79.795      5.544   -126.791            7.100        13574.369      1.365      0.000      0.000    0.01067   25.10982           -0.90587       80.94723         1.902e-05 
  1880.750          79.682      5.554   -126.729            7.094        13581.378      1.365      0.000      0.000    0.01048   25.07379           -0.91170       80.95410         1.936e-05 
  1881.750          79.569      5.564   -126.666            7.088        13588.382      1.365      0.000      0.000    0.01030   25.03739           -0.91764       80.96098         1.971e-05 
  1882.750          79.455      5.574   -126.604            7.081        13595.379      1.365      0.000      0.000    0.01011   25.00060           -0.92372       80.96786         2.007e-05 
  1883.750          79.341      5.584   -126.541            7.075        13602.370      1.365      0.000      0.000    0.00993   24.96342           -0.92992       80.97475         2.043e-05 
  1884.750          79.226      5.593   -126.479            7.068        13609.354      1.365      0.000      0.000    0.00976   24.92586           -0.93626       80.98164         2.080e-05 
  1885.750          79.110      5.603   -126.417            7.061        13616.332      1.365      0.000      0.000    0.00958   24.88789           -0.94272       80.98855         2.118e-05 
  1886.750          78.993      5.613   -126.355            7.055        13623.304      1.365      0.000      0.000    0.00941   24.84950           -0.94933       80.99546         2.157e-05 
  1887.750          78.876      5.623   -126.293            7.048        13630.269      1.365      0.000      0.000    0.00924   24.81070           -0.95607       81.00237         2.197e-05 
  1888.750          78.758      5.633   -126.231            7.040        13637.227      1.365      0.000      0.000    0.00907   24.77147           -0.96296       81.00930         2.238e-05 
  1889.750          78.639      5.643   -126.169            7.033        13644.178      1.365      0.000      0.000    0.00890   24.73181           -0.96998       81.01622         2.280e-05 
  1890.750          78.520      5.652   -126.107            7.026        13651.122      1.365      0.000      0.000    0.00874   24.69169           -0.97716       81.02316         2.323e-05 
  1891.750          78.400      5.662   -126.045            7.019        13658.059      1.365      0.000      0.000    0.00858   24.65112           -0.98448       81.03010         2.366e-05 
  1892.750          78.279      5.672   -125.983            7.011        13664.988      1.365      0.000      0.000    0.00842   24.61009           -0.99195       81.03705         2.411e-05 
  1893.750          78.157      5.682   -125.922            7.003        13671.910      1.365      0.000      0.000    0.00826   24.56859           -0.99958       81.04400         2.457e-05 
  1894.750          78.034      5.692   -125.860            6.995        13678.825      1.365      0.000      0.000    0.00810   24.52661           -1.00737       81.05096         2.504e-05 
  1895.750          77.911      5.701   -125.798            6.987        13685.732      1.365      0.000      0.000    0.00795   24.48350           -1.01531       81.05792         2.553e-05 
  1896.750          77.787      5.711   -125.737            6.979        13692.630      1.365      0.000      0.000    0.00780   24.43884           -1.02343       81.06489         2.602e-05 
  1897.750          77.662      5.721   -125.675            6.970        13699.520      1.365      0.000      0.000    0.00765   24.39248           -1.03173       81.07186         2.653e-05 
  1898.750          77.536      5.730   -125.614            6.960        13706.401      1.365      0.000      0.000    0.00750   24.34428           -1.04022       81.07883         2.705e-05 
  1899.750          77.409      5.740   -125.553            6.950        13713.272      1.365      0.000      0.000    0.00736   24.29406           -1.04890       81.08581         2.758e-05 
  1900.750          77.281      5.749   -125.492            6.939        13720.133      1.365      0.000      0.000    0.00721   24.24164           -1.05781       81.09280         2.813e-05 
  1901.750          77.153      5.759   -125.430            6.927        13726.983      1.365      0.000      0.000    0.00707   24.18682           -1.06694       81.09978         2.869e-05 
  1902.750          77.023      5.769   -125.369            6.915        13733.822      1.365      0.000      0.000    0.00693   24.12935           -1.07631       81.10676         2.927e-05 
  1903.750          76.893      5.778   -125.309            6.902        13740.647      1.365      0.000      0.000    0.00680   24.06893           -1.08594       81.11375         2.986e-05 
  1904.750          76.762      5.788   -125.248            6.888        13747.460      1.365      0.000      0.000    0.00666   24.00526           -1.09586       81.12073         3.047e-05 
  1905.750          76.630      5.797   -125.187            6.873        13754.258      1.365      0.000      0.000    0.00653   23.93796           -1.10607       81.12772         3.109e-05 
  1906.750          76.496      5.807   -125.127            6.856        13761.041      1.365      0.000      0.000    0.00640   23.86658           -1.11661       81.13470         3.173e-05 
  1907.750          76.362      5.816   -125.066            6.839        13767.807      1.365      0.000      0.000    0.00627   23.79059           -1.12749       81.14167         3.238e-05 
  1908.750          76.227      5.825   -125.006            6.820        13774.555      1.365      0.000      0.000    0.00614   23.70935           -1.13876       81.14864         3.306e-05 
  1909.750          76.091      5.835   -124.946            6.799        13781.283      1.365      0.000      0.000    0.00601   23.62209           -1.15045       81.15561         3.375e-05 
  1910.750          75.954      5.844   -124.886            6.776        13787.990      1.365      0.000      0.000    0.00589   23.52787           -1.16259       81.16256         3.446e-05 
  1911.750          75.816      5.853   -124.827            6.750        13794.673      1.365      0.000      0.000    0.00577   23.42549           -1.17524       81.16950         3.519e-05 
