#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.PLM.a8c52bba-8078-4fb0-94fe-07d876624d0a_Trajectory.txt
# RunID         : sara
# ObjectID      : a8c52bba-8078-4fb0-94fe-07d876624d0a
# ObjectName    : PLM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1737.650          92.058      4.024   -135.840            7.316        12556.482      1.354      0.000      0.000    0.01824   26.67737           -0.54061       80.08927         2.368e-06 
  1737.750          92.051      4.025   -135.833            7.316        12557.204      1.354      0.000      0.000    0.01822   26.67746           -0.54075       80.08978         2.370e-06 
  1738.200          92.020      4.030   -135.804            7.316        12560.450      1.354      0.000      0.000    0.01813   26.67791           -0.54139       80.09207         2.382e-06 
  1739.200          91.951      4.042   -135.740            7.316        12567.662      1.353      0.000      0.000    0.01792   26.67887           -0.54281       80.09718         2.410e-06 
  1740.200          91.881      4.053   -135.676            7.315        12574.875      1.352      0.000      0.000    0.01770   26.67982           -0.54423       80.10230         2.440e-06 
  1741.200          91.812      4.064   -135.612            7.315        12582.087      1.351      0.000      0.000    0.01748   26.68067           -0.54566       80.10743         2.471e-06 
  1742.200          91.742      4.075   -135.548            7.315        12589.299      1.351      0.000      0.000    0.01727   26.68141           -0.54710       80.11258         2.501e-06 
  1743.200          91.672      4.086   -135.484            7.314        12596.511      1.350      0.000      0.000    0.01706   26.68208           -0.54854       80.11774         2.533e-06 
  1744.200          91.602      4.098   -135.421            7.314        12603.722      1.349      0.000      0.000    0.01685   26.68265           -0.54999       80.12291         2.565e-06 
  1745.200          91.532      4.109   -135.357            7.314        12610.934      1.349      0.000      0.000    0.01664   26.68317           -0.55145       80.12810         2.597e-06 
  1746.200          91.461      4.120   -135.293            7.313        12618.145      1.348      0.000      0.000    0.01643   26.68349           -0.55292       80.13330         2.630e-06 
  1747.200          91.390      4.131   -135.229            7.313        12625.355      1.348      0.000      0.000    0.01623   26.68352           -0.55439       80.13852         2.663e-06 
  1748.200          91.320      4.142   -135.165            7.313        12632.566      1.347      0.000      0.000    0.01602   26.68384           -0.55587       80.14375         2.697e-06 
  1749.200          91.249      4.153   -135.101            7.312        12639.776      1.347      0.000      0.000    0.01582   26.68397           -0.55735       80.14899         2.732e-06 
  1750.200          91.177      4.165   -135.037            7.312        12646.986      1.346      0.000      0.000    0.01562   26.68395           -0.55885       80.15425         2.766e-06 
  1751.200          91.106      4.176   -134.973            7.312        12654.196      1.346      0.000      0.000    0.01543   26.68380           -0.56035       80.15953         2.802e-06 
  1752.200          91.034      4.187   -134.909            7.311        12661.406      1.345      0.000      0.000    0.01523   26.68355           -0.56186       80.16481         2.838e-06 
  1753.200          90.963      4.198   -134.845            7.311        12668.615      1.345      0.000      0.000    0.01504   26.68322           -0.56337       80.17011         2.874e-06 
  1754.200          90.891      4.209   -134.781            7.311        12675.824      1.344      0.000      0.000    0.01485   26.68283           -0.56490       80.17543         2.911e-06 
  1755.200          90.818      4.220   -134.717            7.310        12683.033      1.344      0.000      0.000    0.01466   26.68240           -0.56643       80.18076         2.949e-06 
  1756.200          90.746      4.231   -134.653            7.310        12690.241      1.344      0.000      0.000    0.01448   26.68193           -0.56797       80.18610         2.987e-06 
  1757.200          90.673      4.242   -134.589            7.310        12697.449      1.343      0.000      0.000    0.01429   26.68142           -0.56952       80.19146         3.026e-06 
