#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.PropStr.bca3f3ba-1ce7-4cca-a1ae-583496a30689_Trajectory.txt
# RunID         : sara
# ObjectID      : bca3f3ba-1ce7-4cca-a1ae-583496a30689
# ObjectName    : PropStr
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1727.100          92.776      3.905   -136.514            7.319        12480.373      0.702      0.000      0.000    0.05634   26.66246           -0.52612       80.03637         2.082e-06 
  1727.200          92.770      3.907   -136.508            7.319        12481.095      0.702      0.000      0.000    0.05628   26.66223           -0.52625       80.03686         2.084e-06 
  1727.650          92.740      3.912   -136.479            7.318        12484.341      0.701      0.000      0.000    0.05601   26.66116           -0.52686       80.03909         2.094e-06 
  1728.650          92.672      3.923   -136.415            7.317        12491.555      0.699      0.000      0.000    0.05539   26.65864           -0.52823       80.04404         2.118e-06 
  1729.650          92.605      3.934   -136.351            7.315        12498.768      0.697      0.000      0.000    0.05473   26.65582           -0.52963       80.04901         2.144e-06 
  1730.650          92.537      3.945   -136.287            7.314        12505.978      0.695      0.000      0.000    0.05407   26.65286           -0.53107       80.05398         2.170e-06 
  1731.650          92.469      3.957   -136.223            7.312        12513.188      0.693      0.000      0.000    0.05342   26.64980           -0.53253       80.05898         2.196e-06 
  1732.650          92.401      3.968   -136.160            7.311        12520.396      0.691      0.000      0.000    0.05278   26.64661           -0.53402       80.06398         2.223e-06 
  1733.650          92.333      3.979   -136.096            7.309        12527.602      0.688      0.000      0.000    0.05214   26.64328           -0.53555       80.06900         2.251e-06 
  1734.650          92.264      3.990   -136.032            7.307        12534.807      0.686      0.000      0.000    0.05151   26.63984           -0.53711       80.07404         2.278e-06 
  1735.650          92.196      4.002   -135.968            7.306        12542.011      0.684      0.000      0.000    0.05088   26.63628           -0.53870       80.07908         2.307e-06 
  1736.650          92.127      4.013   -135.904            7.304        12549.213      0.682      0.000      0.000    0.05027   26.63256           -0.54032       80.08414         2.335e-06 
  1737.650          92.058      4.024   -135.840            7.303        12556.413      0.680      0.000      0.000    0.04965   26.62873           -0.54197       80.08921         2.364e-06 
  1738.650          91.989      4.035   -135.776            7.301        12563.612      0.678      0.000      0.000    0.04905   26.62478           -0.54366       80.09430         2.394e-06 
  1739.650          91.919      4.046   -135.712            7.299        12570.809      0.676      0.000      0.000    0.04845   26.62067           -0.54538       80.09940         2.423e-06 
  1740.650          91.850      4.058   -135.649            7.297        12578.005      0.674      0.000      0.000    0.04785   26.61643           -0.54713       80.10451         2.454e-06 
  1741.650          91.780      4.069   -135.585            7.296        12585.199      0.672      0.000      0.000    0.04726   26.61208           -0.54891       80.10963         2.485e-06 
  1742.650          91.710      4.080   -135.521            7.294        12592.391      0.670      0.000      0.000    0.04668   26.60757           -0.55073       80.11477         2.516e-06 
  1743.650          91.640      4.091   -135.457            7.292        12599.582      0.668      0.000      0.000    0.04610   26.60292           -0.55259       80.11992         2.548e-06 
  1744.650          91.569      4.102   -135.393            7.290        12606.771      0.666      0.000      0.000    0.04553   26.59817           -0.55448       80.12509         2.580e-06 
  1745.650          91.499      4.113   -135.330            7.289        12613.958      0.664      0.000      0.000    0.04496   26.59334           -0.55640       80.13026         2.612e-06 
  1746.650          91.428      4.125   -135.266            7.287        12621.144      0.662      0.000      0.000    0.04440   26.58804           -0.55836       80.13545         2.646e-06 
  1747.650          91.357      4.136   -135.202            7.285        12628.328      0.660      0.000      0.000    0.04384   26.58277           -0.56036       80.14066         2.679e-06 
  1748.650          91.285      4.147   -135.138            7.283        12635.510      0.658      0.000      0.000    0.04329   26.57758           -0.56239       80.14587         2.714e-06 
  1749.650          91.214      4.158   -135.075            7.281        12642.691      0.656      0.000      0.000    0.04275   26.57206           -0.56446       80.15110         2.749e-06 
  1750.650          91.142      4.169   -135.011            7.279        12649.869      0.655      0.000      0.000    0.04221   26.56638           -0.56656       80.15634         2.784e-06 
  1751.650          91.070      4.180   -134.947            7.278        12657.046      0.653      0.000      0.000    0.04167   26.56057           -0.56870       80.16160         2.820e-06 
  1752.650          90.997      4.191   -134.884            7.276        12664.221      0.651      0.000      0.000    0.04114   26.55461           -0.57088       80.16686         2.856e-06 
  1753.650          90.925      4.202   -134.820            7.274        12671.395      0.649      0.000      0.000    0.04061   26.54851           -0.57310       80.17215         2.894e-06 
  1754.650          90.852      4.213   -134.756            7.272        12678.566      0.647      0.000      0.000    0.04009   26.54232           -0.57535       80.17744         2.931e-06 
  1755.650          90.779      4.224   -134.693            7.270        12685.736      0.646      0.000      0.000    0.03958   26.53605           -0.57765       80.18274         2.970e-06 
  1756.650          90.705      4.235   -134.629            7.268        12692.904      0.644      0.000      0.000    0.03907   26.52968           -0.57998       80.18806         3.009e-06 
  1757.650          90.632      4.246   -134.566            7.266        12700.069      0.642      0.000      0.000    0.03856   26.52322           -0.58235       80.19339         3.048e-06 
  1758.650          90.558      4.257   -134.502            7.264        12707.233      0.641      0.000      0.000    0.03806   26.51667           -0.58476       80.19874         3.089e-06 
  1759.650          90.483      4.268   -134.438            7.262        12714.395      0.639      0.000      0.000    0.03756   26.51002           -0.58722       80.20409         3.130e-06 
  1760.650          90.409      4.279   -134.375            7.260        12721.555      0.637      0.000      0.000    0.03707   26.50328           -0.58971       80.20946         3.172e-06 
  1761.650          90.334      4.290   -134.311            7.258        12728.713      0.636      0.000      0.000    0.03658   26.49650           -0.59224       80.21484         3.214e-06 
  1762.650          90.259      4.301   -134.248            7.255        12735.869      0.634      0.000      0.000    0.03610   26.48958           -0.59482       80.22024         3.257e-06 
  1763.650          90.183      4.312   -134.184            7.253        12743.023      0.633      0.000      0.000    0.03562   26.48245           -0.59744       80.22564         3.301e-06 
  1764.650          90.107      4.323   -134.121            7.251        12750.175      0.631      0.000      0.000    0.03515   26.47530           -0.60010       80.23106         3.346e-06 
  1765.650          90.031      4.334   -134.057            7.249        12757.325      0.630      0.000      0.000    0.03468   26.46805           -0.60280       80.23649         3.392e-06 
  1766.650          89.955      4.345   -133.994            7.247        12764.473      0.628      0.000      0.000    0.03421   26.46069           -0.60555       80.24194         3.438e-06 
  1767.650          89.878      4.356   -133.931            7.244        12771.619      0.627      0.000      0.000    0.03375   26.45323           -0.60834       80.24739         3.485e-06 
  1768.650          89.801      4.367   -133.867            7.242        12778.762      0.625      0.000      0.000    0.03329   26.44565           -0.61117       80.25286         3.533e-06 
  1769.650          89.724      4.378   -133.804            7.240        12785.904      0.624      0.000      0.000    0.03284   26.43796           -0.61405       80.25834         3.582e-06 
  1770.650          89.646      4.389   -133.740            7.238        12793.043      0.622      0.000      0.000    0.03239   26.43015           -0.61697       80.26384         3.632e-06 
  1771.650          89.568      4.400   -133.677            7.235        12800.180      0.621      0.000      0.000    0.03194   26.42223           -0.61995       80.26934         3.683e-06 
