#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SADM2.5feabfca-0490-48e9-91dc-79fdc5a134a5_Trajectory.txt
# RunID         : sara
# ObjectID      : 5feabfca-0490-48e9-91dc-79fdc5a134a5
# ObjectName    : SADM2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1727.100          92.776      3.905   -136.514            7.319        12480.373      1.903      0.000      0.000    0.11408   26.66246           -0.52612       80.03637         2.082e-06 
  1727.200          92.770      3.907   -136.508            7.319        12481.095      1.902      0.000      0.000    0.11396   26.66251           -0.52625       80.03686         2.084e-06 
  1727.650          92.740      3.912   -136.479            7.319        12484.341      1.899      0.000      0.000    0.11341   26.66274           -0.52686       80.03909         2.094e-06 
  1728.650          92.672      3.923   -136.415            7.318        12491.556      1.893      0.000      0.000    0.11215   26.66322           -0.52821       80.04404         2.118e-06 
  1729.650          92.605      3.934   -136.351            7.318        12498.770      1.886      0.000      0.000    0.11081   26.66365           -0.52958       80.04901         2.144e-06 
  1730.650          92.537      3.945   -136.287            7.317        12505.984      1.879      0.000      0.000    0.10948   26.66397           -0.53096       80.05399         2.170e-06 
  1731.650          92.469      3.957   -136.223            7.316        12513.197      1.872      0.000      0.000    0.10816   26.66421           -0.53235       80.05899         2.196e-06 
  1732.650          92.401      3.968   -136.159            7.316        12520.410      1.865      0.000      0.000    0.10686   26.66436           -0.53376       80.06400         2.223e-06 
  1733.650          92.333      3.979   -136.095            7.315        12527.621      1.858      0.000      0.000    0.10557   26.66439           -0.53518       80.06902         2.251e-06 
  1734.650          92.264      3.990   -136.032            7.314        12534.833      1.851      0.000      0.000    0.10429   26.66435           -0.53661       80.07406         2.279e-06 
  1735.650          92.196      4.002   -135.968            7.314        12542.043      1.844      0.000      0.000    0.10303   26.66422           -0.53806       80.07911         2.307e-06 
  1736.650          92.127      4.013   -135.904            7.313        12549.253      1.837      0.000      0.000    0.10178   26.66396           -0.53952       80.08418         2.335e-06 
  1737.650          92.058      4.024   -135.840            7.312        12556.463      1.830      0.000      0.000    0.10054   26.66363           -0.54100       80.08926         2.364e-06 
  1738.650          91.989      4.035   -135.776            7.312        12563.672      1.823      0.000      0.000    0.09931   26.66320           -0.54249       80.09435         2.394e-06 
  1739.650          91.919      4.047   -135.712            7.311        12570.880      1.816      0.000      0.000    0.09810   26.66265           -0.54399       80.09946         2.423e-06 
