#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SADME.64b02e72-4243-475a-a0f7-8c6fa719a799_Trajectory.txt
# RunID         : sara
# ObjectID      : 64b02e72-4243-475a-a0f7-8c6fa719a799
# ObjectName    : SADME
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1727.100          92.776      3.905   -136.514            7.319        12480.373      4.019      0.000      0.000    0.17646   26.66246           -0.52612       80.03637         2.082e-06 
  1727.200          92.770      3.907   -136.508            7.319        12481.095      4.018      0.000      0.000    0.17627   26.66215           -0.52625       80.03686         2.084e-06 
  1727.650          92.740      3.912   -136.479            7.318        12484.341      4.012      0.000      0.000    0.17542   26.66071           -0.52686       80.03909         2.094e-06 
  1728.650          92.672      3.923   -136.415            7.317        12491.555      4.000      0.000      0.000    0.17347   26.65734           -0.52824       80.04404         2.118e-06 
  1729.650          92.605      3.934   -136.351            7.315        12498.767      3.986      0.000      0.000    0.17139   26.65359           -0.52965       80.04900         2.144e-06 
  1730.650          92.537      3.945   -136.287            7.313        12505.977      3.972      0.000      0.000    0.16934   26.64971           -0.53110       80.05398         2.170e-06 
  1731.650          92.469      3.957   -136.223            7.311        12513.185      3.958      0.000      0.000    0.16730   26.64571           -0.53258       80.05897         2.196e-06 
  1732.650          92.401      3.968   -136.160            7.309        12520.392      3.944      0.000      0.000    0.16529   26.64158           -0.53410       80.06398         2.223e-06 
  1733.650          92.333      3.979   -136.096            7.307        12527.597      3.930      0.000      0.000    0.16330   26.63730           -0.53566       80.06900         2.251e-06 
  1734.650          92.264      3.990   -136.032            7.306        12534.800      3.917      0.000      0.000    0.16132   26.63291           -0.53725       80.07403         2.278e-06 
  1735.650          92.196      4.002   -135.968            7.304        12542.002      3.903      0.000      0.000    0.15936   26.62840           -0.53888       80.07907         2.307e-06 
  1736.650          92.127      4.013   -135.904            7.302        12549.201      3.889      0.000      0.000    0.15743   26.62372           -0.54054       80.08413         2.335e-06 
  1737.650          92.058      4.024   -135.840            7.300        12556.399      3.875      0.000      0.000    0.15551   26.61893           -0.54225       80.08920         2.364e-06 
  1738.650          91.989      4.035   -135.776            7.298        12563.595      3.861      0.000      0.000    0.15361   26.61402           -0.54399       80.09428         2.394e-06 
  1739.650          91.919      4.046   -135.713            7.296        12570.789      3.847      0.000      0.000    0.15173   26.60894           -0.54577       80.09938         2.423e-06 
  1740.650          91.850      4.058   -135.649            7.294        12577.982      3.832      0.000      0.000    0.14986   26.60373           -0.54758       80.10449         2.454e-06 
  1741.650          91.780      4.069   -135.585            7.292        12585.172      3.818      0.000      0.000    0.14802   26.59840           -0.54944       80.10961         2.485e-06 
  1742.650          91.710      4.080   -135.521            7.290        12592.360      3.804      0.000      0.000    0.14619   26.59292           -0.55134       80.11475         2.516e-06 
  1743.650          91.640      4.091   -135.458            7.288        12599.547      3.790      0.000      0.000    0.14438   26.58728           -0.55327       80.11989         2.548e-06 
  1744.650          91.569      4.102   -135.394            7.286        12606.732      3.776      0.000      0.000    0.14258   26.58155           -0.55525       80.12506         2.580e-06 
  1745.650          91.498      4.113   -135.330            7.284        12613.914      3.762      0.000      0.000    0.14081   26.57573           -0.55726       80.13023         2.613e-06 
  1746.650          91.428      4.124   -135.266            7.282        12621.095      3.747      0.000      0.000    0.13905   26.56945           -0.55932       80.13542         2.646e-06 
  1747.650          91.356      4.136   -135.203            7.280        12628.274      3.733      0.000      0.000    0.13730   26.56320           -0.56141       80.14061         2.680e-06 
  1748.650          91.285      4.147   -135.139            7.278        12635.451      3.719      0.000      0.000    0.13558   26.55701           -0.56355       80.14583         2.714e-06 
  1749.650          91.213      4.158   -135.075            7.275        12642.625      3.704      0.000      0.000    0.13386   26.55050           -0.56573       80.15105         2.749e-06 
  1750.650          91.141      4.169   -135.012            7.273        12649.798      3.690      0.000      0.000    0.13217   26.54384           -0.56795       80.15629         2.784e-06 
  1751.650          91.069      4.180   -134.948            7.271        12656.969      3.676      0.000      0.000    0.13049   26.53704           -0.57022       80.16154         2.820e-06 
  1752.650          90.996      4.191   -134.884            7.269        12664.137      3.661      0.000      0.000    0.12882   26.53009           -0.57252       80.16680         2.857e-06 
  1753.650          90.924      4.202   -134.821            7.267        12671.304      3.647      0.000      0.000    0.12718   26.52300           -0.57487       80.17208         2.894e-06 
  1754.650          90.851      4.213   -134.757            7.264        12678.468      3.633      0.000      0.000    0.12554   26.51583           -0.57726       80.17736         2.932e-06 
  1755.650          90.777      4.224   -134.694            7.262        12685.630      3.618      0.000      0.000    0.12392   26.50857           -0.57970       80.18266         2.971e-06 
  1756.650          90.704      4.235   -134.630            7.260        12692.791      3.604      0.000      0.000    0.12232   26.50122           -0.58218       80.18798         3.010e-06 
  1757.650          90.630      4.246   -134.567            7.258        12699.949      3.589      0.000      0.000    0.12073   26.49378           -0.58471       80.19330         3.049e-06 
  1758.650          90.556      4.257   -134.503            7.255        12707.104      3.575      0.000      0.000    0.11915   26.48625           -0.58728       80.19864         3.090e-06 
  1759.650          90.481      4.268   -134.440            7.253        12714.258      3.560      0.000      0.000    0.11759   26.47863           -0.58989       80.20399         3.131e-06 
  1760.650          90.406      4.279   -134.376            7.251        12721.409      3.546      0.000      0.000    0.11605   26.47092           -0.59256       80.20935         3.173e-06 
  1761.650          90.331      4.290   -134.313            7.248        12728.558      3.531      0.000      0.000    0.11451   26.46319           -0.59527       80.21472         3.216e-06 
  1762.650          90.256      4.301   -134.249            7.246        12735.705      3.516      0.000      0.000    0.11299   26.45529           -0.59802       80.22011         3.259e-06 
  1763.650          90.180      4.312   -134.186            7.244        12742.850      3.502      0.000      0.000    0.11149   26.44721           -0.60082       80.22551         3.303e-06 
  1764.650          90.104      4.323   -134.123            7.241        12749.992      3.487      0.000      0.000    0.11000   26.43912           -0.60367       80.23092         3.348e-06 
  1765.650          90.027      4.334   -134.059            7.239        12757.132      3.473      0.000      0.000    0.10852   26.43092           -0.60657       80.23635         3.394e-06 
  1766.650          89.950      4.345   -133.996            7.236        12764.270      3.458      0.000      0.000    0.10705   26.42263           -0.60952       80.24178         3.441e-06 
  1767.650          89.873      4.356   -133.932            7.234        12771.405      3.443      0.000      0.000    0.10560   26.41423           -0.61251       80.24723         3.488e-06 
  1768.650          89.796      4.367   -133.869            7.231        12778.538      3.429      0.000      0.000    0.10416   26.40574           -0.61556       80.25269         3.537e-06 
  1769.650          89.718      4.378   -133.806            7.229        12785.668      3.414      0.000      0.000    0.10274   26.39713           -0.61865       80.25816         3.586e-06 
  1770.650          89.640      4.389   -133.743            7.226        12792.796      3.400      0.000      0.000    0.10133   26.38842           -0.62179       80.26365         3.636e-06 
  1771.650          89.561      4.400   -133.679            7.224        12799.922      3.385      0.000      0.000    0.09993   26.37961           -0.62499       80.26914         3.687e-06 
  1772.650          89.482      4.410   -133.616            7.221        12807.045      3.370      0.000      0.000    0.09854   26.37069           -0.62823       80.27465         3.739e-06 
  1773.650          89.403      4.421   -133.553            7.218        12814.165      3.356      0.000      0.000    0.09716   26.36166           -0.63153       80.28017         3.792e-06 
  1774.650          89.323      4.432   -133.490            7.216        12821.283      3.341      0.000      0.000    0.09580   26.35252           -0.63488       80.28570         3.846e-06 
  1775.650          89.243      4.443   -133.426            7.213        12828.399      3.326      0.000      0.000    0.09445   26.34327           -0.63829       80.29125         3.902e-06 
  1776.650          89.162      4.454   -133.363            7.210        12835.512      3.312      0.000      0.000    0.09311   26.33387           -0.64174       80.29681         3.958e-06 
  1777.650          89.081      4.465   -133.300            7.208        12842.622      3.297      0.000      0.000    0.09179   26.32432           -0.64525       80.30237         4.015e-06 
  1778.650          89.000      4.476   -133.237            7.205        12849.730      3.282      0.000      0.000    0.09047   26.31482           -0.64882       80.30795         4.074e-06 
  1779.650          88.918      4.486   -133.174            7.202        12856.835      3.268      0.000      0.000    0.08917   26.30512           -0.65243       80.31354         4.133e-06 
  1780.650          88.836      4.497   -133.111            7.199        12863.937      3.253      0.000      0.000    0.08788   26.29528           -0.65611       80.31915         4.194e-06 
  1781.650          88.753      4.508   -133.048            7.196        12871.037      3.239      0.000      0.000    0.08660   26.28533           -0.65984       80.32476         4.256e-06 
  1782.650          88.670      4.519   -132.985            7.193        12878.134      3.224      0.000      0.000    0.08534   26.27526           -0.66362       80.33039         4.319e-06 
  1783.650          88.587      4.529   -132.922            7.191        12885.228      3.209      0.000      0.000    0.08408   26.26507           -0.66747       80.33603         4.384e-06 
  1784.650          88.503      4.540   -132.859            7.188        12892.319      3.195      0.000      0.000    0.08284   26.25475           -0.67137       80.34168         4.450e-06 
  1785.650          88.418      4.551   -132.796            7.185        12899.408      3.180      0.000      0.000    0.08161   26.24430           -0.67533       80.34734         4.517e-06 
