#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SAR-Tx.2174174d-8633-470f-81db-77add3252e0f_Trajectory.txt
# RunID         : sara
# ObjectID      : 2174174d-8633-470f-81db-77add3252e0f
# ObjectName    : SAR-Tx
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1866.200          81.264      5.407   -127.642            7.175        13478.840      2.408      0.000      0.000    0.01758   25.56068           -0.83828       80.85496         1.510e-05 
  1866.300          81.254      5.408   -127.636            7.174        13479.549      2.407      0.000      0.000    0.01755   25.55490           -0.83871       80.85564         1.512e-05 
  1866.750          81.206      5.413   -127.607            7.167        13482.735      2.407      0.000      0.000    0.01743   25.52798           -0.84068       80.85868         1.522e-05 
  1867.750          81.101      5.423   -127.544            7.152        13489.805      2.405      0.000      0.000    0.01716   25.46594           -0.84526       80.86543         1.547e-05 
  1868.750          80.995      5.433   -127.482            7.137        13496.860      2.403      0.000      0.000    0.01688   25.39873           -0.85013       80.87218         1.573e-05 
  1869.750          80.889      5.443   -127.419            7.122        13503.900      2.402      0.000      0.000    0.01659   25.33092           -0.85530       80.87893         1.600e-05 
  1870.750          80.783      5.453   -127.356            7.107        13510.925      2.400      0.000      0.000    0.01631   25.26248           -0.86077       80.88568         1.627e-05 
  1871.750          80.676      5.463   -127.294            7.091        13517.936      2.399      0.000      0.000    0.01604   25.19341           -0.86655       80.89243         1.655e-05 
  1872.750          80.568      5.473   -127.232            7.075        13524.930      2.398      0.000      0.000    0.01577   25.12369           -0.87264       80.89918         1.683e-05 
  1873.750          80.460      5.483   -127.169            7.059        13531.910      2.397      0.000      0.000    0.01550   25.05332           -0.87904       80.90593         1.712e-05 
  1874.750          80.352      5.493   -127.107            7.043        13538.873      2.396      0.000      0.000    0.01524   24.98229           -0.88576       80.91268         1.742e-05 
  1875.750          80.243      5.503   -127.045            7.027        13545.820      2.395      0.000      0.000    0.01497   24.91057           -0.89281       80.91942         1.773e-05 
  1876.750          80.133      5.513   -126.984            7.010        13552.752      2.394      0.000      0.000    0.01472   24.83815           -0.90019       80.92617         1.804e-05 
  1877.750          80.022      5.523   -126.922            6.993        13559.667      2.393      0.000      0.000    0.01446   24.76502           -0.90790       80.93292         1.835e-05 
  1878.750          79.911      5.533   -126.861            6.976        13566.565      2.392      0.000      0.000    0.01421   24.69119           -0.91596       80.93966         1.868e-05 
  1879.750          79.799      5.542   -126.799            6.959        13573.447      2.391      0.000      0.000    0.01396   24.61662           -0.92435       80.94640         1.901e-05 
  1880.750          79.687      5.552   -126.738            6.942        13580.311      2.391      0.000      0.000    0.01372   24.54129           -0.93310       80.95314         1.935e-05 
  1881.750          79.573      5.562   -126.677            6.924        13587.159      2.390      0.000      0.000    0.01347   24.46521           -0.94220       80.95987         1.970e-05 
  1882.750          79.459      5.572   -126.616            6.906        13593.989      2.389      0.000      0.000    0.01324   24.38717           -0.95167       80.96661         2.006e-05 
  1883.750          79.344      5.581   -126.555            6.885        13600.799      2.389      0.000      0.000    0.01300   24.30223           -0.96153       80.97334         2.042e-05 
  1884.750          79.228      5.591   -126.495            6.862        13607.589      2.389      0.000      0.000    0.01276   24.20824           -0.97184       80.98006         2.080e-05 
  1885.750          79.111      5.601   -126.435            6.836        13614.354      2.388      0.000      0.000    0.01253   24.10292           -0.98265       80.98677         2.118e-05 
  1886.750          78.993      5.610   -126.375            6.806        13621.091      2.388      0.000      0.000    0.01230   23.98308           -0.99405       80.99346         2.157e-05 
  1887.750          78.875      5.620   -126.315            6.769        13627.796      2.388      0.000      0.000    0.01208   23.84397           -1.00614       81.00014         2.198e-05 
  1888.750          78.756      5.629   -126.255            6.725        13634.460      2.388      0.000      0.000    0.01186   23.67811           -1.01907       81.00680         2.239e-05 
  1889.750          78.636      5.638   -126.196            6.669        13641.076      2.387      0.000      0.000    0.01164   23.47267           -1.03305       81.01341         2.281e-05 
  1890.750          78.515      5.648   -126.138            6.594        13647.626      2.387      0.000      0.000    0.01142   23.20292           -1.04842       81.01998         2.324e-05 
  1891.750          78.395      5.657   -126.080            6.482        13654.085      2.387      0.000      0.000    0.01121   22.81095           -1.06580       81.02647         2.368e-05 
  1892.750          78.275      5.666   -126.024            6.271        13660.382      2.387      0.000      0.000    0.01100   22.09884           -1.08674       81.03279         2.413e-05 
  1893.126          78.232      5.669   -126.004            5.780        13662.616      2.387      0.000      0.000    0.01091   20.48234           -1.09765       81.03491         2.433e-05 
