#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SAsupp9.77d47b62-c869-4b6f-a4c0-5973fed2ce1b_Trajectory.txt
# RunID         : sara
# ObjectID      : 77d47b62-c869-4b6f-a4c0-5973fed2ce1b
# ObjectName    : SAsupp9
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1727.100          92.776      3.905   -136.514            7.319        12480.373      3.261      0.000      0.000    0.24993   26.66246           -0.52612       80.03637         2.082e-06 
  1727.200          92.770      3.907   -136.508            7.319        12481.095      3.260      0.000      0.000    0.24966   26.66173           -0.52625       80.03686         2.084e-06 
  1727.650          92.740      3.912   -136.479            7.318        12484.341      3.257      0.000      0.000    0.24845   26.65834           -0.52687       80.03909         2.094e-06 
  1728.650          92.672      3.923   -136.415            7.314        12491.553      3.248      0.000      0.000    0.24569   26.65046           -0.52827       80.04404         2.118e-06 
  1729.650          92.605      3.934   -136.351            7.311        12498.762      3.238      0.000      0.000    0.24275   26.64184           -0.52974       80.04900         2.144e-06 
  1730.650          92.537      3.945   -136.287            7.308        12505.969      3.228      0.000      0.000    0.23984   26.63303           -0.53127       80.05397         2.170e-06 
  1731.650          92.469      3.957   -136.224            7.305        12513.172      3.219      0.000      0.000    0.23696   26.62407           -0.53285       80.05896         2.196e-06 
  1732.650          92.401      3.968   -136.160            7.302        12520.372      3.209      0.000      0.000    0.23411   26.61493           -0.53450       80.06396         2.223e-06 
  1733.650          92.333      3.979   -136.096            7.299        12527.569      3.199      0.000      0.000    0.23128   26.60561           -0.53622       80.06897         2.251e-06 
  1734.650          92.264      3.990   -136.032            7.295        12534.762      3.189      0.000      0.000    0.22849   26.59613           -0.53799       80.07399         2.278e-06 
  1735.650          92.196      4.002   -135.968            7.292        12541.953      3.179      0.000      0.000    0.22572   26.58648           -0.53983       80.07903         2.307e-06 
  1736.650          92.127      4.013   -135.905            7.289        12549.140      3.169      0.000      0.000    0.22297   26.57662           -0.54174       80.08408         2.335e-06 
  1737.650          92.058      4.024   -135.841            7.285        12556.325      3.159      0.000      0.000    0.22025   26.56661           -0.54371       80.08914         2.364e-06 
  1738.650          91.989      4.035   -135.777            7.282        12563.506      3.149      0.000      0.000    0.21756   26.55643           -0.54574       80.09421         2.394e-06 
  1739.650          91.919      4.046   -135.714            7.278        12570.683      3.139      0.000      0.000    0.21489   26.54604           -0.54784       80.09929         2.423e-06 
  1740.650          91.850      4.057   -135.650            7.275        12577.858      3.129      0.000      0.000    0.21225   26.53549           -0.55001       80.10439         2.454e-06 
  1741.650          91.780      4.069   -135.586            7.272        12585.029      3.119      0.000      0.000    0.20963   26.52476           -0.55225       80.10949         2.485e-06 
  1742.650          91.709      4.080   -135.523            7.268        12592.196      3.108      0.000      0.000    0.20703   26.51383           -0.55455       80.11461         2.516e-06 
  1743.650          91.639      4.091   -135.459            7.264        12599.360      3.098      0.000      0.000    0.20446   26.50271           -0.55692       80.11974         2.548e-06 
  1744.650          91.568      4.102   -135.396            7.261        12606.521      3.087      0.000      0.000    0.20191   26.49145           -0.55936       80.12489         2.580e-06 
  1745.650          91.497      4.113   -135.332            7.257        12613.679      3.077      0.000      0.000    0.19939   26.48006           -0.56187       80.13004         2.613e-06 
  1746.650          91.426      4.124   -135.269            7.254        12620.832      3.066      0.000      0.000    0.19688   26.46814           -0.56445       80.13521         2.647e-06 
  1747.650          91.354      4.135   -135.205            7.250        12627.983      3.056      0.000      0.000    0.19440   26.45622           -0.56710       80.14039         2.681e-06 
  1748.650          91.282      4.146   -135.142            7.246        12635.130      3.045      0.000      0.000    0.19194   26.44432           -0.56982       80.14557         2.715e-06 
  1749.650          91.210      4.157   -135.078            7.243        12642.273      3.034      0.000      0.000    0.18950   26.43205           -0.57262       80.15078         2.750e-06 
  1750.650          91.138      4.168   -135.015            7.239        12649.413      3.024      0.000      0.000    0.18708   26.41957           -0.57549       80.15599         2.786e-06 
  1751.650          91.065      4.179   -134.952            7.235        12656.549      3.013      0.000      0.000    0.18468   26.40691           -0.57843       80.16121         2.822e-06 
  1752.650          90.991      4.190   -134.889            7.231        12663.681      3.002      0.000      0.000    0.18230   26.39405           -0.58144       80.16645         2.859e-06 
  1753.650          90.918      4.201   -134.825            7.227        12670.810      2.991      0.000      0.000    0.17994   26.38100           -0.58453       80.17169         2.897e-06 
  1754.650          90.844      4.212   -134.762            7.224        12677.935      2.980      0.000      0.000    0.17760   26.36782           -0.58770       80.17695         2.935e-06 
  1755.650          90.770      4.223   -134.699            7.220        12685.056      2.969      0.000      0.000    0.17528   26.35451           -0.59094       80.18222         2.974e-06 
  1756.650          90.695      4.234   -134.636            7.216        12692.173      2.958      0.000      0.000    0.17298   26.34105           -0.59426       80.18750         3.014e-06 
  1757.650          90.620      4.245   -134.573            7.212        12699.287      2.946      0.000      0.000    0.17070   26.32746           -0.59765       80.19279         3.055e-06 
  1758.650          90.545      4.256   -134.509            7.208        12706.396      2.935      0.000      0.000    0.16844   26.31372           -0.60113       80.19809         3.096e-06 
  1759.650          90.469      4.267   -134.446            7.204        12713.502      2.924      0.000      0.000    0.16619   26.29984           -0.60468       80.20341         3.138e-06 
