#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.STD1.53b0fa25-337a-4801-adfb-b655009abdda_Trajectory.txt
# RunID         : sara
# ObjectID      : 53b0fa25-337a-4801-adfb-b655009abdda
# ObjectName    : STD1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1727.100          92.776      3.905   -136.514            7.319        12480.373      1.736      0.000      0.000    0.11078   26.66246           -0.52612       80.03637         2.082e-06 
  1727.200          92.770      3.907   -136.508            7.319        12481.095      1.736      0.000      0.000    0.11066   26.66128           -0.52625       80.03686         2.084e-06 
  1727.650          92.740      3.912   -136.479            7.317        12484.341      1.733      0.000      0.000    0.11012   26.65579           -0.52687       80.03908         2.094e-06 
  1728.650          92.672      3.923   -136.415            7.312        12491.552      1.727      0.000      0.000    0.10890   26.64310           -0.52831       80.04403         2.118e-06 
  1729.650          92.605      3.934   -136.351            7.308        12498.758      1.721      0.000      0.000    0.10760   26.62928           -0.52983       80.04899         2.144e-06 
  1730.650          92.537      3.945   -136.288            7.303        12505.960      1.714      0.000      0.000    0.10631   26.61525           -0.53144       80.05396         2.170e-06 
  1731.650          92.469      3.957   -136.224            7.298        12513.157      1.708      0.000      0.000    0.10503   26.60104           -0.53314       80.05894         2.196e-06 
  1732.650          92.401      3.968   -136.160            7.294        12520.350      1.701      0.000      0.000    0.10377   26.58664           -0.53493       80.06394         2.223e-06 
  1733.650          92.333      3.979   -136.096            7.289        12527.538      1.695      0.000      0.000    0.10252   26.57202           -0.53682       80.06894         2.251e-06 
  1734.650          92.265      3.990   -136.033            7.284        12534.722      1.689      0.000      0.000    0.10128   26.55722           -0.53879       80.07396         2.278e-06 
  1735.650          92.196      4.001   -135.969            7.280        12541.901      1.682      0.000      0.000    0.10005   26.54223           -0.54085       80.07898         2.307e-06 
  1736.650          92.127      4.013   -135.905            7.275        12549.076      1.676      0.000      0.000    0.09883   26.52700           -0.54301       80.08402         2.335e-06 
  1737.650          92.058      4.024   -135.842            7.270        12556.246      1.669      0.000      0.000    0.09763   26.51159           -0.54526       80.08907         2.364e-06 
  1738.650          91.989      4.035   -135.778            7.265        12563.411      1.663      0.000      0.000    0.09643   26.49599           -0.54760       80.09413         2.394e-06 
  1739.650          91.919      4.046   -135.715            7.260        12570.571      1.657      0.000      0.000    0.09525   26.48015           -0.55004       80.09920         2.424e-06 
  1740.650          91.849      4.057   -135.651            7.255        12577.727      1.650      0.000      0.000    0.09408   26.46412           -0.55258       80.10428         2.454e-06 
  1741.650          91.779      4.068   -135.588            7.250        12584.878      1.644      0.000      0.000    0.09291   26.44789           -0.55521       80.10937         2.485e-06 
  1742.650          91.709      4.079   -135.524            7.245        12592.023      1.638      0.000      0.000    0.09176   26.43143           -0.55794       80.11447         2.516e-06 
  1743.650          91.638      4.090   -135.461            7.240        12599.164      1.631      0.000      0.000    0.09061   26.41475           -0.56076       80.11959         2.548e-06 
  1744.650          91.567      4.102   -135.398            7.235        12606.300      1.625      0.000      0.000    0.08948   26.39789           -0.56369       80.12471         2.581e-06 
  1745.650          91.496      4.113   -135.334            7.230        12613.432      1.619      0.000      0.000    0.08836   26.38088           -0.56671       80.12985         2.614e-06 
  1746.650          91.424      4.124   -135.271            7.225        12620.558      1.613      0.000      0.000    0.08724   26.36331           -0.56984       80.13499         2.647e-06 
  1747.650          91.352      4.135   -135.208            7.220        12627.679      1.606      0.000      0.000    0.08613   26.34573           -0.57307       80.14015         2.682e-06 
