#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SheWallY2.7059b08a-c312-4b65-94ec-4f9a27039aff_Trajectory.txt
# RunID         : sara
# ObjectID      : 7059b08a-c312-4b65-94ec-4f9a27039aff
# ObjectName    : SheWallY2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1866.200          81.264      5.407   -127.642            7.175        13478.840      6.090      0.000      0.000    0.00529   25.56068           -0.83828       80.85496         1.510e-05 
  1866.300          81.254      5.408   -127.636            7.172        13479.548      6.090      0.000      0.000    0.00529   25.54925           -0.83871       80.85564         1.512e-05 
  1866.750          81.207      5.413   -127.607            7.157        13482.732      6.090      0.000      0.000    0.00525   25.49610           -0.84073       80.85867         1.522e-05 
  1867.750          81.101      5.423   -127.545            7.124        13489.783      6.090      0.000      0.000    0.00517   25.37382           -0.84569       80.86540         1.546e-05 
  1868.750          80.996      5.433   -127.482            7.091        13496.801      6.090      0.000      0.000    0.00508   25.24178           -0.85130       80.87211         1.573e-05 
  1869.750          80.891      5.443   -127.420            7.057        13503.787      6.090      0.000      0.000    0.00500   25.10899           -0.85757       80.87881         1.599e-05 
  1870.750          80.785      5.453   -127.358            7.023        13510.739      6.090      0.000      0.000    0.00491   24.97546           -0.86451       80.88549         1.626e-05 
  1871.750          80.679      5.463   -127.296            6.989        13517.658      6.090      0.000      0.000    0.00483   24.84117           -0.87212       80.89216         1.654e-05 
  1872.750          80.572      5.473   -127.235            6.955        13524.543      6.090      0.000      0.000    0.00475   24.70612           -0.88043       80.89881         1.682e-05 
  1873.750          80.465      5.482   -127.174            6.921        13531.395      6.090      0.000      0.000    0.00467   24.57031           -0.88942       80.90544         1.711e-05 
  1874.750          80.357      5.492   -127.113            6.886        13538.212      6.090      0.000      0.000    0.00459   24.43374           -0.89912       80.91206         1.741e-05 
  1875.750          80.249      5.502   -127.053            6.851        13544.995      6.090      0.000      0.000    0.00451   24.29639           -0.90953       80.91866         1.771e-05 
  1876.750          80.140      5.512   -126.993            6.816        13551.743      6.090      0.000      0.000    0.00444   24.15826           -0.92067       80.92525         1.802e-05 
  1877.750          80.030      5.521   -126.933            6.780        13558.457      6.090      0.000      0.000    0.00436   24.01932           -0.93253       80.93181         1.833e-05 
  1878.750          79.919      5.531   -126.873            6.741        13565.134      6.090      0.000      0.000    0.00429   23.87092           -0.94517       80.93836         1.865e-05 
  1879.750          79.807      5.540   -126.814            6.697        13571.770      6.090      0.000      0.000    0.00421   23.70318           -0.95867       80.94488         1.899e-05 
  1880.750          79.695      5.549   -126.755            6.645        13578.359      6.090      0.000      0.000    0.00414   23.50945           -0.97319       80.95137         1.932e-05 
  1881.750          79.582      5.559   -126.697            6.583        13584.891      6.090      0.000      0.000    0.00406   23.28075           -0.98892       80.95782         1.967e-05 
  1882.750          79.468      5.568   -126.640            6.506        13591.355      6.090      0.000      0.000    0.00399   23.00261           -1.00615       80.96421         2.003e-05 
  1883.750          79.353      5.577   -126.583            6.407        13597.732      6.090      0.000      0.000    0.00392   22.64969           -1.02530       80.97054         2.039e-05 
  1884.750          79.239      5.586   -126.527            6.271        13603.992      6.090      0.000      0.000    0.00385   22.17147           -1.04708       80.97676         2.076e-05 
  1885.750          79.125      5.594   -126.473            6.059        13610.080      6.090      0.000      0.000    0.00378   21.44362           -1.07285       80.98283         2.113e-05 
  1886.750          79.014      5.603   -126.421            5.627        13615.846      6.090      0.000      0.000    0.00372   20.00007           -1.10647       80.98854         2.151e-05 
  1886.790          79.010      5.603   -126.419            5.161        13616.059      6.090      0.000      0.000    0.00371   18.36946           -1.10825       80.98858         2.156e-05 
  1886.796          79.009      5.603   -126.419            4.648        13616.088      6.090      0.000      0.000    0.00371   16.57807           -1.10855       80.98836         2.157e-05 
  1886.798          79.009      5.603   -126.419            4.030        13616.097      6.090      0.000      0.000    0.00371   14.43475           -1.10862       80.98800         2.157e-05 
  1886.799          79.009      5.603   -126.419            3.619        13616.099      6.090      0.000      0.000    0.00371   12.91166           -1.10860       80.98768         2.157e-05 
  1886.799          79.009      5.603   -126.419            3.254        13616.101      6.090      0.000      0.000    0.00371   11.60874           -1.10857       80.98733         2.157e-05 
  1886.800          79.009      5.603   -126.419            2.865        13616.102      6.090      0.000      0.000    0.00371   10.24504           -1.10854       80.98686         2.157e-05 
