#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SheWallZ2.96825daa-1189-41a4-8029-c7f260f99328_Trajectory.txt
# RunID         : sara
# ObjectID      : 96825daa-1189-41a4-8029-c7f260f99328
# ObjectName    : SheWallZ2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1866.200          81.264      5.407   -127.642            7.175        13478.840      2.911      0.000      0.000    0.00555   25.56068           -0.83828       80.85496         1.510e-05 
  1866.300          81.254      5.408   -127.636            7.172        13479.548      2.911      0.000      0.000    0.00554   25.54970           -0.83871       80.85564         1.512e-05 
  1866.750          81.207      5.413   -127.607            7.158        13482.732      2.911      0.000      0.000    0.00550   25.49865           -0.84073       80.85867         1.522e-05 
  1867.750          81.101      5.423   -127.545            7.126        13489.785      2.911      0.000      0.000    0.00541   25.38118           -0.84566       80.86540         1.546e-05 
  1868.750          80.996      5.433   -127.482            7.094        13496.806      2.911      0.000      0.000    0.00532   25.25430           -0.85121       80.87211         1.573e-05 
  1869.750          80.891      5.443   -127.420            7.062        13503.796      2.911      0.000      0.000    0.00524   25.12664           -0.85739       80.87882         1.599e-05 
  1870.750          80.785      5.453   -127.358            7.030        13510.754      2.911      0.000      0.000    0.00515   24.99822           -0.86421       80.88550         1.626e-05 
  1871.750          80.679      5.463   -127.296            6.997        13517.680      2.911      0.000      0.000    0.00506   24.86903           -0.87168       80.89218         1.654e-05 
  1872.750          80.572      5.473   -127.235            6.965        13524.574      2.911      0.000      0.000    0.00498   24.73906           -0.87980       80.89884         1.682e-05 
  1873.750          80.465      5.483   -127.174            6.931        13531.436      2.911      0.000      0.000    0.00489   24.60831           -0.88859       80.90548         1.711e-05 
  1874.750          80.357      5.492   -127.113            6.898        13538.264      2.911      0.000      0.000    0.00481   24.47676           -0.89806       80.91211         1.741e-05 
  1875.750          80.248      5.502   -127.052            6.860        13545.058      2.911      0.000      0.000    0.00473   24.32917           -0.90825       80.91872         1.771e-05 
  1876.750          80.139      5.512   -126.992            6.812        13551.808      2.911      0.000      0.000    0.00465   24.14963           -0.91934       80.92530         1.802e-05 
  1877.750          80.030      5.521   -126.932            6.748        13558.504      2.911      0.000      0.000    0.00457   23.91874           -0.93158       80.93184         1.833e-05 
  1878.750          79.920      5.531   -126.873            6.657        13565.124      2.911      0.000      0.000    0.00449   23.59528           -0.94544       80.93832         1.865e-05 
  1879.750          79.811      5.540   -126.815            6.500        13571.621      2.911      0.000      0.000    0.00441   23.05591           -0.96195       80.94469         1.898e-05 
  1880.750          79.705      5.549   -126.760            6.009        13577.792      2.911      0.000      0.000    0.00434   21.44221           -0.98582       80.95069         1.930e-05 
