#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.ADCS-RPU.6be146fd-6b3d-48d2-8140-ddc02a7b864d_Trajectory.txt
# RunID         : sara
# ObjectID      : 6be146fd-6b3d-48d2-8140-ddc02a7b864d
# ObjectName    : ADCS-RPU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1490.200          89.348      6.478    -93.888            7.245        10755.110      2.505      0.000      0.000    0.16291   26.45709           -0.74991       81.74742         3.836e-06 
  1490.300          89.338      6.479    -93.881            7.244        10755.825      2.504      0.000      0.000    0.16268   26.45609           -0.75019       81.74824         3.842e-06 
  1490.750          89.295      6.483    -93.853            7.243        10759.039      2.499      0.000      0.000    0.16157   26.45142           -0.75147       81.75191         3.869e-06 
  1491.750          89.200      6.493    -93.789            7.239        10766.181      2.487      0.000      0.000    0.15905   26.44061           -0.75436       81.76008         3.930e-06 
  1492.750          89.105      6.502    -93.725            7.236        10773.319      2.475      0.000      0.000    0.15638   26.42875           -0.75732       81.76826         3.997e-06 
  1493.750          89.009      6.511    -93.661            7.233        10780.453      2.463      0.000      0.000    0.15375   26.41687           -0.76034       81.77645         4.066e-06 
  1494.750          88.913      6.520    -93.597            7.229        10787.585      2.450      0.000      0.000    0.15115   26.40478           -0.76343       81.78465         4.136e-06 
  1495.750          88.816      6.530    -93.533            7.226        10794.713      2.438      0.000      0.000    0.14859   26.39248           -0.76659       81.79286         4.207e-06 
  1496.750          88.719      6.539    -93.470            7.222        10801.838      2.425      0.000      0.000    0.14606   26.38001           -0.76981       81.80107         4.280e-06 
  1497.750          88.622      6.548    -93.406            7.219        10808.959      2.413      0.000      0.000    0.14356   26.36736           -0.77311       81.80929         4.355e-06 
  1498.750          88.525      6.557    -93.342            7.215        10816.077      2.400      0.000      0.000    0.14110   26.35452           -0.77648       81.81752         4.431e-06 
  1499.750          88.427      6.566    -93.279            7.211        10823.191      2.388      0.000      0.000    0.13867   26.34151           -0.77992       81.82576         4.509e-06 
  1500.750          88.328      6.575    -93.215            7.208        10830.302      2.375      0.000      0.000    0.13627   26.32831           -0.78343       81.83401         4.589e-06 
  1501.750          88.230      6.585    -93.151            7.204        10837.409      2.363      0.000      0.000    0.13391   26.31492           -0.78702       81.84226         4.670e-06 
  1502.750          88.130      6.594    -93.088            7.200        10844.513      2.350      0.000      0.000    0.13157   26.30135           -0.79068       81.85053         4.753e-06 
  1503.750          88.031      6.603    -93.024            7.196        10851.613      2.337      0.000      0.000    0.12927   26.28758           -0.79442       81.85880         4.838e-06 
  1504.750          87.931      6.612    -92.961            7.192        10858.709      2.325      0.000      0.000    0.12699   26.27363           -0.79823       81.86708         4.925e-06 
  1505.750          87.830      6.621    -92.897            7.188        10865.802      2.312      0.000      0.000    0.12475   26.25948           -0.80212       81.87536         5.013e-06 
  1506.750          87.730      6.630    -92.834            7.184        10872.890      2.299      0.000      0.000    0.12254   26.24514           -0.80609       81.88366         5.104e-06 
  1507.750          87.628      6.639    -92.770            7.180        10879.975      2.287      0.000      0.000    0.12036   26.23060           -0.81014       81.89196         5.197e-06 
  1508.750          87.527      6.648    -92.707            7.176        10887.056      2.274      0.000      0.000    0.11820   26.21587           -0.81427       81.90027         5.291e-06 
  1509.750          87.424      6.657    -92.644            7.172        10894.133      2.261      0.000      0.000    0.11608   26.20093           -0.81848       81.90859         5.388e-06 
  1510.750          87.322      6.666    -92.580            7.168        10901.206      2.249      0.000      0.000    0.11398   26.18580           -0.82277       81.91691         5.488e-06 
  1511.750          87.218      6.675    -92.517            7.164        10908.275      2.236      0.000      0.000    0.11191   26.17046           -0.82714       81.92524         5.589e-06 
  1512.750          87.115      6.684    -92.454            7.160        10915.340      2.223      0.000      0.000    0.10987   26.15492           -0.83160       81.93358         5.693e-06 
  1513.750          87.011      6.693    -92.390            7.155        10922.401      2.210      0.000      0.000    0.10786   26.13917           -0.83614       81.94193         5.799e-06 
