#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.BEG3.ff0691b0-9eec-427c-aca7-0945f2dbf535_Trajectory.txt
# RunID         : sara
# ObjectID      : ff0691b0-9eec-427c-aca7-0945f2dbf535
# ObjectName    : BEG3
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1383.100          97.926      5.431   -100.749            7.302         9986.510      5.681      0.000      0.000    1.18039   26.15664           -0.53107       80.94011         8.178e-07 
  1383.200          97.919      5.432   -100.743            7.302         9987.229      5.681      0.000      0.000    1.17913   26.15710           -0.53123       80.94080         8.187e-07 
  1383.650          97.888      5.437   -100.714            7.301         9990.466      5.681      0.000      0.000    1.17330   26.15919           -0.53195       80.94389         8.228e-07 
  1384.650          97.820      5.447   -100.650            7.300         9997.657      5.681      0.000      0.000    1.16000   26.16389           -0.53358       80.95078         8.323e-07 
  1385.650          97.752      5.457   -100.586            7.299        10004.847      5.681      0.000      0.000    1.14585   26.16884           -0.53522       80.95767         8.428e-07 
  1386.650          97.684      5.467   -100.522            7.298        10012.036      5.681      0.000      0.000    1.13183   26.17371           -0.53688       80.96457         8.534e-07 
  1387.650          97.616      5.478   -100.458            7.297        10019.225      5.681      0.000      0.000    1.11793   26.17844           -0.53857       80.97149         8.641e-07 
  1388.650          97.547      5.488   -100.394            7.296        10026.412      5.680      0.000      0.000    1.10416   26.18337           -0.54028       80.97842         8.750e-07 
  1389.650          97.478      5.498   -100.330            7.295        10033.599      5.680      0.000      0.000    1.09052   26.18819           -0.54200       80.98537         8.862e-07 
  1390.650          97.409      5.508   -100.266            7.294        10040.784      5.680      0.000      0.000    1.07700   26.19213           -0.54375       80.99232         8.974e-07 
  1391.650          97.340      5.518   -100.202            7.293        10047.968      5.680      0.000      0.000    1.06362   26.19630           -0.54553       80.99929         9.088e-07 
  1392.650          97.270      5.528   -100.138            7.292        10055.152      5.680      0.000      0.000    1.05035   26.20050           -0.54732       81.00627         9.204e-07 
  1393.650          97.200      5.539   -100.074            7.291        10062.334      5.680      0.000      0.000    1.03721   26.20457           -0.54914       81.01326         9.323e-07 
  1394.650          97.130      5.549   -100.010            7.289        10069.515      5.680      0.000      0.000    1.02420   26.20833           -0.55098       81.02026         9.442e-07 
  1395.650          97.060      5.559    -99.946            7.288        10076.695      5.680      0.000      0.000    1.01131   26.21215           -0.55284       81.02728         9.564e-07 
  1396.650          96.990      5.569    -99.882            7.287        10083.875      5.680      0.000      0.000    0.99854   26.21610           -0.55473       81.03430         9.688e-07 
  1397.650          96.919      5.579    -99.818            7.286        10091.052      5.680      0.000      0.000    0.98589   26.21968           -0.55664       81.04134         9.814e-07 
  1398.650          96.848      5.589    -99.754            7.285        10098.229      5.680      0.000      0.000    0.97337   26.22316           -0.55858       81.04840         9.942e-07 
  1399.650          96.777      5.599    -99.690            7.283        10105.405      5.679      0.000      0.000    0.96096   26.22653           -0.56054       81.05546         1.007e-06 
  1400.650          96.706      5.609    -99.626            7.282        10112.579      5.679      0.000      0.000    0.94868   26.22977           -0.56252       81.06253         1.020e-06 
  1401.650          96.634      5.619    -99.562            7.281        10119.753      5.678      0.000      0.000    0.93651   26.23287           -0.56454       81.06962         1.034e-06 
  1402.650          96.562      5.630    -99.498            7.280        10126.925      5.677      0.000      0.000    0.92447   26.23587           -0.56657       81.07672         1.047e-06 
  1403.650          96.490      5.640    -99.434            7.278        10134.096      5.676      0.000      0.000    0.91254   26.23875           -0.56863       81.08383         1.061e-06 
  1404.650          96.418      5.650    -99.370            7.277        10141.265      5.674      0.000      0.000    0.90073   26.24146           -0.57072       81.09096         1.075e-06 
  1405.650          96.345      5.660    -99.306            7.276        10148.434      5.673      0.000      0.000    0.88903   26.24407           -0.57284       81.09809         1.090e-06 
  1406.650          96.272      5.670    -99.242            7.274        10155.601      5.671      0.000      0.000    0.87745   26.24655           -0.57498       81.10524         1.104e-06 
  1407.650          96.199      5.680    -99.178            7.273        10162.767      5.669      0.000      0.000    0.86599   26.24891           -0.57715       81.11240         1.119e-06 
  1408.650          96.126      5.690    -99.114            7.271        10169.932      5.667      0.000      0.000    0.85463   26.25111           -0.57934       81.11957         1.134e-06 
  1409.650          96.052      5.700    -99.051            7.270        10177.095      5.664      0.000      0.000    0.84339   26.25319           -0.58157       81.12675         1.149e-06 
  1410.650          95.978      5.710    -98.987            7.269        10184.257      5.662      0.000      0.000    0.83227   26.25514           -0.58382       81.13394         1.165e-06 
  1411.650          95.904      5.720    -98.923            7.267        10191.417      5.659      0.000      0.000    0.82125   26.25695           -0.58611       81.14115         1.181e-06 
  1412.650          95.829      5.730    -98.859            7.266        10198.577      5.656      0.000      0.000    0.81034   26.25861           -0.58842       81.14836         1.197e-06 
  1413.650          95.755      5.740    -98.795            7.264        10205.734      5.653      0.000      0.000    0.79954   26.26014           -0.59076       81.15559         1.213e-06 
  1414.650          95.680      5.750    -98.731            7.263        10212.891      5.649      0.000      0.000    0.78884   26.26155           -0.59313       81.16283         1.230e-06 
  1415.650          95.604      5.759    -98.667            7.261        10220.046      5.646      0.000      0.000    0.77826   26.26279           -0.59553       81.17008         1.247e-06 
  1416.650          95.529      5.769    -98.604            7.259        10227.199      5.642      0.000      0.000    0.76777   26.26389           -0.59796       81.17734         1.264e-06 
  1417.650          95.453      5.779    -98.540            7.258        10234.352      5.638      0.000      0.000    0.75739   26.26485           -0.60042       81.18462         1.281e-06 
  1418.650          95.377      5.789    -98.476            7.256        10241.502      5.634      0.000      0.000    0.74711   26.26567           -0.60292       81.19190         1.299e-06 
  1419.650          95.300      5.799    -98.412            7.255        10248.651      5.629      0.000      0.000    0.73693   26.26633           -0.60544       81.19920         1.317e-06 
  1420.650          95.223      5.809    -98.349            7.253        10255.799      5.625      0.000      0.000    0.72685   26.26684           -0.60800       81.20651         1.336e-06 
  1421.650          95.146      5.819    -98.285            7.251        10262.945      5.620      0.000      0.000    0.71687   26.26720           -0.61059       81.21383         1.355e-06 
  1422.650          95.069      5.829    -98.221            7.250        10270.089      5.615      0.000      0.000    0.70698   26.26741           -0.61322       81.22116         1.374e-06 
  1423.650          94.991      5.839    -98.157            7.248        10277.232      5.609      0.000      0.000    0.69718   26.26748           -0.61588       81.22850         1.393e-06 
  1424.650          94.913      5.848    -98.094            7.246        10284.373      5.604      0.000      0.000    0.68748   26.26736           -0.61857       81.23585         1.413e-06 
  1425.650          94.834      5.858    -98.030            7.244        10291.513      5.598      0.000      0.000    0.67786   26.26709           -0.62130       81.24322         1.433e-06 
  1426.650          94.756      5.868    -97.966            7.243        10298.651      5.592      0.000      0.000    0.66835   26.26666           -0.62406       81.25059         1.454e-06 
  1427.650          94.677      5.878    -97.902            7.241        10305.787      5.586      0.000      0.000    0.65893   26.26608           -0.62686       81.25798         1.475e-06 
  1428.650          94.597      5.888    -97.839            7.239        10312.922      5.579      0.000      0.000    0.64961   26.26533           -0.62969       81.26537         1.496e-06 
  1429.650          94.518      5.897    -97.775            7.237        10320.055      5.573      0.000      0.000    0.64039   26.26439           -0.63256       81.27278         1.518e-06 
  1430.650          94.437      5.907    -97.711            7.235        10327.186      5.566      0.000      0.000    0.63126   26.26330           -0.63547       81.28020         1.540e-06 
  1431.650          94.357      5.917    -97.648            7.233        10334.315      5.559      0.000      0.000    0.62222   26.26203           -0.63841       81.28763         1.563e-06 
  1432.650          94.276      5.927    -97.584            7.232        10341.442      5.551      0.000      0.000    0.61328   26.26060           -0.64140       81.29507         1.586e-06 
