#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Battery5-Internal.20af93ad-5ebd-46c6-a4f2-3685f2c0e808_Trajectory.txt
# RunID         : sara
# ObjectID      : 20af93ad-5ebd-46c6-a4f2-3685f2c0e808
# ObjectName    : Battery5-Internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1507.650          87.610      6.638    -92.775            7.221        10879.393      1.878      0.000      0.000    0.11046   26.37884           -0.80719       81.89136         5.225e-06 
  1507.750          87.600      6.639    -92.769            7.221        10880.105      1.878      0.000      0.000    0.11029   26.37839           -0.80752       81.89219         5.234e-06 
  1508.200          87.554      6.643    -92.740            7.221        10883.311      1.873      0.000      0.000    0.10948   26.37628           -0.80900       81.89595         5.272e-06 
  1509.200          87.452      6.652    -92.677            7.219        10890.433      1.863      0.000      0.000    0.10765   26.37139           -0.81232       81.90431         5.362e-06 
  1510.200          87.349      6.661    -92.613            7.218        10897.554      1.853      0.000      0.000    0.10571   26.36604           -0.81566       81.91269         5.461e-06 
  1511.200          87.246      6.670    -92.549            7.216        10904.673      1.842      0.000      0.000    0.10379   26.36060           -0.81904       81.92107         5.562e-06 
  1512.200          87.143      6.679    -92.485            7.215        10911.791      1.832      0.000      0.000    0.10191   26.35507           -0.82245       81.92946         5.665e-06 
  1513.200          87.039      6.689    -92.422            7.213        10918.908      1.822      0.000      0.000    0.10005   26.34944           -0.82589       81.93787         5.770e-06 
  1514.200          86.935      6.698    -92.358            7.212        10926.023      1.811      0.000      0.000    0.09822   26.34371           -0.82936       81.94628         5.878e-06 
  1515.200          86.830      6.707    -92.294            7.210        10933.137      1.801      0.000      0.000    0.09641   26.33789           -0.83286       81.95471         5.988e-06 
  1516.200          86.725      6.716    -92.231            7.209        10940.249      1.790      0.000      0.000    0.09463   26.33198           -0.83640       81.96314         6.101e-06 
  1517.200          86.620      6.725    -92.167            7.207        10947.360      1.780      0.000      0.000    0.09287   26.32597           -0.83996       81.97158         6.216e-06 
  1518.200          86.514      6.733    -92.103            7.205        10954.470      1.770      0.000      0.000    0.09114   26.31986           -0.84356       81.98004         6.334e-06 
  1519.200          86.408      6.742    -92.040            7.204        10961.578      1.759      0.000      0.000    0.08944   26.31366           -0.84719       81.98850         6.455e-06 
  1520.200          86.301      6.751    -91.976            7.202        10968.684      1.749      0.000      0.000    0.08776   26.30737           -0.85086       81.99698         6.579e-06 
  1521.200          86.194      6.760    -91.912            7.200        10975.789      1.739      0.000      0.000    0.08610   26.30099           -0.85456       82.00546         6.706e-06 
  1522.200          86.086      6.769    -91.849            7.198        10982.892      1.729      0.000      0.000    0.08447   26.29451           -0.85830       82.01395         6.836e-06 
  1523.200          85.978      6.778    -91.785            7.197        10989.993      1.719      0.000      0.000    0.08286   26.28679           -0.86207       82.02246         6.968e-06 
  1524.200          85.870      6.787    -91.721            7.195        10997.093      1.709      0.000      0.000    0.08138   26.26500           -0.86587       82.03097         7.095e-06 
  1525.200          85.761      6.796    -91.658            7.193        11004.192      1.700      0.000      0.000    0.07992   26.24312           -0.86972       82.03949         7.225e-06 
  1526.200          85.651      6.805    -91.594            7.191        11011.288      1.691      0.000      0.000    0.07847   26.22112           -0.87360       82.04803         7.359e-06 
  1527.200          85.542      6.814    -91.531            7.189        11018.383      1.681      0.000      0.000    0.07705   26.19901           -0.87751       82.05657         7.495e-06 
  1528.200          85.431      6.823    -91.467            7.188        11025.476      1.672      0.000      0.000    0.07564   26.17674           -0.88147       82.06512         7.634e-06 
  1529.200          85.320      6.831    -91.404            7.186        11032.568      1.663      0.000      0.000    0.07426   26.15435           -0.88546       82.07368         7.776e-06 
  1530.200          85.209      6.840    -91.340            7.184        11039.658      1.654      0.000      0.000    0.07290   26.13184           -0.88949       82.08225         7.921e-06 
  1531.200          85.097      6.849    -91.277            7.182        11046.746      1.645      0.000      0.000    0.07156   26.10920           -0.89356       82.09084         8.069e-06 
  1532.200          84.985      6.858    -91.213            7.180        11053.832      1.636      0.000      0.000    0.07025   26.08642           -0.89767       82.09943         8.221e-06 
  1533.200          84.872      6.867    -91.150            7.178        11060.916      1.627      0.000      0.000    0.06895   26.06350           -0.90181       82.10802         8.376e-06 
  1534.200          84.759      6.875    -91.086            7.176        11067.998      1.618      0.000      0.000    0.06767   26.04045           -0.90600       82.11663         8.534e-06 
  1535.200          84.645      6.884    -91.023            7.174        11075.079      1.610      0.000      0.000    0.06641   26.01727           -0.91024       82.12525         8.696e-06 
  1536.200          84.531      6.893    -90.959            7.172        11082.157      1.601      0.000      0.000    0.06517   25.99394           -0.91451       82.13388         8.861e-06 
  1537.200          84.416      6.902    -90.896            7.170        11089.234      1.592      0.000      0.000    0.06395   25.97045           -0.91882       82.14252         9.031e-06 
  1538.200          84.301      6.911    -90.832            7.168        11096.309      1.584      0.000      0.000    0.06275   25.94683           -0.92318       82.15116         9.204e-06 
  1539.200          84.186      6.919    -90.769            7.165        11103.381      1.575      0.000      0.000    0.06157   25.92306           -0.92758       82.15982         9.380e-06 
  1540.200          84.069      6.928    -90.706            7.163        11110.452      1.567      0.000      0.000    0.06040   25.89921           -0.93202       82.16848         9.561e-06 
  1541.200          83.952      6.937    -90.642            7.161        11117.520      1.559      0.000      0.000    0.05926   25.87510           -0.93651       82.17715         9.746e-06 
  1542.200          83.835      6.945    -90.579            7.159        11124.587      1.551      0.000      0.000    0.05813   25.85089           -0.94105       82.18584         9.936e-06 
  1543.200          83.717      6.954    -90.516            7.156        11131.651      1.543      0.000      0.000    0.05702   25.82653           -0.94563       82.19453         1.013e-05 
  1544.200          83.599      6.963    -90.452            7.154        11138.713      1.535      0.000      0.000    0.05592   25.80202           -0.95026       82.20323         1.033e-05 
  1545.200          83.480      6.971    -90.389            7.152        11145.773      1.527      0.000      0.000    0.05485   25.77733           -0.95493       82.21194         1.053e-05 
  1546.200          83.361      6.980    -90.326            7.149        11152.831      1.519      0.000      0.000    0.05379   25.75253           -0.95965       82.22065         1.074e-05 
  1547.200          83.241      6.989    -90.262            7.147        11159.887      1.511      0.000      0.000    0.05275   25.72754           -0.96442       82.22938         1.095e-05 
  1548.200          83.120      6.997    -90.199            7.145        11166.940      1.504      0.000      0.000    0.05172   25.70239           -0.96924       82.23811         1.117e-05 
  1549.200          82.999      7.006    -90.136            7.142        11173.991      1.496      0.000      0.000    0.05072   25.67708           -0.97411       82.24686         1.139e-05 
  1550.200          82.877      7.014    -90.073            7.140        11181.040      1.489      0.000      0.000    0.04972   25.65161           -0.97903       82.25561         1.162e-05 
  1551.200          82.755      7.023    -90.010            7.137        11188.086      1.482      0.000      0.000    0.04875   25.62600           -0.98400       82.26437         1.185e-05 
  1552.200          82.632      7.032    -89.946            7.134        11195.130      1.474      0.000      0.000    0.04779   25.60015           -0.98903       82.27314         1.209e-05 
  1553.200          82.509      7.040    -89.883            7.132        11202.171      1.467      0.000      0.000    0.04684   25.57417           -0.99410       82.28191         1.233e-05 
  1554.200          82.385      7.049    -89.820            7.129        11209.210      1.460      0.000      0.000    0.04591   25.54763           -0.99924       82.29070         1.258e-05 
  1555.200          82.260      7.057    -89.757            7.126        11216.246      1.454      0.000      0.000    0.04500   25.52041           -1.00443       82.29949         1.284e-05 
  1556.200          82.135      7.066    -89.694            7.123        11223.279      1.447      0.000      0.000    0.04410   25.49242           -1.00968       82.30829         1.310e-05 
  1557.200          82.009      7.074    -89.631            7.119        11230.309      1.440      0.000      0.000    0.04322   25.46357           -1.01500       82.31710         1.337e-05 
  1558.200          81.882      7.083    -89.568            7.116        11237.335      1.434      0.000      0.000    0.04235   25.43378           -1.02039       82.32591         1.364e-05 
  1559.200          81.755      7.091    -89.505            7.112        11244.358      1.428      0.000      0.000    0.04149   25.40281           -1.02586       82.33474         1.392e-05 
  1560.200          81.628      7.100    -89.442            7.107        11251.377      1.421      0.000      0.000    0.04065   25.37062           -1.03141       82.34356         1.421e-05 
  1561.200          81.500      7.108    -89.379            7.102        11258.391      1.415      0.000      0.000    0.03983   25.33695           -1.03706       82.35240         1.450e-05 
