#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Cylind2.5e2ba905-2d33-4714-9e11-8737eed848d1_Trajectory.txt
# RunID         : sara
# ObjectID      : 5e2ba905-2d33-4714-9e11-8737eed848d1
# ObjectName    : Cylind2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1490.200          89.348      6.478    -93.888            7.245        10755.110      1.899      0.000      0.000    0.03955   26.45709           -0.74991       81.74742         3.836e-06 
  1490.300          89.338      6.479    -93.881            7.244        10755.825      1.899      0.000      0.000    0.03949   26.45397           -0.75019       81.74823         3.842e-06 
  1490.750          89.295      6.483    -93.853            7.239        10759.038      1.896      0.000      0.000    0.03922   26.43943           -0.75150       81.75190         3.869e-06 
  1491.750          89.200      6.493    -93.789            7.229        10766.173      1.890      0.000      0.000    0.03861   26.40583           -0.75453       81.76005         3.930e-06 
  1492.750          89.105      6.502    -93.725            7.219        10773.297      1.884      0.000      0.000    0.03796   26.36924           -0.75776       81.76820         3.997e-06 
  1493.750          89.009      6.511    -93.661            7.209        10780.412      1.877      0.000      0.000    0.03733   26.33238           -0.76119       81.77636         4.066e-06 
  1494.750          88.913      6.520    -93.598            7.198        10787.516      1.871      0.000      0.000    0.03670   26.29503           -0.76482       81.78451         4.135e-06 
  1495.750          88.817      6.529    -93.534            7.188        10794.610      1.865      0.000      0.000    0.03608   26.25720           -0.76866       81.79267         4.207e-06 
  1496.750          88.721      6.539    -93.471            7.177        10801.694      1.859      0.000      0.000    0.03546   26.21891           -0.77270       81.80082         4.280e-06 
  1497.750          88.624      6.548    -93.408            7.166        10808.767      1.853      0.000      0.000    0.03486   26.18015           -0.77695       81.80898         4.354e-06 
  1498.750          88.526      6.557    -93.344            7.155        10815.830      1.848      0.000      0.000    0.03426   26.14092           -0.78141       81.81714         4.430e-06 
  1499.750          88.428      6.566    -93.281            7.144        10822.882      1.842      0.000      0.000    0.03367   26.10121           -0.78609       81.82530         4.508e-06 
  1500.750          88.330      6.575    -93.218            7.133        10829.923      1.837      0.000      0.000    0.03309   26.06101           -0.79099       81.83346         4.587e-06 
  1501.750          88.231      6.584    -93.155            7.122        10836.954      1.831      0.000      0.000    0.03252   26.02031           -0.79610       81.84162         4.668e-06 
  1502.750          88.132      6.593    -93.093            7.111        10843.973      1.826      0.000      0.000    0.03195   25.97910           -0.80144       81.84978         4.751e-06 
  1503.750          88.033      6.602    -93.030            7.099        10850.981      1.821      0.000      0.000    0.03139   25.93738           -0.80701       81.85793         4.836e-06 
  1504.750          87.932      6.611    -92.967            7.088        10857.978      1.816      0.000      0.000    0.03084   25.89513           -0.81281       81.86609         4.923e-06 
  1505.750          87.831      6.620    -92.905            7.076        10864.963      1.811      0.000      0.000    0.03029   25.85234           -0.81883       81.87425         5.012e-06 
  1506.750          87.730      6.629    -92.842            7.064        10871.937      1.806      0.000      0.000    0.02975   25.80901           -0.82510       81.88241         5.103e-06 
  1507.750          87.628      6.638    -92.780            7.052        10878.899      1.801      0.000      0.000    0.02922   25.76512           -0.83160       81.89056         5.197e-06 
  1508.750          87.525      6.647    -92.718            7.039        10885.849      1.797      0.000      0.000    0.02869   25.72017           -0.83835       81.89872         5.293e-06 
  1509.750          87.422      6.655    -92.656            7.026        10892.786      1.792      0.000      0.000    0.02817   25.67104           -0.84536       81.90687         5.391e-06 
  1510.750          87.318      6.664    -92.594            7.011        10899.709      1.788      0.000      0.000    0.02765   25.61649           -0.85266       81.91501         5.491e-06 
  1511.750          87.213      6.673    -92.532            6.994        10906.617      1.784      0.000      0.000    0.02714   25.55537           -0.86028       81.92315         5.594e-06 
