#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.EPRM.6d068f8c-42c1-4e67-8a34-0e2d5d014c75_Trajectory.txt
# RunID         : sara
# ObjectID      : 6d068f8c-42c1-4e67-8a34-0e2d5d014c75
# ObjectName    : EPRM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1383.100          97.926      5.431   -100.749            7.302         9986.510      2.879      0.000      0.000    0.71965   26.15664           -0.53107       80.94011         8.178e-07 
  1383.200          97.919      5.432   -100.743            7.302         9987.229      2.879      0.000      0.000    0.71888   26.15711           -0.53123       80.94080         8.187e-07 
  1383.650          97.888      5.437   -100.714            7.301         9990.466      2.878      0.000      0.000    0.71532   26.15928           -0.53195       80.94389         8.228e-07 
  1384.650          97.820      5.447   -100.650            7.300         9997.657      2.875      0.000      0.000    0.70722   26.16414           -0.53357       80.95078         8.323e-07 
  1385.650          97.752      5.457   -100.586            7.300        10004.847      2.873      0.000      0.000    0.69859   26.16928           -0.53522       80.95767         8.428e-07 
  1386.650          97.684      5.467   -100.522            7.299        10012.037      2.871      0.000      0.000    0.69004   26.17433           -0.53688       80.96457         8.534e-07 
  1387.650          97.616      5.478   -100.458            7.298        10019.225      2.868      0.000      0.000    0.68157   26.17925           -0.53856       80.97149         8.641e-07 
  1388.650          97.547      5.488   -100.394            7.296        10026.413      2.865      0.000      0.000    0.67317   26.18438           -0.54026       80.97842         8.750e-07 
  1389.650          97.478      5.498   -100.330            7.295        10033.600      2.863      0.000      0.000    0.66485   26.18940           -0.54198       80.98537         8.862e-07 
  1390.650          97.409      5.508   -100.266            7.294        10040.786      2.860      0.000      0.000    0.65661   26.19356           -0.54373       80.99232         8.974e-07 
  1391.650          97.340      5.518   -100.202            7.293        10047.970      2.857      0.000      0.000    0.64845   26.19795           -0.54549       80.99929         9.088e-07 
  1392.650          97.270      5.528   -100.138            7.292        10055.154      2.854      0.000      0.000    0.64037   26.20237           -0.54728       81.00627         9.204e-07 
  1393.650          97.200      5.539   -100.074            7.291        10062.337      2.851      0.000      0.000    0.63235   26.20668           -0.54908       81.01326         9.323e-07 
  1394.650          97.130      5.549   -100.010            7.290        10069.519      2.847      0.000      0.000    0.62442   26.21068           -0.55091       81.02026         9.442e-07 
  1395.650          97.060      5.559    -99.946            7.289        10076.700      2.844      0.000      0.000    0.61656   26.21475           -0.55276       81.02728         9.564e-07 
  1396.650          96.990      5.569    -99.882            7.288        10083.879      2.841      0.000      0.000    0.60878   26.21895           -0.55463       81.03431         9.688e-07 
  1397.650          96.919      5.579    -99.818            7.287        10091.058      2.837      0.000      0.000    0.60107   26.22280           -0.55653       81.04135         9.814e-07 
  1398.650          96.848      5.589    -99.754            7.286        10098.236      2.834      0.000      0.000    0.59343   26.22655           -0.55845       81.04840         9.942e-07 
  1399.650          96.777      5.599    -99.690            7.284        10105.413      2.830      0.000      0.000    0.58587   26.23021           -0.56039       81.05547         1.007e-06 
  1400.650          96.706      5.609    -99.626            7.283        10112.588      2.826      0.000      0.000    0.57838   26.23374           -0.56235       81.06254         1.020e-06 
  1401.650          96.634      5.619    -99.562            7.282        10119.763      2.822      0.000      0.000    0.57097   26.23714           -0.56434       81.06963         1.034e-06 
  1402.650          96.562      5.630    -99.498            7.281        10126.936      2.818      0.000      0.000    0.56362   26.24045           -0.56635       81.07673         1.047e-06 
  1403.650          96.490      5.640    -99.434            7.280        10134.108      2.814      0.000      0.000    0.55635   26.24365           -0.56839       81.08384         1.061e-06 
  1404.650          96.418      5.650    -99.370            7.278        10141.279      2.810      0.000      0.000    0.54915   26.24670           -0.57045       81.09097         1.075e-06 
  1405.650          96.345      5.660    -99.306            7.277        10148.449      2.806      0.000      0.000    0.54203   26.24964           -0.57254       81.09810         1.090e-06 
  1406.650          96.272      5.670    -99.242            7.276        10155.618      2.802      0.000      0.000    0.53497   26.25247           -0.57465       81.10525         1.104e-06 
  1407.650          96.199      5.680    -99.178            7.275        10162.786      2.797      0.000      0.000    0.52798   26.25519           -0.57679       81.11241         1.119e-06 
  1408.650          96.126      5.690    -99.114            7.273        10169.952      2.793      0.000      0.000    0.52106   26.25776           -0.57895       81.11958         1.134e-06 
  1409.650          96.052      5.700    -99.050            7.272        10177.117      2.788      0.000      0.000    0.51421   26.26022           -0.58114       81.12677         1.149e-06 
  1410.650          95.978      5.710    -98.986            7.271        10184.281      2.784      0.000      0.000    0.50743   26.26257           -0.58335       81.13396         1.165e-06 
  1411.650          95.904      5.720    -98.923            7.269        10191.444      2.779      0.000      0.000    0.50072   26.26478           -0.58559       81.14117         1.181e-06 
  1412.650          95.830      5.730    -98.859            7.268        10198.605      2.774      0.000      0.000    0.49407   26.26686           -0.58786       81.14839         1.197e-06 
  1413.650          95.755      5.740    -98.795            7.267        10205.765      2.769      0.000      0.000    0.48749   26.26881           -0.59016       81.15562         1.213e-06 
  1414.650          95.680      5.750    -98.731            7.265        10212.924      2.764      0.000      0.000    0.48097   26.27066           -0.59248       81.16286         1.230e-06 
  1415.650          95.605      5.759    -98.667            7.264        10220.082      2.759      0.000      0.000    0.47452   26.27235           -0.59483       81.17011         1.247e-06 
  1416.650          95.529      5.769    -98.603            7.262        10227.238      2.753      0.000      0.000    0.46813   26.27391           -0.59721       81.17738         1.264e-06 
  1417.650          95.453      5.779    -98.539            7.261        10234.393      2.748      0.000      0.000    0.46181   26.27535           -0.59962       81.18466         1.281e-06 
  1418.650          95.377      5.789    -98.476            7.259        10241.547      2.742      0.000      0.000    0.45555   26.27666           -0.60205       81.19194         1.299e-06 
  1419.650          95.301      5.799    -98.412            7.258        10248.699      2.737      0.000      0.000    0.44935   26.27782           -0.60452       81.19924         1.317e-06 
  1420.650          95.224      5.809    -98.348            7.256        10255.850      2.731      0.000      0.000    0.44321   26.27884           -0.60701       81.20655         1.336e-06 
  1421.650          95.147      5.819    -98.284            7.255        10262.999      2.725      0.000      0.000    0.43713   26.27973           -0.60954       81.21388         1.354e-06 
  1422.650          95.070      5.829    -98.221            7.253        10270.147      2.719      0.000      0.000    0.43110   26.28049           -0.61210       81.22121         1.373e-06 
  1423.650          94.992      5.839    -98.157            7.252        10277.293      2.713      0.000      0.000    0.42514   26.28111           -0.61468       81.22856         1.393e-06 
  1424.650          94.914      5.848    -98.093            7.250        10284.439      2.707      0.000      0.000    0.41923   26.28156           -0.61730       81.23591         1.413e-06 
  1425.650          94.836      5.858    -98.029            7.249        10291.582      2.701      0.000      0.000    0.41338   26.28188           -0.61995       81.24328         1.433e-06 
  1426.650          94.757      5.868    -97.965            7.247        10298.724      2.695      0.000      0.000    0.40758   26.28206           -0.62263       81.25066         1.453e-06 
  1427.650          94.678      5.878    -97.902            7.245        10305.865      2.688      0.000      0.000    0.40185   26.28209           -0.62534       81.25805         1.474e-06 
  1428.650          94.599      5.888    -97.838            7.244        10313.004      2.682      0.000      0.000    0.39618   26.28197           -0.62809       81.26545         1.496e-06 
  1429.650          94.520      5.898    -97.774            7.242        10320.141      2.675      0.000      0.000    0.39056   26.28169           -0.63087       81.27286         1.517e-06 
  1430.650          94.440      5.907    -97.711            7.240        10327.277      2.668      0.000      0.000    0.38501   26.28126           -0.63368       81.28028         1.539e-06 
  1431.650          94.359      5.917    -97.647            7.239        10334.412      2.662      0.000      0.000    0.37951   26.28067           -0.63653       81.28772         1.562e-06 
  1432.650          94.279      5.927    -97.583            7.237        10341.544      2.655      0.000      0.000    0.37407   26.27994           -0.63941       81.29516         1.585e-06 
  1433.650          94.198      5.937    -97.520            7.235        10348.675      2.648      0.000      0.000    0.36868   26.27904           -0.64232       81.30262         1.608e-06 
  1434.650          94.117      5.946    -97.456            7.233        10355.805      2.641      0.000      0.000    0.36335   26.27792           -0.64527       81.31009         1.632e-06 
  1435.650          94.035      5.956    -97.392            7.232        10362.933      2.633      0.000      0.000    0.35808   26.27670           -0.64825       81.31756         1.656e-06 
  1436.650          93.953      5.966    -97.329            7.230        10370.059      2.626      0.000      0.000    0.35286   26.27534           -0.65128       81.32505         1.681e-06 
  1437.650          93.871      5.976    -97.265            7.228        10377.183      2.619      0.000      0.000    0.34770   26.27378           -0.65433       81.33255         1.706e-06 
  1438.650          93.788      5.985    -97.202            7.226        10384.306      2.611      0.000      0.000    0.34259   26.27206           -0.65743       81.34006         1.732e-06 
  1439.650          93.705      5.995    -97.138            7.224        10391.427      2.603      0.000      0.000    0.33753   26.27014           -0.66056       81.34758         1.758e-06 
  1440.650          93.621      6.005    -97.074            7.222        10398.546      2.596      0.000      0.000    0.33253   26.26805           -0.66373       81.35512         1.785e-06 
  1441.650          93.537      6.014    -97.011            7.220        10405.663      2.588      0.000      0.000    0.32758   26.26579           -0.66693       81.36266         1.812e-06 
  1442.650          93.453      6.024    -96.947            7.218        10412.778      2.580      0.000      0.000    0.32269   26.26335           -0.67018       81.37021         1.840e-06 
  1443.650          93.369      6.034    -96.884            7.216        10419.892      2.572      0.000      0.000    0.31784   26.26073           -0.67346       81.37777         1.868e-06 
  1444.650          93.284      6.043    -96.820            7.215        10427.004      2.564      0.000      0.000    0.31305   26.25793           -0.67679       81.38535         1.897e-06 
  1445.650          93.198      6.053    -96.757            7.212        10434.114      2.555      0.000      0.000    0.30832   26.25493           -0.68015       81.39293         1.926e-06 
  1446.650          93.112      6.062    -96.693            7.210        10441.221      2.547      0.000      0.000    0.30363   26.25173           -0.68356       81.40053         1.956e-06 
  1447.650          93.026      6.072    -96.630            7.208        10448.327      2.538      0.000      0.000    0.29899   26.24834           -0.68700       81.40813         1.987e-06 
  1448.650          92.939      6.082    -96.566            7.206        10455.432      2.530      0.000      0.000    0.29441   26.24466           -0.69049       81.41575         2.018e-06 
  1449.650          92.852      6.091    -96.503            7.204        10462.534      2.521      0.000      0.000    0.28987   26.24086           -0.69402       81.42337         2.049e-06 
  1450.650          92.765      6.101    -96.440            7.202        10469.634      2.513      0.000      0.000    0.28539   26.23701           -0.69759       81.43101         2.082e-06 
  1451.650          92.677      6.110    -96.376            7.200        10476.732      2.504      0.000      0.000    0.28095   26.23283           -0.70121       81.43866         2.115e-06 
  1452.650          92.589      6.120    -96.313            7.198        10483.827      2.495      0.000      0.000    0.27657   26.22844           -0.70486       81.44631         2.149e-06 
  1453.650          92.500      6.129    -96.249            7.195        10490.921      2.486      0.000      0.000    0.27223   26.22383           -0.70857       81.45398         2.183e-06 
  1454.650          92.411      6.139    -96.186            7.193        10498.013      2.476      0.000      0.000    0.26794   26.21901           -0.71231       81.46165         2.218e-06 
  1455.650          92.321      6.148    -96.123            7.191        10505.103      2.467      0.000      0.000    0.26370   26.21397           -0.71610       81.46934         2.254e-06 
  1456.650          92.231      6.158    -96.059            7.189        10512.190      2.458      0.000      0.000    0.25951   26.20871           -0.71994       81.47704         2.291e-06 
  1457.650          92.140      6.167    -95.996            7.186        10519.275      2.448      0.000      0.000    0.25537   26.20323           -0.72382       81.48474         2.328e-06 
  1458.650          92.049      6.177    -95.933            7.184        10526.358      2.439      0.000      0.000    0.25127   26.19752           -0.72776       81.49246         2.367e-06 
  1459.650          91.958      6.186    -95.870            7.182        10533.439      2.429      0.000      0.000    0.24722   26.19159           -0.73173       81.50018         2.406e-06 
