#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.GRAS-GEU.3e3557b4-6663-48e9-990d-b3153e71579a_Trajectory.txt
# RunID         : sara
# ObjectID      : 3e3557b4-6663-48e9-990d-b3153e71579a
# ObjectName    : GRAS-GEU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1490.200          89.348      6.478    -93.888            7.245        10755.110      2.151      0.000      0.000    0.21226   26.45709           -0.74991       81.74742         3.836e-06 
  1490.300          89.338      6.479    -93.881            7.244        10755.825      2.150      0.000      0.000    0.21194   26.45542           -0.75019       81.74823         3.842e-06 
  1490.750          89.295      6.483    -93.853            7.242        10759.039      2.146      0.000      0.000    0.21050   26.44768           -0.75148       81.75191         3.869e-06 
  1491.750          89.200      6.493    -93.789            7.236        10766.178      2.138      0.000      0.000    0.20722   26.42975           -0.75441       81.76007         3.930e-06 
  1492.750          89.105      6.502    -93.725            7.231        10773.312      2.128      0.000      0.000    0.20375   26.41016           -0.75745       81.76824         3.997e-06 
  1493.750          89.009      6.511    -93.661            7.225        10780.440      2.118      0.000      0.000    0.20032   26.39048           -0.76060       81.77642         4.066e-06 
  1494.750          88.913      6.520    -93.597            7.219        10787.563      2.108      0.000      0.000    0.19694   26.37050           -0.76386       81.78461         4.136e-06 
  1495.750          88.817      6.530    -93.534            7.214        10794.681      2.099      0.000      0.000    0.19360   26.35023           -0.76723       81.79280         4.207e-06 
  1496.750          88.720      6.539    -93.470            7.208        10801.793      2.089      0.000      0.000    0.19031   26.32970           -0.77071       81.80099         4.280e-06 
  1497.750          88.623      6.548    -93.406            7.202        10808.899      2.079      0.000      0.000    0.18706   26.30891           -0.77431       81.80920         4.355e-06 
  1498.750          88.525      6.557    -93.343            7.196        10816.000      2.069      0.000      0.000    0.18385   26.28785           -0.77802       81.81740         4.431e-06 
  1499.750          88.427      6.566    -93.279            7.190        10823.095      2.059      0.000      0.000    0.18069   26.26652           -0.78184       81.82562         4.509e-06 
  1500.750          88.329      6.575    -93.216            7.184        10830.184      2.049      0.000      0.000    0.17756   26.24492           -0.78579       81.83384         4.588e-06 
  1501.750          88.230      6.584    -93.153            7.178        10837.267      2.038      0.000      0.000    0.17448   26.22304           -0.78985       81.84206         4.669e-06 
  1502.750          88.131      6.593    -93.089            7.172        10844.344      2.028      0.000      0.000    0.17144   26.20089           -0.79403       81.85029         4.752e-06 
  1503.750          88.031      6.603    -93.026            7.166        10851.416      2.018      0.000      0.000    0.16843   26.17846           -0.79834       81.85853         4.837e-06 
  1504.750          87.931      6.612    -92.963            7.160        10858.481      2.008      0.000      0.000    0.16547   26.15575           -0.80276       81.86677         4.924e-06 
  1505.750          87.831      6.621    -92.899            7.153        10865.540      1.997      0.000      0.000    0.16254   26.13276           -0.80731       81.87502         5.013e-06 
  1506.750          87.730      6.630    -92.836            7.147        10872.593      1.987      0.000      0.000    0.15965   26.10948           -0.81199       81.88327         5.104e-06 
