#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.IASI-DPS.793e2de2-3c73-4ec5-9159-6715937b7cbe_Trajectory.txt
# RunID         : sara
# ObjectID      : 793e2de2-3c73-4ec5-9159-6715937b7cbe
# ObjectName    : IASI-DPS
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1490.200          89.348      6.478    -93.888            7.245        10755.110      2.053      0.000      0.000    0.17888   26.45709           -0.74991       81.74742         3.836e-06 
  1490.300          89.338      6.479    -93.881            7.244        10755.825      2.052      0.000      0.000    0.17862   26.45603           -0.75019       81.74824         3.842e-06 
  1490.750          89.295      6.483    -93.853            7.243        10759.039      2.048      0.000      0.000    0.17741   26.45113           -0.75147       81.75191         3.869e-06 
  1491.750          89.200      6.493    -93.789            7.239        10766.180      2.039      0.000      0.000    0.17464   26.43975           -0.75436       81.76008         3.930e-06 
  1492.750          89.105      6.502    -93.725            7.236        10773.318      2.029      0.000      0.000    0.17171   26.42727           -0.75733       81.76826         3.997e-06 
  1493.750          89.009      6.511    -93.661            7.232        10780.452      2.019      0.000      0.000    0.16882   26.41477           -0.76036       81.77645         4.066e-06 
  1494.750          88.913      6.520    -93.597            7.228        10787.583      2.009      0.000      0.000    0.16597   26.40204           -0.76346       81.78465         4.136e-06 
  1495.750          88.816      6.530    -93.533            7.225        10794.710      1.999      0.000      0.000    0.16316   26.38911           -0.76664       81.79285         4.207e-06 
  1496.750          88.719      6.539    -93.470            7.221        10801.834      1.989      0.000      0.000    0.16038   26.37599           -0.76989       81.80106         4.280e-06 
  1497.750          88.622      6.548    -93.406            7.217        10808.954      1.979      0.000      0.000    0.15764   26.36268           -0.77321       81.80929         4.355e-06 
  1498.750          88.525      6.557    -93.342            7.213        10816.071      1.969      0.000      0.000    0.15493   26.34918           -0.77660       81.81751         4.431e-06 
  1499.750          88.427      6.566    -93.279            7.210        10823.184      1.959      0.000      0.000    0.15226   26.33549           -0.78007       81.82575         4.509e-06 
  1500.750          88.328      6.575    -93.215            7.206        10830.293      1.949      0.000      0.000    0.14963   26.32161           -0.78362       81.83400         4.589e-06 
  1501.750          88.230      6.585    -93.151            7.202        10837.398      1.939      0.000      0.000    0.14703   26.30753           -0.78725       81.84225         4.670e-06 
  1502.750          88.130      6.594    -93.088            7.198        10844.499      1.929      0.000      0.000    0.14447   26.29326           -0.79095       81.85051         4.753e-06 
  1503.750          88.031      6.603    -93.024            7.194        10851.597      1.919      0.000      0.000    0.14194   26.27879           -0.79473       81.85878         4.838e-06 
  1504.750          87.931      6.612    -92.961            7.190        10858.691      1.908      0.000      0.000    0.13944   26.26412           -0.79860       81.86705         4.925e-06 
  1505.750          87.830      6.621    -92.897            7.186        10865.781      1.898      0.000      0.000    0.13698   26.24925           -0.80254       81.87534         5.013e-06 
  1506.750          87.730      6.630    -92.834            7.181        10872.867      1.888      0.000      0.000    0.13455   26.23418           -0.80657       81.88363         5.104e-06 
  1507.750          87.628      6.639    -92.771            7.177        10879.948      1.878      0.000      0.000    0.13215   26.21890           -0.81067       81.89193         5.197e-06 
  1508.750          87.526      6.648    -92.707            7.173        10887.026      1.867      0.000      0.000    0.12979   26.20342           -0.81487       81.90023         5.292e-06 
  1509.750          87.424      6.657    -92.644            7.169        10894.100      1.857      0.000      0.000    0.12746   26.18773           -0.81914       81.90854         5.389e-06 
  1510.750          87.322      6.666    -92.581            7.164        10901.169      1.847      0.000      0.000    0.12515   26.17183           -0.82351       81.91686         5.488e-06 
  1511.750          87.218      6.675    -92.517            7.160        10908.234      1.836      0.000      0.000    0.12288   26.15571           -0.82796       81.92519         5.589e-06 
  1512.750          87.115      6.684    -92.454            7.155        10915.295      1.826      0.000      0.000    0.12064   26.13939           -0.83250       81.93352         5.693e-06 
  1513.750          87.010      6.693    -92.391            7.151        10922.352      1.815      0.000      0.000    0.11843   26.12285           -0.83713       81.94187         5.800e-06 
  1514.750          86.906      6.702    -92.328            7.146        10929.404      1.805      0.000      0.000    0.11625   26.10609           -0.84184       81.95021         5.909e-06 
  1515.750          86.800      6.711    -92.265            7.142        10936.451      1.795      0.000      0.000    0.11410   26.08911           -0.84665       81.95857         6.020e-06 
  1516.750          86.695      6.720    -92.202            7.137        10943.495      1.784      0.000      0.000    0.11198   26.07192           -0.85156       81.96693         6.134e-06 
  1517.750          86.588      6.729    -92.138            7.132        10950.533      1.774      0.000      0.000    0.10988   26.05450           -0.85655       81.97530         6.251e-06 
  1518.750          86.481      6.737    -92.076            7.127        10957.567      1.763      0.000      0.000    0.10782   26.03686           -0.86164       81.98367         6.371e-06 
  1519.750          86.374      6.746    -92.013            7.122        10964.597      1.753      0.000      0.000    0.10578   26.01900           -0.86683       81.99206         6.494e-06 
  1520.750          86.266      6.755    -91.950            7.118        10971.621      1.743      0.000      0.000    0.10376   26.00090           -0.87212       82.00044         6.620e-06 
  1521.750          86.157      6.764    -91.887            7.113        10978.641      1.732      0.000      0.000    0.10178   25.98259           -0.87750       82.00884         6.750e-06 
  1522.750          86.048      6.773    -91.824            7.107        10985.656      1.722      0.000      0.000    0.09982   25.96404           -0.88298       82.01724         6.882e-06 
  1523.750          85.938      6.782    -91.761            7.102        10992.666      1.712      0.000      0.000    0.09794   25.93819           -0.88857       82.02564         7.014e-06 
  1524.750          85.828      6.790    -91.698            7.097        10999.671      1.702      0.000      0.000    0.09615   25.90288           -0.89426       82.03406         7.145e-06 
  1525.750          85.717      6.799    -91.636            7.091        11006.671      1.692      0.000      0.000    0.09439   25.86653           -0.90007       82.04247         7.279e-06 
  1526.750          85.605      6.808    -91.573            7.085        11013.664      1.682      0.000      0.000    0.09265   25.82901           -0.90600       82.05089         7.415e-06 
  1527.750          85.493      6.817    -91.510            7.078        11020.652      1.673      0.000      0.000    0.09093   25.79024           -0.91205       82.05932         7.556e-06 
  1528.750          85.380      6.825    -91.448            7.072        11027.633      1.663      0.000      0.000    0.08924   25.74998           -0.91823       82.06775         7.699e-06 
  1529.750          85.266      6.834    -91.385            7.064        11034.608      1.654      0.000      0.000    0.08757   25.70825           -0.92456       82.07619         7.846e-06 
  1530.750          85.152      6.843    -91.323            7.057        11041.575      1.644      0.000      0.000    0.08592   25.66476           -0.93103       82.08462         7.996e-06 
  1531.750          85.037      6.851    -91.261            7.048        11048.534      1.634      0.000      0.000    0.08430   25.61933           -0.93766       82.09306         8.150e-06 
  1532.750          84.921      6.860    -91.198            7.040        11055.485      1.625      0.000      0.000    0.08270   25.57172           -0.94447       82.10150         8.308e-06 
  1533.750          84.805      6.869    -91.136            7.030        11062.427      1.615      0.000      0.000    0.08112   25.52163           -0.95146       82.10994         8.470e-06 
  1534.750          84.687      6.877    -91.074            7.020        11069.360      1.606      0.000      0.000    0.07957   25.46868           -0.95865       82.11839         8.635e-06 
  1535.750          84.570      6.886    -91.012            7.009        11076.282      1.597      0.000      0.000    0.07804   25.41248           -0.96606       82.12683         8.805e-06 
  1536.750          84.451      6.894    -90.950            6.996        11083.192      1.587      0.000      0.000    0.07653   25.35233           -0.97370       82.13526         8.978e-06 
  1537.750          84.332      6.903    -90.888            6.983        11090.090      1.578      0.000      0.000    0.07504   25.28760           -0.98161       82.14370         9.156e-06 
  1538.750          84.212      6.911    -90.826            6.968        11096.973      1.569      0.000      0.000    0.07357   25.21731           -0.98981       82.15213         9.339e-06 
