#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.IASI.429cbd40-c6c5-43fd-b460-fc5cd243292f_Trajectory.txt
# RunID         : sara
# ObjectID      : 429cbd40-c6c5-43fd-b460-fc5cd243292f
# ObjectName    : IASI
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1490.200          89.348      6.478    -93.888            7.245        10755.110      1.694      0.000      0.000    0.03744   26.45709           -0.74991       81.74742         3.836e-06 
  1490.300          89.338      6.479    -93.881            7.244        10755.825      1.694      0.000      0.000    0.03738   26.45615           -0.75019       81.74824         3.842e-06 
  1490.750          89.295      6.483    -93.853            7.243        10759.039      1.691      0.000      0.000    0.03713   26.45175           -0.75147       81.75191         3.869e-06 
  1491.750          89.200      6.493    -93.789            7.240        10766.181      1.686      0.000      0.000    0.03655   26.44156           -0.75436       81.76008         3.930e-06 
  1492.750          89.105      6.502    -93.725            7.237        10773.319      1.681      0.000      0.000    0.03594   26.43034           -0.75730       81.76826         3.997e-06 
  1493.750          89.009      6.511    -93.661            7.233        10780.454      1.676      0.000      0.000    0.03533   26.41909           -0.76031       81.77645         4.066e-06 
  1494.750          88.913      6.520    -93.597            7.230        10787.587      1.670      0.000      0.000    0.03474   26.40761           -0.76339       81.78465         4.136e-06 
  1495.750          88.816      6.530    -93.533            7.227        10794.716      1.665      0.000      0.000    0.03415   26.39591           -0.76653       81.79286         4.207e-06 
  1496.750          88.719      6.539    -93.470            7.223        10801.841      1.660      0.000      0.000    0.03357   26.38401           -0.76974       81.80108         4.281e-06 
  1497.750          88.622      6.548    -93.406            7.220        10808.964      1.656      0.000      0.000    0.03299   26.37191           -0.77301       81.80930         4.355e-06 
  1498.750          88.525      6.557    -93.342            7.216        10816.083      1.651      0.000      0.000    0.03243   26.35960           -0.77636       81.81753         4.431e-06 
  1499.750          88.427      6.566    -93.278            7.213        10823.199      1.646      0.000      0.000    0.03187   26.34709           -0.77977       81.82577         4.509e-06 
  1500.750          88.328      6.575    -93.215            7.209        10830.311      1.642      0.000      0.000    0.03132   26.33436           -0.78325       81.83402         4.589e-06 
  1501.750          88.229      6.585    -93.151            7.206        10837.420      1.637      0.000      0.000    0.03077   26.32142           -0.78680       81.84228         4.670e-06 
  1502.750          88.130      6.594    -93.088            7.202        10844.526      1.633      0.000      0.000    0.03024   26.30825           -0.79043       81.85055         4.753e-06 
  1503.750          88.031      6.603    -93.024            7.198        10851.628      1.628      0.000      0.000    0.02971   26.29487           -0.79413       81.85882         4.838e-06 
  1504.750          87.931      6.612    -92.960            7.194        10858.726      1.624      0.000      0.000    0.02918   26.28125           -0.79790       81.86710         4.925e-06 
  1505.750          87.830      6.621    -92.897            7.191        10865.821      1.620      0.000      0.000    0.02867   26.26741           -0.80175       81.87539         5.013e-06 
  1506.750          87.730      6.630    -92.834            7.187        10872.911      1.616      0.000      0.000    0.02816   26.25333           -0.80568       81.88368         5.104e-06 
