#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.MHS-MPU.4493b82b-537f-484f-a043-f11b7218cd9a_Trajectory.txt
# RunID         : sara
# ObjectID      : 4493b82b-537f-484f-a043-f11b7218cd9a
# ObjectName    : MHS-MPU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1490.200          89.348      6.478    -93.888            7.245        10755.110      2.402      0.000      0.000    0.20507   26.45709           -0.74991       81.74742         3.836e-06 
  1490.300          89.338      6.479    -93.881            7.244        10755.825      2.401      0.000      0.000    0.20477   26.45577           -0.75019       81.74824         3.842e-06 
  1490.750          89.295      6.483    -93.853            7.242        10759.039      2.397      0.000      0.000    0.20337   26.44960           -0.75148       81.75191         3.869e-06 
  1491.750          89.200      6.493    -93.789            7.238        10766.179      2.387      0.000      0.000    0.20021   26.43533           -0.75439       81.76008         3.930e-06 
  1492.750          89.105      6.502    -93.725            7.233        10773.315      2.376      0.000      0.000    0.19685   26.41970           -0.75738       81.76825         3.997e-06 
  1493.750          89.009      6.511    -93.661            7.229        10780.447      2.365      0.000      0.000    0.19354   26.40403           -0.76047       81.77644         4.066e-06 
  1494.750          88.913      6.520    -93.597            7.224        10787.574      2.354      0.000      0.000    0.19027   26.38809           -0.76364       81.78463         4.136e-06 
  1495.750          88.816      6.530    -93.534            7.220        10794.697      2.343      0.000      0.000    0.18704   26.37190           -0.76690       81.79283         4.207e-06 
  1496.750          88.720      6.539    -93.470            7.215        10801.816      2.331      0.000      0.000    0.18386   26.35549           -0.77025       81.80103         4.280e-06 
  1497.750          88.622      6.548    -93.406            7.211        10808.930      2.320      0.000      0.000    0.18072   26.33886           -0.77369       81.80925         4.355e-06 
  1498.750          88.525      6.557    -93.343            7.206        10816.039      2.309      0.000      0.000    0.17762   26.32201           -0.77723       81.81747         4.431e-06 
