#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.OBA.6b65f60c-f3de-4858-8692-c9b8da4d7420_Trajectory.txt
# RunID         : sara
# ObjectID      : 6b65f60c-f3de-4858-8692-c9b8da4d7420
# ObjectName    : OBA
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1383.100          97.926      5.431   -100.749            7.302         9986.510      4.073      0.000      0.000    1.13699   26.15664           -0.53107       80.94011         8.178e-07 
  1383.200          97.919      5.432   -100.743            7.302         9987.229      4.073      0.000      0.000    1.13578   26.15666           -0.53123       80.94080         8.187e-07 
  1383.650          97.888      5.437   -100.714            7.301         9990.465      4.073      0.000      0.000    1.13016   26.15671           -0.53196       80.94389         8.228e-07 
  1384.650          97.821      5.447   -100.650            7.298         9997.655      4.073      0.000      0.000    1.11735   26.15668           -0.53361       80.95077         8.323e-07 
  1385.650          97.752      5.457   -100.586            7.296        10004.843      4.073      0.000      0.000    1.10372   26.15650           -0.53531       80.95766         8.428e-07 
  1386.650          97.684      5.467   -100.522            7.293        10012.028      4.073      0.000      0.000    1.09022   26.15617           -0.53706       80.96456         8.533e-07 
  1387.650          97.616      5.478   -100.458            7.291        10019.210      4.073      0.000      0.000    1.07684   26.15565           -0.53886       80.97148         8.641e-07 
  1388.650          97.547      5.488   -100.394            7.288        10026.391      4.073      0.000      0.000    1.06358   26.15525           -0.54070       80.97840         8.750e-07 
  1389.650          97.478      5.498   -100.330            7.286        10033.568      4.073      0.000      0.000    1.05044   26.15468           -0.54260       80.98533         8.861e-07 
  1390.650          97.409      5.508   -100.266            7.283        10040.744      4.073      0.000      0.000    1.03743   26.15317           -0.54455       80.99228         8.974e-07 
