#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.RSJD.3cecd9af-b84c-463a-9918-027600ab7a28_Trajectory.txt
# RunID         : sara
# ObjectID      : 3cecd9af-b84c-463a-9918-027600ab7a28
# ObjectName    : RSJD
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1383.100          97.926      5.431   -100.749            7.302         9986.510      3.403      0.000      0.000    0.39649   26.15664           -0.53107       80.94011         8.178e-07 
  1383.200          97.919      5.432   -100.743            7.302         9987.229      3.403      0.000      0.000    0.39606   26.15718           -0.53123       80.94080         8.187e-07 
  1383.650          97.888      5.437   -100.714            7.302         9990.466      3.400      0.000      0.000    0.39410   26.15965           -0.53195       80.94389         8.228e-07 
  1384.650          97.820      5.447   -100.650            7.301         9997.657      3.393      0.000      0.000    0.38964   26.16522           -0.53357       80.95078         8.323e-07 
  1385.650          97.752      5.457   -100.586            7.300        10004.848      3.386      0.000      0.000    0.38488   26.17112           -0.53520       80.95767         8.428e-07 
  1386.650          97.684      5.467   -100.522            7.299        10012.038      3.378      0.000      0.000    0.38017   26.17696           -0.53685       80.96458         8.534e-07 
  1387.650          97.616      5.478   -100.458            7.298        10019.228      3.371      0.000      0.000    0.37551   26.18268           -0.53852       80.97150         8.641e-07 
  1388.650          97.547      5.488   -100.394            7.298        10026.416      3.363      0.000      0.000    0.37088   26.18862           -0.54020       80.97843         8.750e-07 
  1389.650          97.478      5.498   -100.330            7.297        10033.604      3.355      0.000      0.000    0.36630   26.19447           -0.54189       80.98537         8.862e-07 
  1390.650          97.409      5.508   -100.266            7.296        10040.792      3.348      0.000      0.000    0.36176   26.19946           -0.54361       80.99233         8.974e-07 
