#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SARP-3.ea1ec5f4-71bd-4969-a2c3-09fede1031de_Trajectory.txt
# RunID         : sara
# ObjectID      : ea1ec5f4-71bd-4969-a2c3-09fede1031de
# ObjectName    : SARP-3
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1490.200          89.348      6.478    -93.888            7.245        10755.110      2.537      0.000      0.000    0.16432   26.45709           -0.74991       81.74742         3.836e-06 
  1490.300          89.338      6.479    -93.881            7.244        10755.825      2.536      0.000      0.000    0.16408   26.45612           -0.75019       81.74824         3.842e-06 
  1490.750          89.295      6.483    -93.853            7.243        10759.039      2.531      0.000      0.000    0.16297   26.45162           -0.75147       81.75191         3.869e-06 
  1491.750          89.200      6.493    -93.789            7.240        10766.181      2.520      0.000      0.000    0.16043   26.44118           -0.75436       81.76008         3.930e-06 
  1492.750          89.105      6.502    -93.725            7.236        10773.319      2.507      0.000      0.000    0.15774   26.42972           -0.75731       81.76826         3.997e-06 
  1493.750          89.009      6.511    -93.661            7.233        10780.454      2.495      0.000      0.000    0.15508   26.41825           -0.76032       81.77645         4.066e-06 
  1494.750          88.913      6.520    -93.597            7.230        10787.586      2.482      0.000      0.000    0.15246   26.40656           -0.76340       81.78465         4.136e-06 
  1495.750          88.816      6.530    -93.533            7.226        10794.715      2.470      0.000      0.000    0.14987   26.39468           -0.76655       81.79286         4.207e-06 
  1496.750          88.719      6.539    -93.470            7.223        10801.840      2.457      0.000      0.000    0.14732   26.38263           -0.76977       81.80107         4.281e-06 
  1497.750          88.622      6.548    -93.406            7.219        10808.962      2.444      0.000      0.000    0.14481   26.37040           -0.77305       81.80930         4.355e-06 
  1498.750          88.525      6.557    -93.342            7.216        10816.081      2.432      0.000      0.000    0.14232   26.35799           -0.77640       81.81753         4.431e-06 
  1499.750          88.427      6.566    -93.278            7.212        10823.196      2.419      0.000      0.000    0.13987   26.34541           -0.77982       81.82577         4.509e-06 
  1500.750          88.328      6.575    -93.215            7.209        10830.308      2.406      0.000      0.000    0.13745   26.33264           -0.78331       81.83402         4.589e-06 
  1501.750          88.230      6.585    -93.151            7.205        10837.417      2.394      0.000      0.000    0.13506   26.31970           -0.78687       81.84228         4.670e-06 
  1502.750          88.130      6.594    -93.088            7.201        10844.522      2.381      0.000      0.000    0.13271   26.30657           -0.79051       81.85054         4.753e-06 
  1503.750          88.031      6.603    -93.024            7.198        10851.623      2.368      0.000      0.000    0.13038   26.29325           -0.79422       81.85881         4.838e-06 
  1504.750          87.931      6.612    -92.961            7.194        10858.721      2.355      0.000      0.000    0.12809   26.27975           -0.79800       81.86709         4.925e-06 
  1505.750          87.830      6.621    -92.897            7.190        10865.815      2.342      0.000      0.000    0.12583   26.26606           -0.80185       81.87538         5.013e-06 
  1506.750          87.730      6.630    -92.834            7.186        10872.906      2.330      0.000      0.000    0.12360   26.25218           -0.80579       81.88368         5.104e-06 
  1507.750          87.628      6.639    -92.770            7.182        10879.993      2.317      0.000      0.000    0.12140   26.23811           -0.80979       81.89198         5.197e-06 
  1508.750          87.527      6.648    -92.707            7.178        10887.076      2.304      0.000      0.000    0.11923   26.22385           -0.81388       81.90029         5.291e-06 
  1509.750          87.424      6.657    -92.643            7.175        10894.155      2.291      0.000      0.000    0.11708   26.20939           -0.81804       81.90861         5.388e-06 
  1510.750          87.322      6.666    -92.580            7.170        10901.231      2.278      0.000      0.000    0.11497   26.19474           -0.82229       81.91694         5.488e-06 
  1511.750          87.219      6.675    -92.517            7.166        10908.302      2.265      0.000      0.000    0.11288   26.17989           -0.82661       81.92528         5.589e-06 
  1512.750          87.115      6.684    -92.453            7.162        10915.370      2.252      0.000      0.000    0.11083   26.16484           -0.83102       81.93362         5.693e-06 
  1513.750          87.011      6.693    -92.390            7.158        10922.433      2.240      0.000      0.000    0.10880   26.14958           -0.83550       81.94197         5.799e-06 
  1514.750          86.906      6.702    -92.327            7.154        10929.493      2.227      0.000      0.000    0.10680   26.13413           -0.84007       81.95032         5.908e-06 
  1515.750          86.801      6.711    -92.264            7.150        10936.549      2.214      0.000      0.000    0.10482   26.11847           -0.84473       81.95869         6.019e-06 
  1516.750          86.695      6.720    -92.201            7.145        10943.600      2.201      0.000      0.000    0.10288   26.10260           -0.84947       81.96706         6.134e-06 
  1517.750          86.589      6.729    -92.137            7.141        10950.647      2.188      0.000      0.000    0.10095   26.08653           -0.85430       81.97544         6.250e-06 
  1518.750          86.482      6.738    -92.074            7.136        10957.690      2.175      0.000      0.000    0.09906   26.07025           -0.85921       81.98382         6.370e-06 
  1519.750          86.375      6.746    -92.011            7.132        10964.729      2.162      0.000      0.000    0.09719   26.05376           -0.86421       81.99221         6.493e-06 
  1520.750          86.267      6.755    -91.948            7.127        10971.763      2.150      0.000      0.000    0.09534   26.03706           -0.86931       82.00061         6.619e-06 
  1521.750          86.159      6.764    -91.885            7.123        10978.793      2.137      0.000      0.000    0.09352   26.02015           -0.87449       82.00902         6.748e-06 
  1522.750          86.050      6.773    -91.822            7.118        10985.818      2.124      0.000      0.000    0.09172   26.00271           -0.87977       82.01743         6.880e-06 
  1523.750          85.940      6.782    -91.760            7.113        10992.839      2.112      0.000      0.000    0.09000   25.97809           -0.88514       82.02585         7.012e-06 
  1524.750          85.830      6.791    -91.697            7.108        10999.855      2.100      0.000      0.000    0.08836   25.94376           -0.89062       82.03427         7.142e-06 
  1525.750          85.719      6.799    -91.634            7.102        11006.865      2.088      0.000      0.000    0.08674   25.90843           -0.89620       82.04270         7.275e-06 
  1526.750          85.608      6.808    -91.571            7.097        11013.871      2.076      0.000      0.000    0.08515   25.87198           -0.90190       82.05114         7.412e-06 
  1527.750          85.496      6.817    -91.508            7.090        11020.870      2.064      0.000      0.000    0.08357   25.83431           -0.90772       82.05958         7.552e-06 
  1528.750          85.383      6.826    -91.446            7.084        11027.863      2.053      0.000      0.000    0.08202   25.79520           -0.91366       82.06802         7.694e-06 
