#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.SRADipl.dddb594c-b70e-477c-997f-a3cee0aabb6a_Trajectory.txt
# RunID         : sara
# ObjectID      : dddb594c-b70e-477c-997f-a3cee0aabb6a
# ObjectName    : SRADipl
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1490.200          89.348      6.478    -93.888            7.245        10755.110      2.508      0.000      0.000    0.21086   26.45709           -0.74991       81.74742         3.836e-06 
  1490.300          89.338      6.479    -93.881            7.243        10755.825      2.507      0.000      0.000    0.21055   26.45359           -0.75019       81.74823         3.842e-06 
  1490.750          89.295      6.483    -93.853            7.238        10759.038      2.503      0.000      0.000    0.20912   26.43729           -0.75150       81.75190         3.869e-06 
  1491.750          89.200      6.493    -93.789            7.227        10766.171      2.492      0.000      0.000    0.20586   26.39964           -0.75456       81.76005         3.930e-06 
  1492.750          89.105      6.502    -93.725            7.216        10773.293      2.481      0.000      0.000    0.20241   26.35873           -0.75784       81.76819         3.997e-06 
  1493.750          89.009      6.511    -93.661            7.204        10780.404      2.470      0.000      0.000    0.19901   26.31755           -0.76134       81.77634         4.065e-06 
  1494.750          88.914      6.520    -93.598            7.193        10787.504      2.459      0.000      0.000    0.19566   26.27591           -0.76507       81.78449         4.135e-06 
  1495.750          88.817      6.529    -93.534            7.181        10794.592      2.447      0.000      0.000    0.19235   26.23382           -0.76902       81.79263         4.207e-06 
  1496.750          88.721      6.539    -93.471            7.169        10801.669      2.436      0.000      0.000    0.18909   26.19130           -0.77320       81.80078         4.279e-06 
  1497.750          88.624      6.548    -93.408            7.157        10808.734      2.424      0.000      0.000    0.18586   26.14834           -0.77762       81.80893         4.354e-06 
  1498.750          88.526      6.557    -93.345            7.145        10815.787      2.413      0.000      0.000    0.18268   26.10496           -0.78227       81.81707         4.430e-06 
  1499.750          88.429      6.566    -93.282            7.133        10822.829      2.401      0.000      0.000    0.17954   26.06114           -0.78715       81.82522         4.508e-06 
  1500.750          88.330      6.575    -93.219            7.121        10829.859      2.389      0.000      0.000    0.17644   26.01689           -0.79228       81.83336         4.587e-06 
  1501.750          88.232      6.584    -93.156            7.109        10836.877      2.377      0.000      0.000    0.17338   25.97219           -0.79765       81.84151         4.668e-06 
  1502.750          88.133      6.593    -93.093            7.096        10843.882      2.365      0.000      0.000    0.17036   25.92705           -0.80326       81.84965         4.751e-06 
  1503.750          88.033      6.602    -93.031            7.084        10850.876      2.353      0.000      0.000    0.16737   25.88146           -0.80912       81.85779         4.836e-06 
  1504.750          87.932      6.611    -92.968            7.071        10857.857      2.341      0.000      0.000    0.16442   25.83542           -0.81524       81.86593         4.923e-06 
  1505.750          87.832      6.620    -92.906            7.058        10864.825      2.329      0.000      0.000    0.16150   25.78893           -0.82160       81.87407         5.012e-06 
  1506.750          87.730      6.629    -92.844            7.045        10871.781      2.317      0.000      0.000    0.15862   25.74198           -0.82822       81.88220         5.103e-06 
  1507.750          87.628      6.637    -92.781            7.032        10878.724      2.305      0.000      0.000    0.15577   25.69457           -0.83510       81.89034         5.197e-06 
  1508.750          87.525      6.646    -92.719            7.019        10885.654      2.293      0.000      0.000    0.15295   25.64534           -0.84225       81.89847         5.293e-06 
  1509.750          87.422      6.655    -92.658            7.004        10892.570      2.280      0.000      0.000    0.15017   25.59090           -0.84969       81.90660         5.391e-06 
  1510.750          87.317      6.664    -92.596            6.987        10899.471      2.268      0.000      0.000    0.14742   25.52956           -0.85745       81.91471         5.492e-06 
  1511.750          87.212      6.673    -92.534            6.967        10906.353      2.255      0.000      0.000    0.14470   25.45944           -0.86559       81.92281         5.595e-06 
  1512.750          87.107      6.681    -92.473            6.944        10913.215      2.243      0.000      0.000    0.14202   25.37775           -0.87416       81.93090         5.701e-06 
  1513.750          87.001      6.690    -92.411            6.917        10920.052      2.230      0.000      0.000    0.13936   25.28014           -0.88324       81.93896         5.810e-06 
  1514.750          86.894      6.699    -92.351            6.883        10926.859      2.217      0.000      0.000    0.13674   25.15923           -0.89295       81.94699         5.921e-06 
  1515.750          86.786      6.707    -92.290            6.838        10933.627      2.205      0.000      0.000    0.13416   25.00097           -0.90348       81.95497         6.035e-06 
  1516.750          86.678      6.716    -92.230            6.773        10940.341      2.192      0.000      0.000    0.13161   24.77324           -0.91517       81.96287         6.152e-06 
  1517.750          86.570      6.724    -92.170            6.657        10946.966      2.180      0.000      0.000    0.12911   24.37091           -0.92883       81.97057         6.271e-06 
  1518.750          86.465      6.732    -92.114            6.143        10953.273      2.171      0.000      0.000    0.12671   22.66277           -0.95013       81.97708         6.390e-06 
