#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.TRSP1.08f70220-a2ed-4614-8a03-7ee53d774fd8_Trajectory.txt
# RunID         : sara
# ObjectID      : 08f70220-a2ed-4614-8a03-7ee53d774fd8
# ObjectName    : TRSP1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1383.100          97.926      5.431   -100.749            7.302         9986.510      1.987      0.000      0.000    1.08919   26.15664           -0.53107       80.94011         8.178e-07 
  1383.200          97.919      5.432   -100.743            7.302         9987.229      1.987      0.000      0.000    1.08803   26.15671           -0.53123       80.94080         8.187e-07 
  1383.650          97.888      5.437   -100.714            7.301         9990.465      1.987      0.000      0.000    1.08264   26.15697           -0.53196       80.94389         8.228e-07 
  1384.650          97.821      5.447   -100.650            7.298         9997.655      1.987      0.000      0.000    1.07038   26.15744           -0.53361       80.95077         8.323e-07 
  1385.650          97.752      5.457   -100.586            7.296        10004.843      1.987      0.000      0.000    1.05732   26.15780           -0.53530       80.95766         8.428e-07 
  1386.650          97.684      5.467   -100.522            7.294        10012.029      1.987      0.000      0.000    1.04438   26.15802           -0.53704       80.96456         8.533e-07 
  1387.650          97.616      5.478   -100.458            7.291        10019.212      1.987      0.000      0.000    1.03157   26.15804           -0.53883       80.97148         8.641e-07 
  1388.650          97.547      5.488   -100.394            7.289        10026.393      1.987      0.000      0.000    1.01886   26.15820           -0.54066       80.97840         8.750e-07 
  1389.650          97.478      5.498   -100.330            7.287        10033.572      1.987      0.000      0.000    1.00628   26.15820           -0.54254       80.98534         8.861e-07 
  1390.650          97.409      5.508   -100.266            7.284        10040.748      1.987      0.000      0.000    0.99381   26.15726           -0.54447       80.99228         8.974e-07 
  1391.650          97.340      5.518   -100.202            7.282        10047.922      1.987      0.000      0.000    0.98146   26.15650           -0.54644       80.99924         9.088e-07 
  1392.650          97.270      5.528   -100.138            7.279        10055.093      1.987      0.000      0.000    0.96921   26.15569           -0.54846       81.00621         9.204e-07 
  1393.650          97.200      5.539   -100.074            7.277        10062.263      1.987      0.000      0.000    0.95708   26.15471           -0.55054       81.01319         9.322e-07 
  1394.650          97.130      5.549   -100.011            7.274        10069.429      1.987      0.000      0.000    0.94507   26.15336           -0.55266       81.02018         9.442e-07 
  1395.650          97.060      5.559    -99.947            7.271        10076.593      1.986      0.000      0.000    0.93316   26.15200           -0.55484       81.02718         9.564e-07 
  1396.650          96.989      5.569    -99.883            7.269        10083.755      1.986      0.000      0.000    0.92136   26.15071           -0.55706       81.03419         9.689e-07 
  1397.650          96.919      5.579    -99.819            7.266        10090.914      1.986      0.000      0.000    0.90967   26.14900           -0.55934       81.04121         9.815e-07 
  1398.650          96.848      5.589    -99.755            7.263        10098.071      1.985      0.000      0.000    0.89809   26.14712           -0.56167       81.04825         9.943e-07 
  1399.650          96.776      5.599    -99.691            7.261        10105.224      1.984      0.000      0.000    0.88661   26.14507           -0.56406       81.05529         1.007e-06 
  1400.650          96.705      5.609    -99.628            7.258        10112.376      1.984      0.000      0.000    0.87524   26.14283           -0.56650       81.06235         1.021e-06 
  1401.650          96.633      5.619    -99.564            7.255        10119.524      1.983      0.000      0.000    0.86397   26.14039           -0.56899       81.06941         1.034e-06 
  1402.650          96.561      5.629    -99.500            7.252        10126.670      1.982      0.000      0.000    0.85281   26.13778           -0.57154       81.07649         1.048e-06 
  1403.650          96.488      5.639    -99.437            7.249        10133.813      1.982      0.000      0.000    0.84175   26.13499           -0.57415       81.08357         1.062e-06 
  1404.650          96.415      5.649    -99.373            7.246        10140.953      1.981      0.000      0.000    0.83079   26.13199           -0.57681       81.09067         1.076e-06 
  1405.650          96.342      5.659    -99.309            7.243        10148.091      1.980      0.000      0.000    0.81993   26.12879           -0.57953       81.09778         1.090e-06 
  1406.650          96.269      5.669    -99.246            7.240        10155.225      1.979      0.000      0.000    0.80917   26.12542           -0.58230       81.10489         1.105e-06 
  1407.650          96.195      5.679    -99.182            7.237        10162.357      1.978      0.000      0.000    0.79851   26.12185           -0.58514       81.11202         1.120e-06 
