#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Tank1.9e7d164a-03c6-443b-a8dd-67661cfc0a2d_Trajectory.txt
# RunID         : sara
# ObjectID      : 9e7d164a-03c6-443b-a8dd-67661cfc0a2d
# ObjectName    : Tank1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1383.100          97.926      5.431   -100.749            7.302         9986.510      4.181      0.000      0.000    0.38211   26.15664           -0.53107       80.94011         8.178e-07 
  1383.200          97.919      5.432   -100.743            7.302         9987.229      4.180      0.000      0.000    0.38170   26.15717           -0.53123       80.94080         8.187e-07 
  1383.650          97.888      5.437   -100.714            7.302         9990.466      4.177      0.000      0.000    0.37981   26.15960           -0.53195       80.94389         8.228e-07 
  1384.650          97.820      5.447   -100.650            7.301         9997.657      4.168      0.000      0.000    0.37551   26.16509           -0.53357       80.95078         8.323e-07 
  1385.650          97.752      5.457   -100.586            7.300        10004.848      4.159      0.000      0.000    0.37093   26.17090           -0.53520       80.95767         8.428e-07 
  1386.650          97.684      5.467   -100.522            7.299        10012.038      4.149      0.000      0.000    0.36639   26.17664           -0.53685       80.96458         8.534e-07 
  1387.650          97.616      5.478   -100.458            7.298        10019.227      4.140      0.000      0.000    0.36189   26.18227           -0.53852       80.97150         8.641e-07 
  1388.650          97.547      5.488   -100.394            7.298        10026.416      4.130      0.000      0.000    0.35743   26.18812           -0.54020       80.97843         8.750e-07 
  1389.650          97.478      5.498   -100.330            7.297        10033.604      4.120      0.000      0.000    0.35301   26.19387           -0.54190       80.98537         8.862e-07 
  1390.650          97.409      5.508   -100.266            7.296        10040.791      4.110      0.000      0.000    0.34864   26.19877           -0.54362       80.99233         8.974e-07 
  1391.650          97.340      5.518   -100.202            7.295        10047.977      4.100      0.000      0.000    0.34430   26.20392           -0.54535       80.99930         9.088e-07 
  1392.650          97.270      5.528   -100.138            7.294        10055.163      4.090      0.000      0.000    0.34001   26.20910           -0.54711       81.00628         9.205e-07 
  1393.650          97.200      5.539   -100.074            7.293        10062.348      4.080      0.000      0.000    0.33576   26.21420           -0.54887       81.01327         9.323e-07 
  1394.650          97.130      5.549   -100.010            7.292        10069.532      4.070      0.000      0.000    0.33155   26.21900           -0.55066       81.02028         9.442e-07 
  1395.650          97.060      5.559    -99.946            7.292        10076.715      4.059      0.000      0.000    0.32737   26.22387           -0.55246       81.02730         9.564e-07 
  1396.650          96.990      5.569    -99.882            7.291        10083.897      4.049      0.000      0.000    0.32324   26.22890           -0.55428       81.03433         9.688e-07 
  1397.650          96.919      5.579    -99.818            7.290        10091.079      4.038      0.000      0.000    0.31915   26.23359           -0.55612       81.04137         9.814e-07 
  1398.650          96.848      5.589    -99.754            7.289        10098.260      4.027      0.000      0.000    0.31510   26.23820           -0.55798       81.04842         9.942e-07 
  1399.650          96.777      5.599    -99.689            7.288        10105.440      4.016      0.000      0.000    0.31108   26.24272           -0.55986       81.05549         1.007e-06 
  1400.650          96.706      5.609    -99.625            7.287        10112.619      4.005      0.000      0.000    0.30711   26.24713           -0.56175       81.06257         1.020e-06 
  1401.650          96.634      5.620    -99.561            7.286        10119.797      3.994      0.000      0.000    0.30317   26.25143           -0.56367       81.06966         1.034e-06 
  1402.650          96.562      5.630    -99.498            7.285        10126.975      3.983      0.000      0.000    0.29928   26.25565           -0.56560       81.07677         1.047e-06 
  1403.650          96.490      5.640    -99.434            7.284        10134.151      3.972      0.000      0.000    0.29542   26.25978           -0.56755       81.08388         1.061e-06 
  1404.650          96.418      5.650    -99.370            7.283        10141.327      3.961      0.000      0.000    0.29160   26.26377           -0.56952       81.09101         1.075e-06 
  1405.650          96.346      5.660    -99.306            7.282        10148.502      3.949      0.000      0.000    0.28782   26.26768           -0.57152       81.09815         1.090e-06 
  1406.650          96.273      5.670    -99.242            7.281        10155.676      3.937      0.000      0.000    0.28407   26.27149           -0.57353       81.10531         1.104e-06 
  1407.650          96.200      5.680    -99.178            7.280        10162.849      3.926      0.000      0.000    0.28037   26.27519           -0.57556       81.11247         1.119e-06 
  1408.650          96.127      5.690    -99.114            7.279        10170.021      3.914      0.000      0.000    0.27670   26.27877           -0.57761       81.11965         1.134e-06 
  1409.650          96.053      5.700    -99.050            7.278        10177.192      3.902      0.000      0.000    0.27307   26.28226           -0.57968       81.12684         1.149e-06 
  1410.650          95.979      5.710    -98.986            7.277        10184.362      3.890      0.000      0.000    0.26947   26.28565           -0.58178       81.13404         1.165e-06 
  1411.650          95.905      5.720    -98.922            7.276        10191.531      3.878      0.000      0.000    0.26591   26.28892           -0.58389       81.14125         1.180e-06 
  1412.650          95.831      5.730    -98.858            7.275        10198.699      3.866      0.000      0.000    0.26239   26.29207           -0.58603       81.14847         1.196e-06 
  1413.650          95.756      5.740    -98.794            7.274        10205.867      3.853      0.000      0.000    0.25890   26.29512           -0.58819       81.15571         1.213e-06 
  1414.650          95.682      5.750    -98.730            7.273        10213.033      3.841      0.000      0.000    0.25545   26.29808           -0.59036       81.16296         1.229e-06 
  1415.650          95.607      5.760    -98.666            7.272        10220.198      3.829      0.000      0.000    0.25203   26.30090           -0.59256       81.17022         1.246e-06 
  1416.650          95.531      5.770    -98.602            7.271        10227.362      3.816      0.000      0.000    0.24865   26.30361           -0.59479       81.17749         1.263e-06 
  1417.650          95.456      5.780    -98.538            7.269        10234.526      3.803      0.000      0.000    0.24530   26.30621           -0.59703       81.18478         1.281e-06 
  1418.650          95.380      5.789    -98.474            7.268        10241.688      3.790      0.000      0.000    0.24199   26.30871           -0.59930       81.19207         1.298e-06 
  1419.650          95.304      5.799    -98.411            7.267        10248.849      3.778      0.000      0.000    0.23870   26.31108           -0.60159       81.19938         1.316e-06 
  1420.650          95.227      5.809    -98.347            7.266        10256.009      3.765      0.000      0.000    0.23545   26.31332           -0.60390       81.20670         1.335e-06 
  1421.650          95.150      5.819    -98.283            7.265        10263.168      3.752      0.000      0.000    0.23224   26.31545           -0.60624       81.21403         1.353e-06 
  1422.650          95.073      5.829    -98.219            7.264        10270.326      3.738      0.000      0.000    0.22905   26.31748           -0.60860       81.22137         1.373e-06 
  1423.650          94.996      5.839    -98.155            7.262        10277.483      3.725      0.000      0.000    0.22589   26.31938           -0.61099       81.22873         1.392e-06 
  1424.650          94.919      5.849    -98.091            7.261        10284.639      3.712      0.000      0.000    0.22277   26.32114           -0.61339       81.23610         1.412e-06 
  1425.650          94.841      5.859    -98.027            7.260        10291.794      3.698      0.000      0.000    0.21967   26.32278           -0.61583       81.24347         1.432e-06 
  1426.650          94.762      5.868    -97.964            7.259        10298.947      3.685      0.000      0.000    0.21661   26.32431           -0.61828       81.25086         1.452e-06 
  1427.650          94.684      5.878    -97.900            7.258        10306.100      3.671      0.000      0.000    0.21358   26.32571           -0.62077       81.25826         1.473e-06 
  1428.650          94.605      5.888    -97.836            7.256        10313.251      3.657      0.000      0.000    0.21058   26.32698           -0.62327       81.26568         1.494e-06 
  1429.650          94.526      5.898    -97.772            7.255        10320.401      3.644      0.000      0.000    0.20762   26.32811           -0.62581       81.27310         1.516e-06 
  1430.650          94.447      5.908    -97.708            7.254        10327.550      3.630      0.000      0.000    0.20468   26.32911           -0.62836       81.28054         1.538e-06 
  1431.650          94.367      5.917    -97.644            7.252        10334.698      3.616      0.000      0.000    0.20178   26.32999           -0.63095       81.28798         1.560e-06 
  1432.650          94.287      5.927    -97.581            7.251        10341.844      3.602      0.000      0.000    0.19890   26.33075           -0.63356       81.29544         1.583e-06 
  1433.650          94.207      5.937    -97.517            7.250        10348.990      3.588      0.000      0.000    0.19606   26.33134           -0.63620       81.30291         1.606e-06 
  1434.650          94.126      5.947    -97.453            7.248        10356.134      3.573      0.000      0.000    0.19325   26.33176           -0.63886       81.31039         1.629e-06 
  1435.650          94.045      5.957    -97.389            7.247        10363.276      3.559      0.000      0.000    0.19047   26.33209           -0.64155       81.31789         1.653e-06 
  1436.650          93.964      5.966    -97.326            7.246        10370.418      3.545      0.000      0.000    0.18771   26.33232           -0.64427       81.32539         1.678e-06 
  1437.650          93.882      5.976    -97.262            7.244        10377.558      3.530      0.000      0.000    0.18499   26.33237           -0.64701       81.33290         1.703e-06 
  1438.650          93.800      5.986    -97.198            7.243        10384.697      3.516      0.000      0.000    0.18230   26.33227           -0.64979       81.34043         1.728e-06 
  1439.650          93.718      5.995    -97.134            7.242        10391.835      3.501      0.000      0.000    0.17963   26.33201           -0.65259       81.34797         1.754e-06 
  1440.650          93.635      6.005    -97.071            7.240        10398.971      3.487      0.000      0.000    0.17700   26.33161           -0.65542       81.35552         1.780e-06 
  1441.650          93.552      6.015    -97.007            7.239        10406.106      3.472      0.000      0.000    0.17439   26.33106           -0.65828       81.36308         1.807e-06 
  1442.650          93.469      6.025    -96.943            7.237        10413.240      3.457      0.000      0.000    0.17181   26.33036           -0.66117       81.37065         1.834e-06 
  1443.650          93.385      6.034    -96.880            7.236        10420.372      3.442      0.000      0.000    0.16926   26.32952           -0.66409       81.37823         1.862e-06 
  1444.650          93.301      6.044    -96.816            7.234        10427.503      3.427      0.000      0.000    0.16674   26.32850           -0.66703       81.38582         1.891e-06 
  1445.650          93.217      6.054    -96.752            7.233        10434.633      3.412      0.000      0.000    0.16424   26.32732           -0.67001       81.39343         1.920e-06 
  1446.650          93.132      6.063    -96.689            7.231        10441.761      3.397      0.000      0.000    0.16178   26.32598           -0.67302       81.40104         1.949e-06 
  1447.650          93.047      6.073    -96.625            7.230        10448.888      3.382      0.000      0.000    0.15934   26.32448           -0.67606       81.40867         1.979e-06 
  1448.650          92.961      6.082    -96.561            7.228        10456.013      3.367      0.000      0.000    0.15693   26.32277           -0.67913       81.41630         2.010e-06 
  1449.650          92.875      6.092    -96.498            7.227        10463.137      3.352      0.000      0.000    0.15454   26.32083           -0.68223       81.42395         2.041e-06 
  1450.650          92.789      6.102    -96.434            7.225        10470.259      3.337      0.000      0.000    0.15218   26.31901           -0.68537       81.43161         2.073e-06 
  1451.650          92.703      6.111    -96.370            7.223        10477.380      3.321      0.000      0.000    0.14985   26.31683           -0.68853       81.43928         2.105e-06 
  1452.650          92.616      6.121    -96.307            7.222        10484.499      3.306      0.000      0.000    0.14755   26.31447           -0.69173       81.44696         2.139e-06 
  1453.650          92.528      6.130    -96.243            7.220        10491.617      3.291      0.000      0.000    0.14527   26.31194           -0.69496       81.45465         2.172e-06 
  1454.650          92.440      6.140    -96.180            7.218        10498.733      3.275      0.000      0.000    0.14302   26.30924           -0.69823       81.46235         2.207e-06 
  1455.650          92.352      6.149    -96.116            7.217        10505.848      3.260      0.000      0.000    0.14079   26.30635           -0.70152       81.47006         2.242e-06 
  1456.650          92.264      6.159    -96.053            7.215        10512.961      3.244      0.000      0.000    0.13859   26.30328           -0.70486       81.47778         2.278e-06 
  1457.650          92.175      6.169    -95.989            7.213        10520.072      3.229      0.000      0.000    0.13642   26.30002           -0.70822       81.48552         2.314e-06 
  1458.650          92.085      6.178    -95.925            7.211        10527.182      3.213      0.000      0.000    0.13427   26.29658           -0.71162       81.49326         2.352e-06 
  1459.650          91.996      6.188    -95.862            7.210        10534.290      3.198      0.000      0.000    0.13214   26.29293           -0.71506       81.50101         2.390e-06 
  1460.650          91.905      6.197    -95.798            7.208        10541.397      3.182      0.000      0.000    0.13004   26.28908           -0.71853       81.50878         2.428e-06 
  1461.650          91.815      6.207    -95.735            7.206        10548.502      3.167      0.000      0.000    0.12797   26.28503           -0.72204       81.51655         2.468e-06 
  1462.650          91.724      6.216    -95.672            7.204        10555.605      3.151      0.000      0.000    0.12592   26.28078           -0.72558       81.52434         2.508e-06 
  1463.650          91.632      6.225    -95.608            7.202        10562.707      3.135      0.000      0.000    0.12389   26.27633           -0.72916       81.53213         2.550e-06 
  1464.650          91.541      6.235    -95.545            7.201        10569.806      3.119      0.000      0.000    0.12189   26.27173           -0.73278       81.53994         2.592e-06 
  1465.650          91.448      6.244    -95.481            7.199        10576.904      3.104      0.000      0.000    0.11991   26.26678           -0.73644       81.54776         2.635e-06 
  1466.650          91.355      6.254    -95.418            7.197        10584.001      3.088      0.000      0.000    0.11796   26.26156           -0.74013       81.55558         2.679e-06 
  1467.650          91.262      6.263    -95.354            7.195        10591.095      3.072      0.000      0.000    0.11603   26.25641           -0.74386       81.56342         2.724e-06 
  1468.650          91.169      6.273    -95.291            7.193        10598.188      3.057      0.000      0.000    0.11412   26.25089           -0.74764       81.57126         2.769e-06 
