#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.1.5 ) ----
#                                      ESA 2018
#
#                         final state of uncritical objects
#-------------------------------------------------------------------------------
# Filename      : uncriticalData.txt
# RunID         : sara
# Content       : This file lists the uncritical objects (kin. energy < 15 J),
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1918.704          26.670      7.546    -86.018            0.049        11634.029      0.378      0.000      0.000    0.00002    0.16254  30601a1f-e611-4a72-8c68-0ba8610c2e29  RWheel1
  1918.704          26.670      7.546    -86.018            0.049        11634.029      0.378      0.000      0.000    0.00002    0.16254  37335509-7a26-4e33-8286-b58da32b5558  RWheel2
  1918.704          26.670      7.546    -86.018            0.049        11634.029      0.378      0.000      0.000    0.00002    0.16254  3643ab44-f912-4884-babe-b7c09067369a  RWheel3
  1495.650          88.165      6.515    -93.632            6.670        10783.689      1.632      0.000      0.000    0.07196   24.45437  58c3bdfd-4512-4407-8fd3-89664a00dd56  MAC-Y
  1498.850          86.863      6.524    -93.574            5.545        10790.139      3.029      0.000      0.000    0.15802   20.50780  6b65f60c-f3de-4858-8692-c9b8da4d7420  OBA
  1499.650          86.853      6.533    -93.510            6.153        10797.370      1.456      0.000      0.000    0.15149   22.57550  08f70220-a2ed-4614-8a03-7ee53d774fd8  TRSP1
  1499.650          86.853      6.533    -93.510            6.153        10797.370      1.456      0.000      0.000    0.15149   22.57550  e6de9af4-9b9e-438c-9f5f-4f5d2d97b59e  TRSP2
  1529.650          83.833      6.812    -91.542            6.407        11017.158      2.292      0.000      0.000    0.07450   23.21333  43089cf7-03c5-4130-a53f-e1761f4b1c62  Gyrosbl
  1469.650          90.218      6.256    -95.399            6.069        10586.076      1.937      0.000      0.000    0.15850   22.27368  53b0fa25-337a-4801-adfb-b655009abdda  STD1
  1469.650          90.218      6.256    -95.399            6.069        10586.076      1.937      0.000      0.000    0.15850   22.27368  c24a38cf-ff8c-4cde-a033-d25fec03e6c6  STD2
  1505.037          85.966      6.576    -93.212            5.558        10830.630      2.973      0.000      0.000    0.16959   20.50871  1c6e2a4b-455a-40f6-847c-93a50aad2901  SSD1
  1505.037          85.966      6.576    -93.212            5.558        10830.630      2.973      0.000      0.000    0.16959   20.50871  f492f331-b2d3-4479-8af7-582adf808112  SSD2
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  0b1661d3-c0c1-4f6a-a6d1-2a5db00bda4f  SAsupp1
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  7a44a685-ffd8-43e7-b137-a97750163298  SAsupp2
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  2e87c0ee-756b-4448-815f-fa04e03fb958  SAsupp3
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  3b252b2a-d37f-42cc-b3d0-c66451d5a10e  SAsupp4
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  b780d3fd-f6d3-4fe4-9213-52c680cd507b  SAsupp5
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  37f2601a-bcea-4ac9-a273-b5e54ee7b8ce  SAsupp6
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  a62cc748-c9ce-417e-934a-fca18bb1acd7  SAsupp7
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  3c98b668-d3c6-4e6c-9b25-feb7c56786a3  SAsupp8
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  77d47b62-c869-4b6f-a4c0-5973fed2ce1b  SAsupp9
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  6094c339-cbad-4f0b-acf1-bf8d9925b55e  SAsupp10
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  fdc2bf45-208d-4956-ba49-3de42686e018  SAsupp11
  1504.650          86.024      6.572    -93.237            5.657        10827.838      2.958      0.000      0.000    0.16784   20.87290  b1918ad3-a023-4f41-b015-4e42f20225e3  SAsupp12
  1503.650          87.104      6.583    -93.165            6.184        10835.915      6.869      0.000      0.000    0.02440   22.75099  3f5a8f7d-39ce-4a62-bb78-f5530384abfa  BatFloor
  1462.650          91.181      6.198    -95.793            6.200        10542.015      0.955      0.000      0.000    0.08834   22.76072  c3301475-8229-4bb1-b60e-0685f572310b  IntRing
  1501.650          87.236      6.563    -93.298            6.270        10821.039      0.671      0.000      0.000    0.04726   23.04824  bca3f3ba-1ce7-4cca-a1ae-583496a30689  PropStr
  1725.461          39.514      7.241    -88.385            0.136        11369.192      0.689      0.000      0.000    0.00042    0.42749  ede47fd6-52f1-47c4-b4dc-efc11d542e23  ValvTran1
  1725.461          39.514      7.241    -88.385            0.136        11369.192      0.689      0.000      0.000    0.00042    0.42749  d434ed3a-2eb2-42cd-9156-a61e1e3e9de8  ValvTran2
  1725.461          39.514      7.241    -88.385            0.136        11369.192      0.689      0.000      0.000    0.00042    0.42749  e3e44d35-027b-4caf-a9ef-a1f6bd2be195  ValvTran3
  1725.461          39.514      7.241    -88.385            0.136        11369.192      0.689      0.000      0.000    0.00042    0.42749  e09ab47f-053d-4141-9264-f8406883a641  ValvTran4
  1725.461          39.514      7.241    -88.385            0.136        11369.192      0.689      0.000      0.000    0.00042    0.42749  58838c96-18ea-434d-800d-53cb3df3f2e4  ValvTran5
  1725.461          39.514      7.241    -88.385            0.136        11369.192      0.689      0.000      0.000    0.00042    0.42749  87c6b95c-c224-448c-87c5-2d4715000bb0  ValvTran6
  1518.200          85.885      6.723    -92.179            6.950        10945.976      1.929      0.000      0.000    0.04748   25.38623  5bacc617-4464-48a2-83cf-6fc1f26debe1  RSJD-Internal
  1520.200          85.591      6.739    -92.060            6.933        10959.253      1.810      0.000      0.000    0.06066   25.27940  a4ad07b7-4942-4549-a032-e30cb8335b15  EIU-Internal
  1514.200          85.545      6.672    -92.537            6.500        10906.064      3.917      0.000      0.000    0.11686   23.71227  90ca8adc-c94c-4d14-90d9-b6129423ce10  SADME-internal
  1518.200          85.572      6.717    -92.219            6.769        10941.549      1.411      0.000      0.000    0.08045   24.71027  e993bb4e-86ad-4974-892d-812c328dd123  CCU-internal
  1520.200          85.469      6.737    -92.075            6.896        10957.581      1.535      0.000      0.000    0.07620   25.12763  18640ad2-7a65-4804-b9ff-39c7f5f01c19  BSP-internal
  1523.200          84.790      6.758    -91.928            6.706        10974.040      2.382      0.000      0.000    0.09969   24.36644  e95fb00d-0612-45b8-8e8e-80e421fe680b  EDR-internal
